z_mm,cx_mm,cy_mm,r_mean_mm,r_min_mm,r_max_mm,n_pts
-29.5568,-0.0041,0.0041,0.7513,0.7373,0.7660,129
-29.0552,0.0043,-0.0040,0.7513,0.7420,0.7583,129
-28.5537,-0.0036,-0.0045,0.7511,0.7375,0.7617,129
-28.0522,0.0057,0.0014,0.7511,0.7481,0.7540,129
-27.5506,-0.0058,-0.0004,0.7510,0.7410,0.7602,129
-27.0491,0.0021,-0.0055,0.7510,0.7443,0.7587,129
-26.5475,-0.0007,-0.0058,0.7509,0.7441,0.7581,129
-26.0460,0.0053,-0.0023,0.7509,0.7423,0.7605,129
-25.5444,-0.0046,-0.0036,0.7509,0.7470,0.7550,129
-25.0429,-0.0054,-0.0023,0.7510,0.7488,0.7538,129
-24.5413,0.0037,-0.0045,0.7509,0.7391,0.7640,129
-24.0398,-0.0057,0.0016,0.7511,0.7432,0.7562,129
-23.5383,0.0052,0.0017,0.7515,0.7266,0.7770,133
-23.0367,0.0047,-0.0029,0.7535,0.7416,0.7690,141
-22.5352,-0.0030,0.0044,0.7532,0.7390,0.7752,141
-22.0336,-0.0046,-0.0026,0.7533,0.7399,0.7727,141
-21.5321,0.0022,-0.0049,0.7535,0.7459,0.7630,141
-21.0305,-0.0031,0.0043,0.7535,0.7407,0.7691,141
-20.5290,0.0032,0.0040,0.7569,0.7368,0.7704,147
-20.0274,0.0036,-0.0037,0.7590,0.7370,0.7908,153
-19.5259,-0.0050,-0.0003,0.7592,0.7280,0.8041,153
-19.0244,-0.0018,0.0042,0.7661,0.7294,0.8008,164
-18.5228,-0.0018,0.0041,0.7667,0.7374,0.7904,167
-18.0213,-0.0030,-0.0035,0.7694,0.7258,0.8128,175
-17.5197,0.0044,0.0001,0.7815,0.7420,0.8146,182
-17.0182,0.0039,0.0017,0.7876,0.7454,0.8383,187
-16.5166,-0.0032,-0.0030,0.8041,0.7479,0.8491,189
-16.0151,-0.0025,0.0034,0.8158,0.7381,0.9081,183
-15.5136,-0.0041,0.0016,0.8286,0.7263,1.0240,177
-15.0120,-0.0001,-0.0045,0.8610,0.7392,1.0609,164
-14.5105,-0.0066,-0.0005,0.9148,0.7412,1.1615,150
-14.0089,0.0069,-0.0023,1.0132,0.7424,1.3904,145
-13.5074,0.0116,0.0047,1.3280,0.7096,2.1544,157
-13.0058,0.0127,0.0052,1.9257,0.6723,2.7156,178
-12.5043,0.0125,0.0015,2.0556,0.7393,3.0951,197
-12.0027,-0.0039,-0.0035,1.5367,0.6596,2.5199,188
-11.5012,0.0016,-0.0034,1.0963,0.5919,1.4778,194
-10.9997,-0.0038,-0.0024,0.9645,0.6557,1.1975,170
-10.4981,0.0015,0.0048,0.9151,0.7065,1.0620,159
-9.9966,0.0018,-0.0057,0.8842,0.7246,1.0225,158
-9.4950,0.0012,-0.0056,0.8695,0.7172,0.9990,167
-8.9935,0.0009,-0.0055,0.8666,0.6778,1.0067,179
-8.4919,0.0005,-0.0055,0.8778,0.6479,1.0575,189
-7.9904,-0.0005,-0.0060,0.9112,0.7046,1.1934,200
-7.4888,-0.0013,-0.0066,0.9665,0.7234,1.2593,185
-6.9873,-0.0021,-0.0067,1.0066,0.7298,1.2645,176
-6.4858,-0.0020,-0.0056,1.0028,0.7098,1.4226,178
-5.9842,-0.0011,-0.0053,0.9594,0.7129,1.2748,185
-5.4827,-0.0010,-0.0043,0.8953,0.7057,1.1001,208
-4.9811,-0.0007,-0.0043,0.8434,0.7348,0.9543,190
-4.4796,-0.0007,-0.0042,0.8288,0.7245,0.9309,195
-3.9780,-0.0011,-0.0041,0.8319,0.7180,0.9213,189
-3.4765,0.0002,-0.0040,0.8478,0.7407,0.9484,190
-2.9750,-0.0013,-0.0042,0.8830,0.7411,1.0163,183
-2.4734,-0.0005,-0.0040,0.9418,0.7241,1.1595,191
-1.9719,-0.0012,-0.0040,1.0786,0.7376,1.3882,195
-1.4703,-0.0018,-0.0041,1.2641,0.7435,1.7422,190
-0.9688,-0.0058,-0.0046,1.4740,0.7471,2.3952,184
-0.4672,-0.0144,-0.0076,1.1757,0.6492,2.1303,132
0.0343,-0.0100,-0.0090,0.7449,0.4839,1.2769,94
