=== on-caso-1.2 (FSI Caso 3) - grade de compartimentalizacao ===

V_SAS = 2.941e-07 m^3

FASE 1 (fluido-so): Q de drenagem por (PIC, d)
 PIC(Pa)    d(m^-2)  p_SAS(Pa)       Q(m3/s)  tau_resid(dias)
    1333      1e+15     1333.0    2.6738e-11              0.1
    1333      1e+15     1333.0    2.6738e-11              0.1
    1333      1e+17     1333.0    2.6740e-13             12.7
    1333      1e+19     1333.0    2.6811e-15           1269.4
    2000      1e+15     2000.0    4.0118e-11              0.1
    2000      1e+17     2000.0    4.0126e-13              8.5
    2000      1e+19     2000.0    4.0227e-15            846.1
    3000      1e+15     3000.0    6.0177e-11              0.1
    3000      1e+17     3000.0    6.0189e-13              5.7
    3000      1e+19     3000.0    6.0340e-15            564.0
    3900      1e+15     3900.0    7.8230e-11              0.0
    3900      1e+17     3900.0    7.8234e-13              4.4
    3900      1e+19     3900.0    7.8441e-15            433.9
    3900      1e+19     3900.0    7.8441e-15            433.9

FASE 2 (FSI): distensao radial maxima (corpo do nervo)
                   tag    PIC       mat  dura(um)   pia(um)
    P1333_d1e15_linear   1333    linear     14.89     -7.17
  P1333_d1e15_neohooke   1333  neohooke     14.41     -2.36
  P2000_d1e15_neohooke   2000  neohooke     21.72     -3.54
  P3000_d1e15_neohooke   3000  neohooke     32.82     -5.32
    P3900_d1e19_linear   3900    linear     42.99    -21.42
  P3900_d1e15_neohooke   3900  neohooke     42.95     -6.91
  P3900_d1e19_neohooke   3900  neohooke     42.96     -6.91
