z_mm,xc_mm,yc_mm,offset_lateral_mm
0.000,0.00001,-0.00000,0.00001
0.002,0.00006,-0.00002,0.00006
0.004,0.00016,-0.00004,0.00016
0.006,0.00029,-0.00007,0.00029
0.008,0.00044,-0.00009,0.00045
0.010,0.00061,-0.00012,0.00062
0.012,0.00078,-0.00014,0.00079
0.014,0.00094,-0.00015,0.00096
0.016,0.00110,-0.00015,0.00111
0.018,0.00122,-0.00014,0.00123
0.020,0.00131,-0.00012,0.00131
0.022,0.00133,-0.00009,0.00133
0.024,0.00127,-0.00007,0.00127
0.026,0.00109,-0.00004,0.00109
0.028,0.00077,-0.00002,0.00077
0.030,0.00046,-0.00000,0.00046
