z_mm,xc_mm,yc_mm,offset_lateral_mm
0.000,-0.00605,0.00000,0.00605
0.002,-0.00794,0.00000,0.00794
0.004,-0.00924,0.00000,0.00924
0.006,-0.01052,0.00000,0.01052
0.008,-0.01170,0.00000,0.01170
0.010,-0.01274,0.00000,0.01274
0.012,-0.01360,0.00000,0.01360
0.014,-0.01423,0.00000,0.01423
0.016,-0.01454,0.00000,0.01454
0.018,-0.01444,0.00000,0.01444
0.020,-0.01383,0.00000,0.01383
0.022,-0.01242,0.00000,0.01242
0.024,-0.00960,0.00000,0.00960
0.026,-0.00604,0.00000,0.00604
0.028,-0.00270,0.00000,0.00270
0.030,-0.00049,0.00000,0.00049
