t_s,P_max_Pa,P_mean_Pa,A_contact_m2,A_patch_total_m2
0.02,138635.93801251537,138635.78085345117,9.801734611188854e-07,0.0004704826363749096
0.04,0.0,0.0,0.0,0.0004704826363749096
0.06,203092.36106227632,101787.22954693402,1.9603440315201285e-06,0.0004704826363749096
0.08,181062.70041963365,120708.46996385157,1.470258108796201e-06,0.0004704826363749096
0.1,126579.73337584497,47735.784452640895,3.430599823016005e-06,0.0004704826363749096
0.12,86565.23921456521,32421.101789211512,6.371118357908744e-06,0.0004704826363749096
0.14,563481.0854614465,141428.10042579615,8.331464001849296e-06,0.0004704826363749096
0.16,58249.04291709521,22107.88765228612,4.900863372623076e-06,0.0004704826363749096
0.18,60198.353595031986,29059.838642417148,6.861201339249884e-06,0.0004704826363749096
0.2,46355.39950989204,29464.88315355497,4.900855796639633e-06,0.0004704826363749096
0.22,0.0,0.0,0.0,0.0004704826363749096
0.24,100253.777375269,53120.38897664446,3.920685745739929e-06,0.0004704826363749096
0.26,72121.27573687324,52313.88786813872,3.430601904272824e-06,0.0004704826363749096
0.28,94076.17587407558,35635.496053738614,5.88103035067738e-06,0.0004704826363749096
0.3,61541.580311525955,31210.391674234357,5.881038682205888e-06,0.0004704826363749096
0.32,31725.242848085498,25849.853221033645,6.861203342959868e-06,0.0004704826363749096
0.34,51745.66995073114,37755.23311469331,4.90085886948502e-06,0.0004704826363749096
0.36,63544.19033098147,37511.843395364944,4.900857931812216e-06,0.0004704826363749096
0.38,62881.77253552893,25273.40566125755,6.8612033429598705e-06,0.0004704826363749096
0.4,66937.84833612446,28276.743396690155,5.881034047605235e-06,0.0004704826363749096
0.42,65475.73774605369,32936.65569234783,4.900864752250603e-06,0.0004704826363749096
0.44,62168.0691610251,38525.610605098125,3.920690822295312e-06,0.0004704826363749096
0.46,61330.22322248632,29641.07560519991,4.900864752250603e-06,0.0004704826363749096
0.48,51522.09576696197,24772.253723112073,6.371125178347137e-06,0.0004704826363749096
0.5,46247.344242237305,26097.696986340703,6.371125178347137e-06,0.0004704826363749096
0.52,43469.06000605488,20690.992594874562,8.331463769056407e-06,0.0004704826363749096
0.54,52953.61236875157,25679.966597472667,6.861204854049993e-06,0.0004704826363749096
0.56,53701.43047200885,25245.25056808511,6.861203342959873e-06,0.0004704826363749096
0.58,55857.21225714724,25208.73334351974,6.861203342959873e-06,0.0004704826363749096
0.6,58679.118621363086,23535.825218721708,7.351290307937519e-06,0.0004704826363749096
0.62,61305.67734052042,24721.123325484376,6.861203342959873e-06,0.0004704826363749096
0.64,53418.53103371526,21218.346048999625,7.351287990637191e-06,0.0004704826363749096
0.66,48676.79503932033,19418.03423142709,7.351287990637191e-06,0.0004704826363749096
0.68,34208.37878619798,20371.089548668497,6.37112054374648e-06,0.0004704826363749096
0.7,40522.51898318391,19273.470323627076,6.371121012582881e-06,0.0004704826363749096
0.72,38221.55413282013,18117.655746670367,6.371120257037822e-06,0.0004704826363749096
0.74,35941.80703807893,15979.52350489838,5.881033474187924e-06,0.0004704826363749096
0.76,27348.857084384716,12858.132949199417,7.3512895523924545e-06,0.0004704826363749096
0.78,20524.427867543593,10931.101424547225,7.84137576182504e-06,0.0004704826363749096
0.8,23706.94052424311,12039.135222547513,6.861203342959868e-06,0.0004704826363749096
0.82,20038.019193533077,8112.74527063252,9.801717425379698e-06,0.0004704826363749096
0.84,19016.599666827926,7175.212368472612,1.0291803634812285e-05,0.0004704826363749096
0.86,19047.56650389755,7600.264630616394,9.311629704856993e-06,0.0004704826363749096
