t,p_avg_Pa,p_std_Pa,p_min_Pa,p_max_Pa,span_rel_pct,Umag_max_m_s,Umag_avg_m_s,Re_max
0.1000,765.053000,0.000000e+00,765.053000,765.053000,0.000000e+00,1.889206e-14,7.486142e-15,1.511364e-11
0.2000,1643.468000,6.821210e-13,1643.468000,1643.468000,0.000000e+00,8.127228e-14,3.133392e-14,6.501783e-11
0.3000,1644.052000,2.273737e-13,1644.052000,1644.052000,0.000000e+00,4.046041e-14,1.283555e-14,3.236833e-11
0.4000,1575.248000,0.000000e+00,1575.248000,1575.248000,0.000000e+00,4.174991e-14,1.982742e-14,3.339993e-11
0.5000,1523.436000,0.000000e+00,1523.436000,1523.436000,0.000000e+00,3.362777e-14,1.163131e-14,2.690221e-11
0.6000,1559.952000,0.000000e+00,1559.952000,1559.952000,0.000000e+00,6.196005e-14,2.250723e-14,4.956804e-11
0.7000,1693.087000,2.273737e-13,1693.087000,1693.087000,0.000000e+00,1.452427e-13,2.279252e-14,1.161942e-10
0.8000,1861.901000,2.273737e-13,1861.901000,1861.901000,0.000000e+00,7.246562e-14,1.616264e-14,5.797250e-11
0.9000,1975.972000,4.547474e-13,1975.972000,1975.972000,0.000000e+00,4.922429e-14,1.618430e-14,3.937943e-11
1.0000,1974.770000,2.273737e-13,1974.770000,1974.770000,0.000000e+00,5.817268e-14,1.930576e-14,4.653815e-11
1.1000,1867.393000,0.000000e+00,1867.393000,1867.393000,0.000000e+00,6.525879e-14,2.102420e-14,5.220703e-11
1.2000,1726.371000,6.821210e-13,1726.371000,1726.371000,0.000000e+00,4.028080e-14,1.173616e-14,3.222464e-11
1.3000,1639.633000,2.273737e-13,1639.633000,1639.633000,0.000000e+00,3.995363e-14,1.106219e-14,3.196291e-11
1.4000,1652.442000,6.821210e-13,1652.442000,1652.442000,0.000000e+00,3.565967e-14,1.263612e-14,2.852774e-11
1.5000,1737.699000,2.273737e-13,1737.699000,1737.699000,0.000000e+00,4.835427e-14,1.492462e-14,3.868342e-11
1.6000,1814.278000,4.547474e-13,1814.278000,1814.278000,0.000000e+00,5.906269e-14,2.601579e-14,4.725015e-11
1.7000,1801.239000,0.000000e+00,1801.239000,1801.239000,0.000000e+00,5.986300e-14,1.952523e-14,4.789040e-11
1.8000,1672.037000,2.273737e-13,1672.037000,1672.037000,0.000000e+00,5.894891e-14,1.834429e-14,4.715913e-11
1.9000,1472.846000,2.273737e-13,1472.846000,1472.846000,0.000000e+00,3.965223e-14,2.048585e-14,3.172179e-11
2.0000,1292.845000,2.273737e-13,1292.845000,1292.845000,0.000000e+00,3.276914e-14,1.157738e-14,2.621531e-11
2.1000,1206.120000,2.273737e-13,1206.120000,1206.120000,0.000000e+00,2.521451e-14,8.658833e-15,2.017161e-11
2.2000,1223.605000,2.273737e-13,1223.605000,1223.605000,0.000000e+00,3.824336e-14,1.504328e-14,3.059469e-11
2.3000,1286.842000,2.273737e-13,1286.842000,1286.842000,0.000000e+00,3.880835e-14,1.287050e-14,3.104668e-11
2.4000,1307.673000,2.273737e-13,1307.673000,1307.673000,0.000000e+00,2.843776e-14,1.038410e-14,2.275021e-11
2.5000,1227.570000,2.273737e-13,1227.570000,1227.570000,0.000000e+00,4.789762e-14,1.539082e-14,3.831810e-11
2.6000,1057.325000,2.273737e-13,1057.325000,1057.325000,0.000000e+00,3.725242e-14,1.704910e-14,2.980194e-11
2.7000,870.813000,0.000000e+00,870.813000,870.813000,0.000000e+00,3.766274e-14,1.117083e-14,3.013019e-11
