z_mm,xc_mm,yc_mm,offset_lateral_mm
0.000,0.00001,-0.00001,0.00002
0.002,0.00006,-0.00005,0.00007
0.004,0.00014,-0.00011,0.00017
0.006,0.00024,-0.00017,0.00029
0.008,0.00035,-0.00024,0.00043
0.010,0.00048,-0.00030,0.00057
0.012,0.00061,-0.00034,0.00070
0.014,0.00074,-0.00036,0.00082
0.016,0.00086,-0.00036,0.00094
0.018,0.00097,-0.00034,0.00103
0.020,0.00105,-0.00030,0.00109
0.022,0.00109,-0.00024,0.00112
0.024,0.00107,-0.00017,0.00109
0.026,0.00096,-0.00010,0.00096
0.028,0.00071,-0.00004,0.00071
0.030,0.00045,-0.00001,0.00045
