z_mm,xc_mm,yc_mm,offset_lateral_mm
0.000,-0.00061,-0.00000,0.00061
0.002,-0.00255,0.00000,0.00255
0.004,-0.00598,0.00000,0.00598
0.006,-0.01047,0.00000,0.01047
0.008,-0.01575,0.00000,0.01575
0.010,-0.02144,0.00000,0.02144
0.012,-0.02717,0.00000,0.02717
0.014,-0.03254,0.00000,0.03254
0.016,-0.03712,0.00000,0.03712
0.018,-0.04046,0.00001,0.04046
0.020,-0.04233,0.00001,0.04233
0.022,-0.04189,0.00001,0.04189
0.024,-0.03319,0.00001,0.03319
0.026,-0.02068,0.00000,0.02068
0.028,-0.00891,0.00000,0.00891
0.030,-0.00104,0.00000,0.00104
