t_s,face_idx,x_m,y_m,z_m,P_Pa
0.02,952,-0.00157835,-0.001923225,0.0295,138635.62369423668
0.02,953,-0.0011728195,-0.00219419,0.0295,138635.93801251537
0.06,955,-0.00024386299999999995,-0.00247598,0.0295,482.1212002499371
0.06,956,0.00024386300000000006,-0.00247598,0.0295,200529.71203153412
0.06,957,0.0007222175,-0.00238083,0.0295,203092.36106227632
0.06,958,0.0011728195,-0.00219419,0.0295,3045.1989486187927
0.08,957,0.0007222175,-0.00238083,0.0295,149565.91701687922
0.08,958,0.0011728195,-0.00219419,0.0295,181062.70041963365
0.08,959,0.00157835,-0.0019232249999999998,0.0295,31496.843559672772
0.1,914,-0.0007222175,-0.00238083,0.0245,20247.67433611574
0.1,915,-0.00024386299999999995,-0.00247598,0.0245,20247.660757114638
0.1,922,-0.0007222175,-0.00238083,0.0255,20247.680792673513
0.1,923,-0.00024386299999999995,-0.00247598,0.0255,20247.687473038124
0.1,957,0.0007222175,-0.00238083,0.0295,62061.359174368714
0.1,958,0.0011728195,-0.00219419,0.0295,126579.73337584497
0.1,959,0.00157835,-0.0019232249999999998,0.0295,64518.434349649244
0.12,920,-0.00157835,-0.001923225,0.0255,14749.875120686413
0.12,921,-0.0011728195,-0.00219419,0.0255,25298.938387058854
0.12,922,-0.0007222175,-0.00238083,0.0255,10548.971464123884
0.12,928,-0.00157835,-0.001923225,0.0265,14749.880817026073
0.12,929,-0.0011728195,-0.00219419,0.0265,42974.85986204609
0.12,930,-0.0007222175,-0.00238083,0.0265,47336.07967291968
0.12,931,-0.00024386299999999995,-0.00247598,0.0265,19111.038491513456
0.12,937,-0.0011728195,-0.00219419,0.0275,17675.963427349583
0.12,938,-0.0007222175,-0.00238083,0.0275,36787.035449190524
0.12,939,-0.00024386299999999995,-0.00247598,0.0275,19111.106993345416
0.12,957,0.0007222175,-0.00238083,0.0295,30310.41077156329
0.12,958,0.0011728195,-0.00219419,0.0295,86565.23921456521
0.12,959,0.00157835,-0.0019232249999999998,0.0295,56254.84930748727
0.14,739,-0.00024386299999999995,-0.00247598,0.0025,6687.765951773432
0.14,740,0.00024386300000000006,-0.00247598,0.0025,6687.768145315446
0.14,747,-0.00024386299999999995,-0.00247598,0.0035,6692.495503838609
0.14,748,0.00024386300000000006,-0.00247598,0.0035,6692.4963086896805
0.14,755,-0.00024386299999999995,-0.00247598,0.0045000000000000005,4.723060156883882
0.14,756,0.00024386300000000006,-0.00247598,0.0045000000000000005,4.723061821649702
0.14,920,-0.00157835,-0.001923225,0.0255,563480.7371899898
0.14,921,-0.0011728195,-0.00219419,0.0255,563481.0854614465
0.14,928,-0.00157835,-0.001923225,0.0265,563480.6955571792
0.14,929,-0.0011728195,-0.00219419,0.0265,563481.075069394
0.14,930,-0.0007222175,-0.00238083,0.0265,18204.182510857223
0.14,931,-0.00024386299999999995,-0.00247598,0.0265,18204.155361704674
0.14,938,-0.0007222175,-0.00238083,0.0275,18204.19052684848
0.14,939,-0.00024386299999999995,-0.00247598,0.0275,18204.18206943943
0.14,957,0.0007222175,-0.00238083,0.0295,21586.66004228769
0.14,958,0.0011728195,-0.00219419,0.0295,25382.387319716403
0.14,959,0.00157835,-0.0019232249999999998,0.0295,3795.681127940017
0.16,731,-0.00024386299999999995,-0.00247598,0.0015,26137.51519647765
0.16,732,0.00024386300000000006,-0.00247598,0.0015,26137.596522056116
0.16,739,-0.00024386299999999995,-0.00247598,0.0025,26137.578828784048
0.16,740,0.00024386300000000006,-0.00247598,0.0025,26137.53365847857
0.16,920,-0.00157835,-0.001923225,0.0255,7.617950468032872
0.16,921,-0.0011728195,-0.00219419,0.0255,7.750857323393393
0.16,928,-0.00157835,-0.001923225,0.0265,7.61795273919076
0.16,929,-0.0011728195,-0.00219419,0.0265,7.746205413817077
0.16,957,0.0007222175,-0.00238083,0.0295,58249.02988728653
0.16,958,0.0011728195,-0.00219419,0.0295,58249.04291709521
0.18,724,0.00024386300000000006,-0.00247598,0.0005,22297.08537463585
0.18,725,0.0007222175,-0.00238083,0.0005,57282.76187370944
0.18,726,0.0011728195,-0.00219419,0.0005,34985.70723284724
0.18,921,-0.0011728195,-0.00219419,0.0255,14815.152795404068
0.18,922,-0.0007222175,-0.00238083,0.0255,14815.199686706892
0.18,929,-0.0011728195,-0.00219419,0.0265,14815.118940990114
0.18,930,-0.0007222175,-0.00238083,0.0265,60198.353595031986
0.18,931,-0.00024386299999999995,-0.00247598,0.0265,45383.26772532141
0.18,938,-0.0007222175,-0.00238083,0.0275,45383.28199084438
0.18,939,-0.00024386299999999995,-0.00247598,0.0275,45383.2448040687
0.18,949,0.0007222175,-0.00238083,0.0285,12806.986077762404
0.18,950,0.0011728195,-0.00219419,0.0285,12806.993212819316
0.18,957,0.0007222175,-0.00238083,0.0295,12932.377606707283
0.18,958,0.0011728195,-0.00219419,0.0295,12932.387386691755
0.2,724,0.00024386300000000006,-0.00247598,0.0005,46355.30681886164
0.2,725,0.0007222175,-0.00238083,0.0005,46355.39950989204
0.2,930,-0.0007222175,-0.00238083,0.0265,31052.7878037657
0.2,931,-0.00024386299999999995,-0.00247598,0.0265,31052.881250498493
0.2,938,-0.0007222175,-0.00238083,0.0275,31052.807479211922
0.2,939,-0.00024386299999999995,-0.00247598,0.0275,31052.812943298406
0.2,949,0.0007222175,-0.00238083,0.0285,19431.72446096589
0.2,950,0.0011728195,-0.00219419,0.0285,19431.68768148819
0.2,957,0.0007222175,-0.00238083,0.0295,19431.74639919418
0.2,958,0.0011728195,-0.00219419,0.0295,19431.708124001863
0.24,234,0.00238083,-0.0007222175,0.0295,19765.993446907745
0.24,235,0.00247598,-0.00024386300000000006,0.0295,44495.77825254886
0.24,236,0.00247598,0.00024386299999999995,0.0295,100253.777375269
0.24,237,0.00238083,0.0007222175,0.0295,75524.06086784528
0.24,473,0.0011728195,0.00219419,0.0295,83501.19599592571
0.24,474,0.0007222175,0.00238083,0.0295,92451.1198838067
0.24,475,0.00024386299999999995,0.00247598,0.0295,8961.085861635296
0.24,476,-0.00024386300000000006,0.00247598,0.0295,10.143730846389804
0.26,235,0.00247598,-0.00024386300000000006,0.0295,133.44795394774698
0.26,236,0.00247598,0.00024386299999999995,0.0295,38856.000831917845
0.26,237,0.00238083,0.0007222175,0.0295,38722.923946675306
0.26,467,0.00024386299999999995,0.00247598,0.0285,72121.24459616597
0.26,468,-0.00024386300000000006,0.00247598,0.0285,72121.27573687324
0.26,475,0.00024386299999999995,0.00247598,0.0295,72121.10642946349
0.26,476,-0.00024386300000000006,0.00247598,0.0295,72121.17227167067
0.28,228,0.00247598,0.00024386299999999995,0.0285,12456.676782464896
0.28,229,0.00238083,0.0007222175,0.0285,12456.653408881537
0.28,236,0.00247598,0.00024386299999999995,0.0295,12456.688954810583
0.28,237,0.00238083,0.0007222175,0.0295,12456.681641773623
0.28,464,0.00157835,0.001923225,0.0285,50857.93752493311
0.28,465,0.0011728195,0.00219419,0.0285,94076.15460737115
0.28,466,0.0007222175,0.00238083,0.0285,43591.819751531366
0.28,467,0.00024386299999999995,0.00247598,0.0285,373.5741523633561
0.28,472,0.00157835,0.001923225,0.0295,50857.958486455194
0.28,473,0.0011728195,0.00219419,0.0295,94076.17587407558
0.28,474,0.0007222175,0.00238083,0.0295,43591.76294060611
0.28,475,0.00024386299999999995,0.00247598,0.0295,373.5734986892004
0.3,227,0.00247598,-0.00024386300000000006,0.0285,4935.757009747947
0.3,228,0.00247598,0.00024386299999999995,0.0285,4935.760479946327
0.3,230,0.00219419,0.0011728195,0.0285,27153.838371950293
0.3,231,0.0019232249999999998,0.00157835,0.0285,27153.824907920432
0.3,235,0.00247598,-0.00024386300000000006,0.0295,4935.755179382381
0.3,236,0.00247598,0.00024386299999999995,0.0295,4935.758976013821
0.3,238,0.00219419,0.0011728195,0.0295,27153.82163269104
0.3,239,0.0019232249999999998,0.00157835,0.0295,27153.875814328974
0.3,464,0.00157835,0.001923225,0.0285,61541.54085778158
0.3,465,0.0011728195,0.00219419,0.0285,61541.580311525955
0.3,472,0.00157835,0.001923225,0.0295,61541.5331457545
0.3,473,0.0011728195,0.00219419,0.0295,61541.54164871075
