# Time Dx Dy Dz magD
0.001 -2.31216e-05 1.08506e-05 -1.94436e-06 2.5615e-05
0.002 -3.43742e-05 1.62056e-05 -2.9989e-06 3.81209e-05
0.003 -4.12174e-05 1.94246e-05 -3.69665e-06 4.57149e-05
0.004 -4.56639e-05 2.13681e-05 -4.08783e-06 5.05816e-05
0.005 -4.80101e-05 2.24623e-05 -4.31617e-06 5.31804e-05
0.006 -4.92287e-05 2.30157e-05 -4.43359e-06 5.45238e-05
0.007 -4.98457e-05 2.33171e-05 -4.51396e-06 5.52146e-05
0.008 -5.01761e-05 2.34846e-05 -4.57327e-06 5.55885e-05
0.009 -5.0315e-05 2.35611e-05 -4.61806e-06 5.57499e-05
0.01 -4.97437e-05 2.35661e-05 -4.62519e-06 5.52375e-05
0.011 -4.85251e-05 2.34429e-05 -4.63168e-06 5.40898e-05
0.012 -4.73192e-05 2.33204e-05 -4.63762e-06 5.29571e-05
0.013 -4.61939e-05 2.32049e-05 -4.64295e-06 5.19028e-05
0.014 -4.51594e-05 2.30983e-05 -4.64768e-06 5.09363e-05
0.015 -4.4203e-05 2.29997e-05 -4.65166e-06 5.00453e-05
0.016 -4.24666e-05 2.29354e-05 -4.53677e-06 4.84771e-05
0.017 -4.05758e-05 2.29067e-05 -4.33064e-06 4.6796e-05
0.018 -3.89426e-05 2.28787e-05 -4.14491e-06 4.53557e-05
0.019 -3.75171e-05 2.28587e-05 -3.9836e-06 4.41126e-05
0.02 -3.58583e-05 2.27974e-05 -3.78217e-06 4.26596e-05
0.021 -3.44812e-05 2.28033e-05 -3.62027e-06 4.14976e-05
0.022 -3.22427e-05 2.28934e-05 -3.7384e-06 3.972e-05
0.023 -3.03558e-05 2.30069e-05 -3.84547e-06 3.82829e-05
0.024 -2.97379e-05 2.30639e-05 -3.74913e-06 3.78199e-05
0.025 -2.91829e-05 2.31057e-05 -3.67375e-06 3.74034e-05
0.026 -2.86218e-05 2.31222e-05 -3.56812e-06 3.69672e-05
0.027 -2.81152e-05 2.3139e-05 -3.51045e-06 3.65814e-05
0.028 -2.75801e-05 2.3169e-05 -3.43298e-06 3.61835e-05
0.029 -2.71626e-05 2.31777e-05 -3.40239e-06 3.58691e-05
0.03 -2.66929e-05 2.31878e-05 -3.34796e-06 3.55161e-05
0.031 -2.6502e-05 2.31898e-05 -3.32113e-06 3.53716e-05
0.032 -2.62897e-05 2.31915e-05 -3.26874e-06 3.52091e-05
0.033 -2.59509e-05 2.32133e-05 -3.18641e-06 3.49636e-05
0.034 -2.55777e-05 2.32168e-05 -3.15854e-06 3.46874e-05
0.035 -2.52028e-05 2.32055e-05 -3.13471e-06 3.44021e-05
0.036 -2.48807e-05 2.3225e-05 -3.10782e-06 3.41776e-05
0.037 -2.46947e-05 2.32377e-05 -3.06762e-06 3.40475e-05
0.038 -2.46346e-05 2.32277e-05 -3.06243e-06 3.39965e-05
0.039 -2.45955e-05 2.32147e-05 -3.06069e-06 3.39592e-05
0.04 -2.45717e-05 2.32074e-05 -3.05828e-06 3.39368e-05
0.041 -2.45564e-05 2.32027e-05 -3.05751e-06 3.39224e-05
0.042 -2.4541e-05 2.31983e-05 -3.05374e-06 3.39079e-05
0.043 -2.45247e-05 2.31931e-05 -3.05285e-06 3.38925e-05
