# Region type : patch inlet
# Faces       : 128
# Area        : 9.418766e-07
# Scale factor: 1.000000e+00
# Time        	sum(phi)
0.001         	-1.474072e-13
0.002         	-4.242443e-13
0.003         	-8.165018e-13
0.004         	-1.312998e-12
0.005         	-2.098933e-12
0.006         	-3.246530e-12
0.007         	-4.717854e-12
0.008         	-6.482309e-12
0.009         	-8.600103e-12
0.01          	-1.123510e-11
0.011         	-1.433637e-11
0.012         	-1.786199e-11
0.013         	-2.177680e-11
0.014         	-2.631294e-11
0.015         	-3.142349e-11
0.016         	-3.705798e-11
0.017         	-4.317379e-11
0.018         	-4.988880e-11
0.019         	-5.725089e-11
0.02          	-6.520387e-11
0.021         	-7.369980e-11
0.022         	-8.275658e-11
0.023         	-9.249848e-11
0.024         	-1.028663e-10
0.025         	-1.138095e-10
0.026         	-1.252842e-10
0.027         	-1.374412e-10
0.028         	-1.502405e-10
0.029         	-1.636302e-10
0.03          	-1.775651e-10
0.031         	-1.921000e-10
0.032         	-2.072604e-10
0.033         	-2.229958e-10
0.034         	-2.392625e-10
0.035         	-2.560515e-10
0.036         	-2.734322e-10
0.037         	-2.913570e-10
0.038         	-3.097855e-10
0.039         	-3.286790e-10
0.04          	-3.480926e-10
0.041         	-3.679976e-10
0.042         	-3.883590e-10
0.043         	-4.091428e-10
0.044         	-4.303505e-10
0.045         	-4.519816e-10
0.046         	-4.740023e-10
0.047         	-4.963852e-10
0.048         	-5.191097e-10
0.049         	-5.421693e-10
0.05          	-5.655396e-10
0.051         	-5.891995e-10
0.052         	-6.131310e-10
0.053         	-6.372945e-10
0.054         	-6.616787e-10
0.055         	-6.862651e-10
0.056         	-7.110407e-10
0.057         	-7.359703e-10
0.058         	-7.610089e-10
0.059         	-7.861542e-10
0.06          	-8.114014e-10
0.061         	-8.367324e-10
0.062         	-8.620562e-10
0.063         	-8.873797e-10
0.064         	-9.127068e-10
0.065         	-9.380403e-10
0.066         	-9.632735e-10
0.067         	-9.883907e-10
0.068         	-1.013406e-09
0.069         	-1.038330e-09
0.07          	-1.063098e-09
0.071         	-1.087630e-09
0.072         	-1.111951e-09
0.073         	-1.136080e-09
0.074         	-1.160018e-09
0.075         	-1.183597e-09
