# Region      : all region0
# Cells       : 20352
# Volume      : 5.203692e-08
# Time        	max(magU)
0.001         	2.415181e-07
0.002         	6.283761e-07
0.003         	1.195155e-06
0.004         	1.935916e-06
0.005         	3.130711e-06
0.006         	4.869326e-06
0.007         	7.112298e-06
0.008         	9.895920e-06
0.009         	1.329320e-05
0.01          	1.751954e-05
0.011         	2.255772e-05
0.012         	2.841071e-05
0.013         	3.504554e-05
0.014         	4.273942e-05
0.015         	5.151631e-05
0.016         	6.133893e-05
0.017         	7.214209e-05
0.018         	8.406284e-05
0.019         	9.719306e-05
0.02          	1.114957e-04
0.021         	1.269147e-04
0.022         	1.434689e-04
0.023         	1.613153e-04
0.024         	1.804096e-04
0.025         	2.006939e-04
0.026         	2.221074e-04
0.027         	2.448395e-04
0.028         	2.688526e-04
0.029         	2.940857e-04
0.03          	3.204793e-04
0.031         	3.481033e-04
0.032         	3.769870e-04
0.033         	4.070612e-04
0.034         	4.382695e-04
0.035         	4.705964e-04
0.036         	5.041351e-04
0.037         	5.387985e-04
0.038         	5.745361e-04
0.039         	6.112930e-04
0.04          	6.491550e-04
0.041         	6.880485e-04
0.042         	7.279122e-04
0.043         	7.687010e-04
0.044         	8.104272e-04
0.045         	8.530690e-04
0.046         	8.965553e-04
0.047         	9.408428e-04
0.048         	9.859013e-04
0.049         	1.031736e-03
0.05          	1.078254e-03
0.051         	1.125421e-03
0.052         	1.173205e-03
0.053         	1.221581e-03
0.054         	1.270469e-03
0.055         	1.319837e-03
0.056         	1.369656e-03
0.057         	1.419875e-03
0.058         	1.470428e-03
0.059         	1.521269e-03
0.06          	1.572377e-03
0.061         	1.623722e-03
0.062         	1.675187e-03
0.063         	1.726737e-03
0.064         	1.778358e-03
0.065         	1.830042e-03
0.066         	1.881651e-03
0.067         	1.933130e-03
0.068         	1.984475e-03
0.069         	2.035685e-03
0.07          	2.086663e-03
0.071         	2.137290e-03
0.072         	2.187572e-03
0.073         	2.237517e-03
0.074         	2.287110e-03
0.075         	2.336116e-03
0.076         	2.384570e-03
0.077         	2.432486e-03
0.078         	2.479883e-03
0.079         	2.526533e-03
0.08          	2.572408e-03
0.081         	2.617539e-03
0.082         	2.661950e-03
0.083         	2.705534e-03
0.084         	2.748123e-03
0.085         	2.789782e-03
0.086         	2.830546e-03
0.087         	2.870427e-03
0.088         	2.909185e-03
0.089         	2.946789e-03
0.09          	2.983291e-03
0.091         	3.018744e-03
0.092         	3.053037e-03
0.093         	3.086017e-03
0.094         	3.117686e-03
0.095         	3.148122e-03
0.096         	3.177299e-03
0.097         	3.205056e-03
0.098         	3.231359e-03
0.099         	3.256283e-03
0.1           	3.279907e-03
0.101         	3.302227e-03
0.102         	3.323155e-03
0.103         	3.342790e-03
0.104         	3.361198e-03
0.105         	3.378507e-03
0.106         	3.394740e-03
0.107         	3.409921e-03
0.108         	3.424124e-03
0.109         	3.437437e-03
0.11          	3.449930e-03
0.111         	3.461604e-03
0.112         	3.472514e-03
0.113         	3.482717e-03
0.114         	3.492306e-03
0.115         	3.501262e-03
0.116         	3.509629e-03
0.117         	3.517452e-03
0.118         	3.524782e-03
0.119         	3.531647e-03
0.12          	3.538062e-03
0.121         	3.544061e-03
0.122         	3.549674e-03
0.123         	3.554927e-03
0.124         	3.559842e-03
0.125         	3.564441e-03
0.126         	3.568747e-03
0.127         	3.572749e-03
0.128         	3.576511e-03
0.129         	3.580039e-03
0.13          	3.583347e-03
0.131         	3.586417e-03
0.132         	3.589279e-03
0.133         	3.591972e-03
0.134         	3.594499e-03
0.135         	3.596853e-03
0.136         	3.599008e-03
0.137         	3.601055e-03
0.138         	3.602991e-03
0.139         	3.604817e-03
0.14          	3.606462e-03
0.141         	3.608031e-03
0.142         	3.609533e-03
0.143         	3.610964e-03
0.144         	3.612259e-03
0.145         	3.613455e-03
0.146         	3.614614e-03
0.147         	3.615726e-03
0.148         	3.616764e-03
0.149         	3.617661e-03
0.15          	3.618551e-03
0.151         	3.619418e-03
0.152         	3.620251e-03
0.153         	3.620944e-03
0.154         	3.621619e-03
0.155         	3.622293e-03
0.156         	3.622950e-03
0.157         	3.623544e-03
0.158         	3.624087e-03
0.159         	3.624627e-03
0.16          	3.625154e-03
0.161         	3.625645e-03
0.162         	3.626077e-03
0.163         	3.626499e-03
0.164         	3.626901e-03
0.165         	3.627279e-03
0.166         	3.627601e-03
0.167         	3.627912e-03
0.168         	3.628221e-03
0.169         	3.628520e-03
0.17          	3.628793e-03
0.171         	3.629034e-03
0.172         	3.629274e-03
0.173         	3.629507e-03
0.174         	3.629728e-03
0.175         	3.629911e-03
0.176         	3.630097e-03
0.177         	3.630280e-03
0.178         	3.630457e-03
0.179         	3.630602e-03
0.18          	3.630741e-03
0.181         	3.630881e-03
0.182         	3.631019e-03
0.183         	3.631140e-03
0.184         	3.631242e-03
0.185         	3.631349e-03
0.186         	3.631456e-03
0.187         	3.631559e-03
0.188         	3.631635e-03
0.189         	3.631717e-03
0.19          	3.631801e-03
0.191         	3.631883e-03
