# Time Dx Dy Dz magD
0.001 -2.06623e-08 9.69678e-09 -1.73783e-09 2.28906e-08
0.002 -4.98548e-08 2.3394e-08 -4.26959e-09 5.5236e-08
0.003 -8.53665e-08 4.02501e-08 -7.07913e-09 9.46447e-08
0.004 -1.25583e-07 5.88093e-08 -1.04712e-08 1.39065e-07
0.005 -1.94912e-07 9.15049e-08 -1.68705e-08 2.15982e-07
0.006 -2.93508e-07 1.366e-07 -2.52169e-08 3.24719e-07
0.007 -4.11631e-07 1.91382e-07 -3.55908e-08 4.55339e-07
0.008 -5.31517e-07 2.46089e-07 -4.60571e-08 5.8753e-07
0.009 -6.79643e-07 3.1479e-07 -5.89396e-08 7.5132e-07
0.01 -8.61412e-07 3.99451e-07 -7.57319e-08 9.52537e-07
0.011 -1.06476e-06 4.94304e-07 -9.35921e-08 1.17763e-06
0.012 -1.27505e-06 5.91403e-07 -1.1199e-07 1.40998e-06
0.013 -1.49526e-06 6.94046e-07 -1.32135e-07 1.65377e-06
0.014 -1.75764e-06 8.15608e-07 -1.56114e-07 1.94394e-06
0.015 -2.02536e-06 9.4456e-07 -1.80593e-07 2.24208e-06
0.016 -2.32489e-06 1.08154e-06 -2.0678e-07 2.57247e-06
0.017 -2.62122e-06 1.22299e-06 -2.35855e-07 2.90209e-06
0.018 -2.955e-06 1.37682e-06 -2.66079e-07 3.27085e-06
0.019 -3.31039e-06 1.54364e-06 -2.99709e-07 3.66488e-06
0.02 -3.68901e-06 1.72148e-06 -3.34002e-07 4.08458e-06
0.021 -4.06743e-06 1.89901e-06 -3.70314e-07 4.50415e-06
0.022 -4.47024e-06 2.08639e-06 -4.08805e-07 4.95007e-06
0.023 -4.89959e-06 2.28703e-06 -4.51072e-07 5.42586e-06
0.024 -5.36275e-06 2.50285e-06 -4.95442e-07 5.93875e-06
0.025 -5.82981e-06 2.71909e-06 -5.38576e-07 6.45525e-06
0.026 -6.30989e-06 2.94889e-06 -5.85042e-07 6.98949e-06
0.027 -6.80121e-06 3.17768e-06 -6.31779e-07 7.53347e-06
0.028 -7.32698e-06 3.42194e-06 -6.80601e-07 8.11527e-06
0.029 -7.87346e-06 3.67978e-06 -7.31795e-07 8.72168e-06
0.03 -8.41741e-06 3.93829e-06 -7.82381e-07 9.32604e-06
0.031 -8.98506e-06 4.2015e-06 -8.34813e-07 9.95393e-06
0.032 -9.57984e-06 4.48402e-06 -8.91142e-07 1.06148e-05
0.033 -1.0152e-05 4.75683e-06 -9.47191e-07 1.12511e-05
0.034 -1.07702e-05 5.05072e-06 -1.00653e-06 1.19382e-05
0.035 -1.14044e-05 5.34465e-06 -1.06615e-06 1.26397e-05
0.036 -1.20884e-05 5.66586e-06 -1.13131e-06 1.33981e-05
0.037 -1.2684e-05 5.95568e-06 -1.19142e-06 1.40632e-05
0.038 -1.33432e-05 6.26379e-06 -1.25333e-06 1.47935e-05
0.039 -1.39976e-05 6.57551e-06 -1.316e-06 1.5521e-05
0.04 -1.47085e-05 6.90877e-06 -1.38438e-06 1.63092e-05
0.041 -1.54133e-05 7.23729e-06 -1.44993e-06 1.70895e-05
0.042 -1.60997e-05 7.57036e-06 -1.51708e-06 1.78553e-05
0.043 -1.68155e-05 7.90919e-06 -1.58369e-06 1.865e-05
0.044 -1.75496e-05 8.25487e-06 -1.65263e-06 1.94644e-05
0.045 -1.82923e-05 8.61179e-06 -1.72133e-06 2.02912e-05
0.046 -1.90292e-05 8.96116e-06 -1.78956e-06 2.11096e-05
0.047 -1.97733e-05 9.32363e-06 -1.86248e-06 2.19404e-05
0.048 -2.05772e-05 9.69855e-06 -1.93592e-06 2.28305e-05
0.049 -2.13462e-05 1.00674e-05 -2.01311e-06 2.36869e-05
0.05 -2.21316e-05 1.04507e-05 -2.09065e-06 2.45641e-05
0.051 -2.29092e-05 1.08173e-05 -2.16477e-06 2.5427e-05
0.052 -2.36666e-05 1.11761e-05 -2.23594e-06 2.62681e-05
0.053 -2.44317e-05 1.15442e-05 -2.30925e-06 2.71203e-05
0.054 -2.52911e-05 1.19606e-05 -2.39452e-06 2.80789e-05
0.055 -2.60215e-05 1.23186e-05 -2.46751e-06 2.88956e-05
0.056 -2.68305e-05 1.27089e-05 -2.54737e-06 2.97974e-05
0.057 -2.75791e-05 1.30641e-05 -2.61834e-06 3.0629e-05
0.058 -2.8389e-05 1.34486e-05 -2.6943e-06 3.15287e-05
0.059 -2.91924e-05 1.38397e-05 -2.7733e-06 3.24256e-05
