  Time  Coordinate0  Coordinate1  Coordinate2  Force0  Force1  Force2
 0.00000000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e-03   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.81018800e-07   1.47315974e-07  -5.74373015e-08
 2.00000000e-03   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -7.62037523e-07   2.94631502e-07  -1.14874270e-07
 3.00000000e-03   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.14305639e-06   4.41946765e-07  -1.72311015e-07
 4.00000000e-03   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.52407536e-06   5.89261815e-07  -2.29747580e-07
 5.00000000e-03   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -2.39891888e-06   9.27505639e-07  -3.61624932e-07
 6.00000000e-03   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.53733740e-06   1.36765423e-06  -5.33232952e-07
 7.00000000e-03   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.67575651e-06   1.80780041e-06  -7.04839032e-07
 8.00000000e-03   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -5.81417650e-06   2.24794484e-06  -8.76443641e-07
 9.00000000e-03   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -7.18009559e-06   2.77604503e-06  -1.08234004e-06
 1.00000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -9.06686659e-06   3.50551778e-06  -1.36674690e-06
 1.10000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.09536385e-05   4.23498416e-06  -1.65114872e-06
 1.20000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.28404128e-05   4.96444612e-06  -1.93554680e-06
 1.30000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.47271890e-05   5.69390442e-06  -2.21994179e-06
 1.40000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.73164332e-05   6.69494944e-06  -2.61022116e-06
 1.50000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.99372409e-05   7.70818659e-06  -3.00524977e-06
 1.60000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -2.25580529e-05   8.72141617e-06  -3.40027193e-06
 1.70000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -2.51788686e-05   9.73463953e-06  -3.79528880e-06
 1.80000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -2.82353069e-05   1.09162769e-05  -4.25596366e-06
 1.90000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.15714305e-05   1.22060347e-05  -4.75878763e-06
 2.00000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.49075576e-05   1.34957805e-05  -5.26160191e-06
 2.10000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.82436902e-05   1.47855175e-05  -5.76440859e-06
 2.20000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.17594403e-05   1.61446887e-05  -6.29428230e-06
 2.30000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.57837540e-05   1.77004692e-05  -6.90080481e-06
 2.40000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.98080713e-05   1.92562346e-05  -7.50731510e-06
 2.50000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -5.38323950e-05   2.08119887e-05  -8.11381579e-06
 2.60000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -5.78567236e-05   2.23677330e-05  -8.72030824e-06
 2.70000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -6.24749524e-05   2.41530804e-05  -9.41631317e-06
 2.80000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -6.71497771e-05   2.59602914e-05  -1.01208356e-05
 2.90000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -7.18246071e-05   2.77674892e-05  -1.08253470e-05
 3.00000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -7.64994458e-05   2.95746772e-05  -1.15298496e-05
 3.10000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -8.15130337e-05   3.15128217e-05  -1.22854048e-05
 3.20000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -8.67874378e-05   3.35517894e-05  -1.30802633e-05
 3.30000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -9.20618453e-05   3.55907431e-05  -1.38751105e-05
 3.40000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -9.73362623e-05   3.76296872e-05  -1.46699489e-05
 3.50000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.02726649e-04   3.97134570e-05  -1.54822597e-05
 3.60000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.08535505e-04   4.19590075e-05  -1.63576418e-05
 3.70000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.14344362e-04   4.42045456e-05  -1.72330140e-05
 3.80000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.20153224e-04   4.64500739e-05  -1.81083779e-05
 3.90000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.25962089e-04   4.86955935e-05  -1.89837346e-05
 4.00000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.32160756e-04   5.10918165e-05  -1.99178459e-05
 4.10000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.38417676e-04   5.35105535e-05  -2.08607321e-05
 4.20000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.44674601e-04   5.59292852e-05  -2.18036132e-05
 4.30000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.50931525e-04   5.83480096e-05  -2.27464886e-05
 4.40000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.57369938e-04   6.08369010e-05  -2.37167204e-05
 4.50000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.63974541e-04   6.33900475e-05  -2.47120044e-05
 4.60000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.70579141e-04   6.59431910e-05  -2.57072865e-05
 4.70000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.77183746e-04   6.84963340e-05  -2.67025674e-05
 4.80000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.83828098e-04   7.10648447e-05  -2.77038399e-05
 4.90000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.90661085e-04   7.37062984e-05  -2.87335559e-05
 5.00000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -1.97494067e-04   7.63477567e-05  -2.97632759e-05
 5.10000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -2.04327054e-04   7.89892210e-05  -3.07929998e-05
 5.20000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -2.11160033e-04   8.16306854e-05  -3.18227248e-05
 5.30000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -2.18069929e-04   8.43019065e-05  -3.28640584e-05
 5.40000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -2.24996027e-04   8.69794077e-05  -3.39078464e-05
 5.50000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -2.31922131e-04   8.96569236e-05  -3.49516448e-05
 5.60000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -2.38848213e-04   9.23344410e-05  -3.59954475e-05
 5.70000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -2.45747971e-04   9.50017993e-05  -3.70352964e-05
 5.80000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -2.52618962e-04   9.76580628e-05  -3.80708298e-05
 5.90000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -2.59489957e-04   1.00314349e-04  -3.91063801e-05
 6.00000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -2.66360945e-04   1.02970649e-04  -4.01419425e-05
 6.10000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -2.73204554e-04   1.05616382e-04  -4.11733911e-05
 6.20000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -2.79864926e-04   1.08191307e-04  -4.21772472e-05
 6.30000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -2.86525292e-04   1.10766259e-04  -4.31811255e-05
 6.40000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -2.93185658e-04   1.13341236e-04  -4.41850227e-05
 6.50000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -2.99846009e-04   1.15916227e-04  -4.51889335e-05
 6.60000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.06213279e-04   1.18377943e-04  -4.61486945e-05
 6.70000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.12499320e-04   1.20808292e-04  -4.70962406e-05
 6.80000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.18785353e-04   1.23238669e-04  -4.80438100e-05
 6.90000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.25071380e-04   1.25669070e-04  -4.89913988e-05
 7.00000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.31126357e-04   1.28010175e-04  -4.99041852e-05
 7.10000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.36881239e-04   1.30235297e-04  -5.07717689e-05
 7.20000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.42636124e-04   1.32460458e-04  -5.16393821e-05
 7.30000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.48391002e-04   1.34685647e-04  -5.25070185e-05
 7.40000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.54086626e-04   1.36887957e-04  -5.33657456e-05
 7.50000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.59160620e-04   1.38849971e-04  -5.41308027e-05
 7.60000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.64234599e-04   1.40812020e-04  -5.48958898e-05
 7.70000000e-02   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.69308558e-04   1.42774097e-04  -5.56610009e-05
