  TimeWindow  TotalIterations  Iterations  Convergence
     1       8       8       1
     2      15       7       1
     3      21       6       1
     4      28       7       1
     5      34       6       1
     6      41       7       1
     7      48       7       1
     8      55       7       1
     9      62       7       1
    10      69       7       1
    11      76       7       1
    12      82       6       1
    13      88       6       1
    14      94       6       1
    15     101       7       1
    16     108       7       1
    17     115       7       1
    18     122       7       1
    19     128       6       1
    20     134       6       1
    21     140       6       1
    22     146       6       1
    23     152       6       1
    24     161       9       1
    25     167       6       1
    26     173       6       1
    27     179       6       1
    28     185       6       1
    29     191       6       1
    30     198       7       1
    31     203       5       1
    32     209       6       1
    33     215       6       1
    34     220       5       1
    35     225       5       1
    36     230       5       1
    37     235       5       1
    38     241       6       1
    39     247       6       1
    40     252       5       1
    41     257       5       1
    42     263       6       1
    43     268       5       1
    44     274       6       1
    45     279       5       1
    46     285       6       1
    47     291       6       1
    48     296       5       1
    49     301       5       1
    50     306       5       1
    51     311       5       1
    52     316       5       1
    53     322       6       1
    54     328       6       1
    55     334       6       1
    56     339       5       1
    57     343       4       1
    58     347       4       1
    59     352       5       1
    60     356       4       1
    61     361       5       1
    62     365       4       1
    63     371       6       1
    64     375       4       1
    65     379       4       1
    66     383       4       1
    67     388       5       1
    68     392       4       1
    69     397       5       1
    70     401       4       1
    71     404       3       1
    72     409       5       1
    73     414       5       1
    74     418       4       1
    75     422       4       1
    76     425       3       1
    77     428       3       1
    78     432       4       1
    79     436       4       1
    80     440       4       1
    81     446       6       1
    82     449       3       1
    83     452       3       1
    84     455       3       1
    85     459       4       1
    86     464       5       1
    87     468       4       1
    88     474       6       1
    89     478       4       1
    90     482       4       1
    91     486       4       1
    92     489       3       1
    93     492       3       1
    94     496       4       1
    95     500       4       1
    96     503       3       1
    97     506       3       1
    98     512       6       1
    99     516       4       1
   100     520       4       1
   101     524       4       1
   102     528       4       1
   103     531       3       1
   104     534       3       1
   105     537       3       1
   106     540       3       1
   107     543       3       1
   108     546       3       1
   109     551       5       1
   110     555       4       1
   111     559       4       1
   112     563       4       1
   113     566       3       1
   114     571       5       1
   115     575       4       1
   116     579       4       1
   117     583       4       1
   118     586       3       1
   119     592       6       1
   120     599       7       1
   121     604       5       1
   122     610       6       1
   123     613       3       1
   124     616       3       1
   125     622       6       1
   126     627       5       1
   127     631       4       1
   128     635       4       1
   129     639       4       1
   130     643       4       1
   131     648       5       1
   132     652       4       1
   133     658       6       1
   134     662       4       1
   135     666       4       1
   136     671       5       1
   137     675       4       1
   138     680       5       1
   139     684       4       1
   140     688       4       1
   141     692       4       1
   142     696       4       1
   143     700       4       1
   144     704       4       1
   145     708       4       1
   146     712       4       1
   147     716       4       1
   148     719       3       1
   149     724       5       1
   150     728       4       1
   151     732       4       1
   152     735       3       1
   153     739       4       1
   154     744       5       1
   155     748       4       1
   156     751       3       1
   157     757       6       1
   158     761       4       1
   159     766       5       1
   160     771       5       1
   161     775       4       1
   162     778       3       1
   163     783       5       1
   164     786       3       1
   165     791       5       1
   166     795       4       1
   167     798       3       1
   168     803       5       1
   169     807       4       1
   170     812       5       1
   171     817       5       1
   172     820       3       1
   173     824       4       1
   174     828       4       1
   175     833       5       1
   176     837       4       1
   177     841       4       1
   178     845       4       1
   179     849       4       1
   180     852       3       1
   181     856       4       1
   182     861       5       1
   183     864       3       1
   184     867       3       1
   185     870       3       1
   186     874       4       1
   187     878       4       1
   188     882       4       1
   189     885       3       1
   190     889       4       1
   191     892       3       1
   192     898       6       1
   193     903       5       1
   194     907       4       1
   195     911       4       1
   196     914       3       1
   197     918       4       1
   198     922       4       1
   199     926       4       1
   200     930       4       1
   201     937       7       1
   202     940       3       1
   203     943       3       1
   204     946       3       1
   205     949       3       1
   206     954       5       1
   207     958       4       1
   208     962       4       1
   209     965       3       1
   210     969       4       1
   211     973       4       1
   212     977       4       1
   213     981       4       1
   214     985       4       1
   215     989       4       1
   216     993       4       1
   217     997       4       1
   218    1001       4       1
   219    1006       5       1
   220    1010       4       1
   221    1014       4       1
   222    1019       5       1
   223    1022       3       1
   224    1025       3       1
   225    1029       4       1
   226    1033       4       1
   227    1037       4       1
   228    1041       4       1
   229    1044       3       1
   230    1047       3       1
   231    1050       3       1
   232    1053       3       1
   233    1056       3       1
   234    1059       3       1
   235    1062       3       1
   236    1067       5       1
   237    1070       3       1
   238    1074       4       1
   239    1078       4       1
   240    1082       4       1
   241    1085       3       1
   242    1089       4       1
