# Time dispX dispY dispZ forceX forceY forceZ
1 0 0 0 -7.2151e-08 0.000149651 0.252871
2 0 0 0 -2.93053e-09 0.000149245 0.507472
3 0 0 0 -7.51133e-08 0.000148878 0.76391
4 0 0 0 -2.50532e-08 0.000148546 1.0222
5 0 0 0 -8.12414e-09 0.000148199 1.28238
6 0 0 0 -1.71413e-08 0.000147848 1.54445
7 0 0 0 -1.46132e-08 0.000147499 1.80845
8 0 0 0 -2.45918e-08 0.000147152 2.0744
9 0 0 0 -2.08923e-08 0.000146804 2.34232
10 0 0 0 -1.70664e-08 0.000146459 2.61224
11 0 0 0 -1.81643e-07 0.000145031 2.88418
12 0 0 0 -3.34093e-07 0.000143033 3.15816
13 0 0 0 2.37695e-09 0.000145445 3.43422
14 0 0 0 -2.47319e-07 0.000145022 3.71238
15 0 0 0 -7.23836e-07 0.000143412 3.99266
16 0 0 0 5.78844e-09 0.000144437 4.2751
17 0 0 0 -1.92659e-07 0.000142111 4.55972
18 0 0 0 -1.00542e-09 0.000143865 4.84655
19 0 0 0 -4.42381e-08 0.000143564 5.13561
20 0 0 0 -5.48395e-09 0.000143342 5.42695
21 0 0 0 -6.0493e-09 0.000143183 5.72058
22 0 0 0 -3.29657e-09 0.00014313 6.01653
23 0 0 0 -3.30283e-09 0.000143264 6.31485
24 0 0 0 -3.79085e-09 0.000143786 6.61556
25 0 0 0 -1.08929e-08 0.000145214 6.91869
26 0 0 0 -4.38291e-08 0.000149362 7.22427
27 0 0 0 -3.62465e-08 0.000166617 7.53234
28 0 0 0 -9.58141e-08 0.00078038 7.84158
29 0 0 0 -1.77604e-06 0.0100178 7.85491
30 0 0 0 -7.0371e-07 0.0047098 7.8358
31 0 0 0 -3.95953e-07 0.0035865 7.81547
32 0 0 0 -7.35752e-08 0.00304691 7.79856
33 0 0 0 1.79505e-07 0.00272915 7.78348
34 0 0 0 3.48673e-07 0.00251289 7.76948
35 0 0 0 4.1928e-07 0.00235304 7.75621
36 0 0 0 4.42161e-07 0.00222855 7.74348
37 0 0 0 9.46112e-07 0.00212836 7.73118
38 0 0 0 5.18846e-09 0.00204485 7.71921
39 0 0 0 0.00665736 -0.189157 7.7327
