# Time dispX dispY dispZ forceX forceY forceZ
1 -5.6624856e-08 6.9393529e-09 -0.00018207609 -6.897002e-08 9.655304e-07 0.014637359
2 -4.179066e-06 9.9124885e-09 -0.00020063823 -1.0618516e-05 4.7318319e-08 0.017401555
3 -4.1885054e-06 1.0759978e-08 -0.00021909703 -1.0551816e-05 5.5960318e-08 0.018991187
4 -4.1941496e-06 1.1641399e-08 -0.00023755487 -1.0442731e-05 6.7714771e-08 0.020587925
5 -4.1983569e-06 1.2567458e-08 -0.00025601247 -1.0416501e-05 1.0038154e-07 0.022184169
6 -4.2023998e-06 1.3542346e-08 -0.00027447047 -1.0393355e-05 1.2054647e-07 0.023782601
7 -4.2055328e-06 1.4517321e-08 -0.00029292822 -1.0326001e-05 8.9659357e-08 0.025377842
8 -4.2086e-06 1.5534913e-08 -0.00031138575 -1.0347519e-05 1.3442122e-07 0.026976207
9 -4.2114273e-06 1.6552442e-08 -0.00032984356 -1.0310463e-05 1.0579035e-07 0.028573401
10 -4.2138378e-06 1.7560098e-08 -0.00034830123 -1.0292971e-05 1.0223926e-07 0.030169491
