# Time dispX dispY dispZ forceX forceY forceZ
1 0 0 0 3.4002866e-07 -2.2671195e-07 0.00094523988
2 0 0 0 1.4338891e-06 -1.0141334e-08 0.001098406
3 0 0 0 1.4185564e-06 -2.3265063e-08 0.0012503622
4 0 0 0 1.418019e-06 -3.0261898e-08 0.001402306
5 0 0 0 1.4200492e-06 -3.3643183e-08 0.001554247
6 0 0 0 1.4191052e-06 -3.623522e-08 0.001706191
7 0 0 0 1.4234272e-06 -4.0891298e-08 0.0018581404
8 0 0 0 1.4238048e-06 -4.2052938e-08 0.0020100745
9 0 0 0 1.4242719e-06 -4.3405764e-08 0.0021620267
10 0 0 0 1.4287308e-06 -4.8482879e-08 0.0023139695
