# Time dispX dispY dispZ forceX forceY forceZ
1 0 0 0 1.0910368e-06 -7.7029723e-07 0.0050622242
2 0 0 0 3.5200814e-06 -2.9840459e-08 0.0060212173
3 0 0 0 3.4666794e-06 -7.3766933e-08 0.0069738442
4 0 0 0 3.4668312e-06 -9.6503691e-08 0.0079263844
5 0 0 0 3.472963e-06 -1.059785e-07 0.0088789047
6 0 0 0 3.4691995e-06 -1.1304151e-07 0.0098314542
7 0 0 0 3.4854034e-06 -1.3094072e-07 0.010783987
8 0 0 0 3.4852151e-06 -1.3179303e-07 0.011736518
9 0 0 0 3.4877713e-06 -1.3883345e-07 0.012689059
10 0 0 0 3.5033054e-06 -1.550251e-07 0.013641579
