  TimeWindow  TotalIterations  Iterations  Convergence
     1       7       7       1
     2      11       4       1
     3      14       3       1
     4      18       4       1
     5      22       4       1
     6      26       4       1
     7      30       4       1
     8      34       4       1
     9      37       3       1
    10      40       3       1
    11      43       3       1
    12      46       3       1
    13      49       3       1
    14      53       4       1
    15      57       4       1
    16      61       4       1
    17      64       3       1
    18      67       3       1
    19      70       3       1
    20      73       3       1
    21      76       3       1
    22      79       3       1
    23      82       3       1
    24      85       3       1
    25      88       3       1
    26      91       3       1
    27      95       4       1
    28      99       4       1
    29     103       4       1
    30     107       4       1
    31     110       3       1
    32     113       3       1
    33     116       3       1
    34     119       3       1
    35     122       3       1
    36     125       3       1
    37     128       3       1
    38     131       3       1
    39     134       3       1
    40     137       3       1
    41     141       4       1
    42     145       4       1
    43     149       4       1
    44     152       3       1
    45     155       3       1
    46     158       3       1
    47     161       3       1
    48     164       3       1
    49     167       3       1
    50     170       3       1
    51     173       3       1
    52     176       3       1
    53     179       3       1
    54     182       3       1
    55     185       3       1
    56     189       4       1
    57     192       3       1
    58     195       3       1
    59     198       3       1
    60     201       3       1
    61     204       3       1
    62     207       3       1
    63     210       3       1
    64     213       3       1
    65     216       3       1
    66     219       3       1
    67     223       4       1
    68     227       4       1
    69     230       3       1
    70     233       3       1
    71     236       3       1
    72     239       3       1
    73     242       3       1
    74     245       3       1
    75     248       3       1
    76     251       3       1
    77     254       3       1
    78     257       3       1
    79     260       3       1
    80     263       3       1
    81     266       3       1
    82     269       3       1
    83     272       3       1
    84     275       3       1
    85     278       3       1
    86     281       3       1
    87     284       3       1
    88     287       3       1
    89     290       3       1
    90     293       3       1
    91     296       3       1
    92     299       3       1
    93     302       3       1
    94     306       4       1
    95     310       4       1
    96     313       3       1
    97     316       3       1
    98     319       3       1
    99     322       3       1
   100     325       3       1
   101     328       3       1
   102     331       3       1
   103     334       3       1
   104     337       3       1
   105     340       3       1
   106     343       3       1
   107     346       3       1
   108     349       3       1
   109     352       3       1
   110     355       3       1
   111     358       3       1
   112     361       3       1
   113     364       3       1
   114     367       3       1
   115     370       3       1
   116     373       3       1
   117     376       3       1
   118     379       3       1
   119     382       3       1
   120     385       3       1
   121     388       3       1
   122     391       3       1
   123     394       3       1
   124     397       3       1
   125     400       3       1
   126     403       3       1
   127     406       3       1
   128     409       3       1
   129     412       3       1
   130     415       3       1
   131     418       3       1
   132     421       3       1
   133     424       3       1
   134     428       4       1
   135     431       3       1
   136     434       3       1
   137     437       3       1
   138     440       3       1
   139     443       3       1
   140     446       3       1
   141     449       3       1
   142     452       3       1
   143     455       3       1
   144     458       3       1
   145     461       3       1
   146     464       3       1
   147     467       3       1
   148     470       3       1
   149     473       3       1
   150     476       3       1
   151     479       3       1
   152     482       3       1
   153     485       3       1
   154     488       3       1
   155     491       3       1
   156     494       3       1
   157     497       3       1
   158     500       3       1
   159     503       3       1
   160     506       3       1
   161     509       3       1
   162     512       3       1
   163     515       3       1
   164     518       3       1
   165     521       3       1
   166     524       3       1
   167     527       3       1
   168     530       3       1
   169     533       3       1
   170     536       3       1
   171     539       3       1
   172     542       3       1
   173     545       3       1
   174     551       6       1
   175     556       5       1
   176     560       4       1
   177     563       3       1
   178     566       3       1
   179     571       5       1
   180     577       6       1
   181     583       6       1
   182     586       3       1
   183     589       3       1
   184     592       3       1
   185     595       3       1
   186     598       3       1
   187     601       3       1
   188     606       5       1
   189     610       4       1
   190     614       4       1
   191     617       3       1
   192     620       3       1
   193     623       3       1
   194     626       3       1
   195     629       3       1
   196     632       3       1
   197     635       3       1
   198     638       3       1
   199     641       3       1
   200     644       3       1
   201     647       3       1
   202     650       3       1
   203     653       3       1
   204     656       3       1
   205     659       3       1
   206     662       3       1
   207     665       3       1
   208     668       3       1
   209     671       3       1
   210     674       3       1
   211     678       4       1
   212     679       1       1
   213     680       1       1
   214     685       5       1
   215     688       3       1
   216     691       3       1
   217     694       3       1
   218     697       3       1
   219     700       3       1
   220     703       3       1
   221     706       3       1
   222     709       3       1
   223     712       3       1
   224     715       3       1
   225     718       3       1
   226     719       1       1
   227     722       3       1
   228     725       3       1
   229     728       3       1
   230     733       5       1
   231     736       3       1
   232     739       3       1
   233     742       3       1
   234     745       3       1
   235     748       3       1
   236     751       3       1
   237     754       3       1
   238     757       3       1
   239     760       3       1
   240     763       3       1
   241     767       4       1
   242     772       5       1
   243     775       3       1
   244     778       3       1
   245     781       3       1
   246     784       3       1
   247     787       3       1
   248     795       8       1
   249     798       3       1
   250     801       3       1
   251     804       3       1
   252     807       3       1
   253     808       1       1
   254     810       2       1
   255     814       4       1
   256     817       3       1
   257     820       3       1
   258     823       3       1
   259     826       3       1
   260     829       3       1
   261     832       3       1
   262     835       3       1
   263     839       4       1
   264     843       4       1
   265     846       3       1
   266     849       3       1
   267     852       3       1
   268     855       3       1
   269     858       3       1
   270     861       3       1
   271     862       1       1
   272     866       4       1
   273     870       4       1
   274     873       3       1
   275     876       3       1
   276     880       4       1
   277     885       5       1
   278     886       1       1
   279     887       1       1
   280     894       7       1
   281     899       5       1
   282     903       4       1
   283     907       4       1
   284     917      10       1
   285     921       4       1
   286     924       3       1
   287     931       7       1
   288     936       5       1
   289     939       3       1
   290     942       3       1
   291     945       3       1
   292     948       3       1
   293     949       1       1
   294     952       3       1
   295     955       3       1
   296     957       2       1
   297     960       3       1
   298     963       3       1
   299     966       3       1
   300     969       3       1
   301     972       3       1
   302     975       3       1
   303     978       3       1
   304     981       3       1
   305     983       2       1
   306     986       3       1
   307     989       3       1
   308     990       1       1
   309     993       3       1
   310     996       3       1
   311     997       1       1
   312    1000       3       1
   313    1005       5       1
   314    1008       3       1
   315    1009       1       1
   316    1013       4       1
   317    1016       3       1
   318    1019       3       1
   319    1022       3       1
   320    1025       3       1
   321    1026       1       1
   322    1028       2       1
   323    1031       3       1
   324    1034       3       1
   325    1037       3       1
   326    1040       3       1
   327    1043       3       1
   328    1046       3       1
   329    1049       3       1
   330    1052       3       1
   331    1053       1       1
   332    1054       1       1
   333    1056       2       1
   334    1059       3       1
   335    1062       3       1
   336    1063       1       1
   337    1066       3       1
   338    1069       3       1
   339    1072       3       1
   340    1075       3       1
   341    1078       3       1
   342    1081       3       1
   343    1084       3       1
   344    1087       3       1
   345    1090       3       1
   346    1093       3       1
   347    1098       5       1
   348    1101       3       1
   349    1104       3       1
   350    1107       3       1
   351    1110       3       1
   352    1113       3       1
   353    1115       2       1
   354    1118       3       1
   355    1121       3       1
   356    1124       3       1
   357    1125       1       1
   358    1126       1       1
   359    1129       3       1
   360    1132       3       1
   361    1133       1       1
   362    1136       3       1
   363    1139       3       1
   364    1142       3       1
   365    1145       3       1
   366    1146       1       1
   367    1147       1       1
   368    1150       3       1
   369    1153       3       1
   370    1158       5       1
   371    1159       1       1
   372    1162       3       1
   373    1165       3       1
   374    1168       3       1
   375    1171       3       1
   376    1174       3       1
   377    1177       3       1
   378    1180       3       1
   379    1183       3       1
   380    1186       3       1
   381    1189       3       1
   382    1192       3       1
   383    1195       3       1
   384    1198       3       1
   385    1201       3       1
   386    1205       4       1
   387    1206       1       1
   388    1209       3       1
   389    1212       3       1
   390    1215       3       1
   391    1217       2       1
   392    1218       1       1
   393    1221       3       1
   394    1224       3       1
   395    1227       3       1
   396    1230       3       1
   397    1233       3       1
   398    1234       1       1
   399    1237       3       1
   400    1240       3       1
   401    1241       1       1
   402    1244       3       1
   403    1247       3       1
   404    1249       2       1
   405    1252       3       1
   406    1255       3       1
   407    1258       3       1
   408    1263       5       1
   409    1270       7       1
   410    1273       3       1
   411    1276       3       1
   412    1279       3       1
   413    1280       1       1
   414    1286       6       1
   415    1289       3       1
   416    1292       3       1
   417    1295       3       1
   418    1302       7       1
   419    1308       6       1
   420    1311       3       1
   421    1314       3       1
   422    1317       3       1
   423    1320       3       1
   424    1321       1       1
   425    1322       1       1
   426    1325       3       1
   427    1328       3       1
   428    1331       3       1
   429    1334       3       1
   430    1337       3       1
   431    1340       3       1
   432    1343       3       1
   433    1346       3       1
   434    1349       3       1
   435    1352       3       1
   436    1354       2       1
   437    1355       1       1
   438    1359       4       1
   439    1364       5       1
   440    1367       3       1
   441    1370       3       1
   442    1373       3       1
   443    1374       1       1
   444    1380       6       1
   445    1383       3       1
   446    1386       3       1
   447    1388       2       1
   448    1391       3       1
   449    1394       3       1
   450    1397       3       1
   451    1400       3       1
   452    1403       3       1
   453    1406       3       1
   454    1409       3       1
   455    1412       3       1
   456    1415       3       1
   457    1418       3       1
   458    1421       3       1
   459    1422       1       1
   460    1423       1       1
   461    1426       3       1
   462    1429       3       1
   463    1432       3       1
   464    1435       3       1
   465    1438       3       1
   466    1441       3       1
   467    1443       2       1
   468    1444       1       1
   469    1447       3       1
   470    1450       3       1
   471    1453       3       1
   472    1456       3       1
   473    1459       3       1
   474    1462       3       1
   475    1463       1       1
   476    1467       4       1
   477    1470       3       1
   478    1473       3       1
   479    1474       1       1
   480    1478       4       1
   481    1479       1       1
   482    1482       3       1
   483    1485       3       1
   484    1488       3       1
   485    1491       3       1
   486    1494       3       1
   487    1495       1       1
   488    1499       4       1
   489    1500       1       1
   490    1503       3       1
   491    1506       3       1
   492    1509       3       1
   493    1512       3       1
   494    1515       3       1
   495    1518       3       1
   496    1519       1       1
   497    1523       4       1
   498    1524       1       1
   499    1527       3       1
   500    1530       3       1
