  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   1.01450990e+00   1.06644366e+00
     1       3   9.92590140e-01   3.22724027e+00
     1       4   1.96921182e+00   5.59741707e-01
     1       5   7.74758198e-02   1.31544152e-02
     1       6   2.22105181e-02   7.29911570e-04
     1       7   1.27779055e-03   2.59271902e-04
     1       8   3.42976896e-04   1.12751697e-05
     1       9   6.19561638e-06   4.18887880e-06
     2       1   9.83711674e-01   1.85926706e+00
     2       2   1.55144102e-02   1.16896440e+00
     2       3   1.38340260e-04   5.10481512e-04
     2       4   1.71108047e-06   7.69736812e-06
     3       1   9.80259577e-01   8.29664403e-01
     3       2   1.97887191e-02   4.63047241e+00
     3       3   1.44163753e-03   5.24763479e-03
     3       4   6.44851777e-06   2.22427729e-04
     4       1   9.75641377e-01   1.09630432e+00
     4       2   2.41067657e-02   6.11479348e+00
     4       3   5.55243547e-04   8.50692529e-03
     4       4   3.31435595e-06   1.25116241e-04
     5       1   9.70343495e-01   1.07053153e+00
     5       2   2.60981143e-02   7.66657122e+00
     5       3   2.01522201e-05   1.32690134e-02
     5       4   1.38753207e-06   7.47632279e-06
     6       1   9.64500487e-01   1.05069259e+00
     6       2   2.72619296e-02   9.29930398e+00
     6       3   4.77237749e-04   1.93022491e-02
     6       4   2.34543074e-06   2.16995911e-04
     7       1   9.58183178e-01   1.03426192e+00
     7       2   2.91427593e-02   1.09416359e+01
     7       3   8.17864215e-04   2.76829611e-02
     7       4   2.87023668e-05   4.85994505e-04
     8       1   9.51427780e-01   1.01997505e+00
     8       2   2.28757020e-02   1.23794842e+01
     8       3   1.11750427e-03   3.07713953e-02
     8       4   2.21703025e-06   8.71708486e-04
     9       1   9.44255192e-01   1.00715860e+00
     9       2   2.80282212e-02   1.33715525e+01
     9       3   6.02693027e-04   4.27030999e-02
     9       4   4.93270505e-06   5.72670982e-04
    10       1   9.36609964e-01   9.95348082e-01
    10       2   2.72029851e-02   1.37304619e+01
    10       3   8.09139332e-04   4.80482623e-02
    10       4   4.06874410e-07   9.01209703e-04
    11       1   9.28436548e-01   9.84139461e-01
    11       2   2.49838651e-02   1.34766694e+01
    11       3   9.20661786e-04   4.96826108e-02
    11       4   2.69261062e-07   1.13285500e-03
    11       5   1.04915480e-06   3.03955931e-06
    12       1   9.19640391e-01   9.73171772e-01
    12       2   2.23929950e-02   1.27634069e+01
    12       3   8.21994195e-04   4.87515872e-02
    12       4   2.24790300e-07   1.07452762e-03
    12       5   4.40428396e-07   1.69933713e-06
    13       1   9.10106580e-01   9.62143272e-01
    13       2   2.01973600e-02   1.17781807e+01
    13       3   6.77968428e-04   4.65038280e-02
    13       4   3.64983896e-06   9.19957312e-04
    14       1   8.99699488e-01   9.50798911e-01
    14       2   1.84117950e-02   1.06808071e+01
    14       3   5.94314107e-04   4.34628998e-02
    14       4   3.65611968e-06   8.19356406e-04
    15       1   8.88232485e-01   9.38891993e-01
    15       2   1.67265019e-02   9.57677201e+00
