# Region type : patch inlet
# Faces       : 128
# Area        : 9.418766e-07
# Scale factor: 1.000000e+00
# Time        	sum(phi)
0.001         	-3.449299e-13
0.002         	-9.928793e-13
0.003         	-1.911046e-12
0.004         	-3.073266e-12
0.005         	-6.039075e-12
0.006         	-1.144163e-11
0.007         	-1.901185e-11
0.008         	-2.853569e-11
0.009         	-4.132288e-11
0.01          	-6.044474e-11
0.011         	-8.521779e-11
0.012         	-1.150935e-10
0.013         	-1.496201e-10
0.014         	-1.949145e-10
0.015         	-2.501470e-10
0.016         	-3.143675e-10
0.017         	-3.867946e-10
0.018         	-4.716308e-10
0.019         	-5.708353e-10
0.02          	-6.830516e-10
0.021         	-8.071453e-10
0.022         	-9.443220e-10
0.023         	-1.099606e-09
0.024         	-1.271306e-09
0.025         	-1.458008e-09
0.026         	-1.658508e-09
0.027         	-1.878687e-09
0.028         	-2.117429e-09
0.029         	-2.373155e-09
0.03          	-2.644514e-09
0.031         	-2.933669e-09
0.032         	-3.241729e-09
0.033         	-3.567118e-09
0.034         	-3.908476e-09
0.035         	-4.265344e-09
0.036         	-4.639185e-09
0.037         	-5.028652e-09
0.038         	-5.432565e-09
0.039         	-5.849876e-09
0.04          	-6.279707e-09
0.041         	-6.721199e-09
0.042         	-7.173562e-09
0.043         	-7.636064e-09
0.044         	-8.106135e-09
0.045         	-8.581641e-09
0.046         	-9.062398e-09
0.047         	-9.548171e-09
0.048         	-1.003740e-08
0.049         	-1.052381e-08
0.05          	-1.100802e-08
0.051         	-1.149045e-08
0.052         	-1.197142e-08
0.053         	-1.244194e-08
0.054         	-1.290136e-08
0.055         	-1.335092e-08
0.056         	-1.379161e-08
0.057         	-1.421738e-08
0.058         	-1.462229e-08
0.059         	-1.500847e-08
0.06          	-1.537767e-08
0.061         	-1.572918e-08
0.062         	-1.604998e-08
0.063         	-1.634314e-08
0.064         	-1.661117e-08
0.065         	-1.685618e-08
0.066         	-1.706585e-08
0.067         	-1.723960e-08
0.068         	-1.738065e-08
0.069         	-1.749172e-08
0.07          	-1.756729e-08
0.071         	-1.760011e-08
0.072         	-1.759397e-08
0.073         	-1.755212e-08
0.074         	-1.747593e-08
0.075         	-1.735233e-08
0.076         	-1.718563e-08
0.077         	-1.697935e-08
0.078         	-1.673663e-08
0.079         	-1.644920e-08
0.08          	-1.611698e-08
0.081         	-1.574363e-08
0.082         	-1.533236e-08
0.083         	-1.488153e-08
0.084         	-1.438720e-08
0.085         	-1.385294e-08
0.086         	-1.328183e-08
0.087         	-1.268217e-08
0.088         	-1.218025e-08
0.089         	-1.176258e-08
0.09          	-1.141890e-08
0.091         	-1.114127e-08
0.092         	-1.104478e-08
0.093         	-1.116241e-08
0.094         	-1.147162e-08
0.095         	-1.195430e-08
0.096         	-1.259246e-08
0.097         	-1.336828e-08
0.098         	-1.427139e-08
0.099         	-1.529256e-08
0.1           	-1.642354e-08
0.101         	-1.763482e-08
0.102         	-1.892216e-08
0.103         	-2.028109e-08
0.104         	-2.170741e-08
0.105         	-2.317904e-08
0.106         	-2.468467e-08
0.107         	-2.622337e-08
0.108         	-2.779403e-08
0.109         	-2.938495e-08
0.11          	-3.097218e-08
0.111         	-3.255798e-08
0.112         	-3.414395e-08
0.113         	-3.573098e-08
0.114         	-3.728236e-08
0.115         	-3.880157e-08
0.116         	-4.029228e-08
0.117         	-4.175760e-08
0.118         	-4.317436e-08
0.119         	-4.453111e-08
0.12          	-4.583439e-08
0.121         	-4.708886e-08
0.122         	-4.828737e-08
0.123         	-4.940245e-08
0.124         	-5.044228e-08
0.125         	-5.141359e-08
0.126         	-5.232191e-08
0.127         	-5.313233e-08
0.128         	-5.384978e-08
0.129         	-5.448275e-08
0.13          	-5.503816e-08
0.131         	-5.549781e-08
0.132         	-5.585142e-08
0.133         	-5.610857e-08
0.134         	-5.627689e-08
0.135         	-5.635484e-08
0.136         	-5.631868e-08
0.137         	-5.617841e-08
0.138         	-5.594254e-08
0.139         	-5.561836e-08
0.14          	-5.518248e-08
0.141         	-5.463974e-08
0.142         	-5.399896e-08
0.143         	-5.326755e-08
0.144         	-5.243746e-08
0.145         	-5.150276e-08
0.146         	-5.047204e-08
0.147         	-4.935247e-08
0.148         	-4.814712e-08
0.149         	-4.684441e-08
0.15          	-4.545222e-08
0.151         	-4.397736e-08
0.152         	-4.242579e-08
0.153         	-4.079201e-08
0.154         	-3.907976e-08
0.155         	-3.729498e-08
0.156         	-3.544281e-08
0.157         	-3.355682e-08
0.158         	-3.166926e-08
0.159         	-2.977750e-08
0.16          	-2.787997e-08
0.161         	-2.598671e-08
0.162         	-2.416895e-08
0.163         	-2.241664e-08
0.164         	-2.072211e-08
0.165         	-1.907929e-08
0.166         	-1.748587e-08
0.167         	-1.593819e-08
0.168         	-1.443237e-08
0.169         	-1.296509e-08
0.17          	-1.153475e-08
0.171         	-1.014031e-08
0.172         	-8.779081e-09
0.173         	-7.448645e-09
0.174         	-6.147205e-09
0.175         	-4.876595e-09
0.176         	-3.634540e-09
0.177         	-2.418980e-09
0.178         	-1.228052e-09
0.179         	-6.399833e-11
0.18          	1.073778e-09
0.181         	2.187260e-09
0.182         	3.278199e-09
0.183         	4.345696e-09
0.184         	5.387522e-09
0.185         	6.405717e-09
0.186         	7.402113e-09
0.187         	8.377978e-09
0.188         	9.327679e-09
0.189         	1.025339e-08
0.19          	1.115707e-08
0.191         	1.204030e-08
0.192         	1.289894e-08
0.193         	1.373245e-08
0.194         	1.454291e-08
0.195         	1.533205e-08
0.196         	1.609845e-08
0.197         	1.683811e-08
0.198         	1.755330e-08
0.199         	1.824598e-08
0.2           	1.891777e-08
0.201         	1.956093e-08
0.202         	2.017795e-08
0.203         	2.077094e-08
0.204         	2.134174e-08
0.205         	2.188570e-08
0.206         	2.240167e-08
0.207         	2.289196e-08
0.208         	2.335862e-08
0.209         	2.380043e-08
0.21          	2.421247e-08
0.211         	2.459724e-08
0.212         	2.495701e-08
0.213         	2.529364e-08
0.214         	2.559927e-08
0.215         	2.587626e-08
0.216         	2.612693e-08
0.217         	2.635327e-08
0.218         	2.655118e-08
0.219         	2.671919e-08
0.22          	2.685980e-08
0.221         	2.697509e-08
0.222         	2.706453e-08
