# Time forceX forceY forceZ normalForce
0.001 0.000308353 5.43804e-05 -6.10314e-05 0.0107762
0.002 0.000443715 0.000528218 -9.62719e-05 0.0124247
0.003 0.000407969 0.000341756 -8.8985e-05 0.00890722
0.004 0.000438498 0.000141895 -6.67589e-05 0.0075551
0.005 0.000383748 1.69026e-06 -4.99523e-05 0.00480623
0.006 0.000426873 -0.000150582 -5.7788e-05 0.0049526
0.007 0.000439564 -0.000277284 -6.53999e-05 0.00547083
0.008 0.000445719 -0.000378347 -9.03724e-05 0.00608353
0.009 0.000435542 -0.000449767 -7.58604e-05 0.00599901
0.01 0.0004971 -0.000491464 -9.19833e-05 0.0100916
0.011 0.000503155 -0.000522831 -0.000100104 0.0108401
0.012 0.000523465 -0.000580417 -9.78581e-05 0.0108461
0.013 0.000568331 -0.000586484 -0.000102415 0.0116858
0.014 0.000597241 -0.000617153 -0.000103207 0.0160645
0.015 0.000582658 -0.000630052 -9.62186e-05 0.0177393
0.016 0.00060034 -0.00065616 -9.50965e-05 0.0193405
0.017 0.000626242 -0.000673429 -9.72989e-05 0.020387
0.018 0.000666335 -0.000720035 -9.72952e-05 0.0218205
0.019 0.000692104 -0.000749191 -0.000102726 0.024372
0.02 0.000652097 -0.000743493 -0.000111653 0.0202027
0.021 0.000549015 -0.000696969 -0.000143653 0.0107457
0.022 0.000585622 -0.00065218 -8.01978e-05 0.0181564
0.023 0.000619704 -0.000703201 -0.000112586 0.0206281
0.024 0.000770166 -0.000730054 -8.15402e-05 0.0324064
0.025 0.00051951 -0.000674604 -0.00014529 0.0114242
0.026 0.000477242 -0.000593014 -0.000124657 0.0104959
0.027 0.000545975 -0.000608402 -0.000103188 0.017602
0.028 0.000472985 -0.000574511 -9.94868e-05 0.011348
0.029 0.000589299 -0.000632964 -8.60495e-05 0.0234924
0.03 0.000458715 -0.000558976 -9.61012e-05 0.0103854
0.031 0.000495136 -0.000559803 -7.94317e-05 0.014681
0.032 0.000397786 -0.000495887 -0.000103702 0.00938944
0.033 0.000414242 -0.000501137 -7.66613e-05 0.00985881
0.034 0.000580783 -0.000558574 -5.71243e-05 0.0243729
0.035 0.000600867 -0.000582107 -4.89959e-05 0.0232118
0.036 0.000510681 -0.000543486 -5.85246e-05 0.0148995
0.037 0.000555921 -0.000560134 -4.90913e-05 0.0189646
0.038 0.000580033 -0.000574967 -4.45655e-05 0.0204412
0.039 0.000444166 -0.000507949 -5.97946e-05 0.0114614
0.04 0.000465366 -0.000513192 -5.52383e-05 0.0136071
0.041 0.00069897 -0.000610581 -1.87021e-05 0.0342442
0.042 0.000807816 -0.000665908 5.99472e-06 0.0363463
0.043 0.000559506 -0.000551097 -3.00391e-05 0.0171474
0.044 0.000673416 -0.000619263 -1.22827e-05 0.0256237
0.045 0.000695669 -0.000653184 -1.03378e-05 0.0278262
0.046 0.000570055 -0.000612845 -2.88906e-05 0.0172647
0.047 0.000473789 -0.000563287 -5.66721e-05 0.011098
0.048 0.000433903 -0.000574322 -5.73707e-05 0.00956337
0.049 0.000664428 -0.000662627 -1.66775e-05 0.0276388
0.05 0.000755574 -0.000680042 1.16813e-05 0.0304214
0.051 0.000856019 -0.000724605 3.05755e-05 0.0351868
0.052 0.000898858 -0.000746477 4.64111e-05 0.0352275
0.053 0.000736429 -0.000666959 5.96058e-06 0.0231148
0.054 0.00077571 -0.000650383 9.06525e-06 0.0265217
0.055 0.000653301 -0.000645439 -2.55077e-05 0.018087
0.056 0.000702783 -0.000657919 4.72134e-06 0.0264908
0.057 0.000845775 -0.000708381 1.87849e-05 0.0346958
0.058 0.000845992 -0.000714286 2.35813e-05 0.0316951
0.059 0.000910292 -0.000738106 3.16139e-05 0.0359139
0.06 0.00075498 -0.000676416 1.36054e-05 0.0259271
0.061 0.000993249 -0.000821259 -3.2587e-06 0.0424707
0.062 0.000796461 -0.000676203 2.75901e-05 0.0244338
0.063 0.000848417 -0.000723198 -2.60918e-05 0.0310222
0.064 0.000875147 -0.000736935 -2.79578e-06 0.033226
0.065 0.00066461 -0.000677239 1.15426e-05 0.0216502
0.066 0.00053046 -0.00063178 -4.97516e-05 0.0160916
0.067 0.000467238 -0.000603868 -6.87121e-05 0.0135593
0.068 0.00056034 -0.00063458 -6.00179e-05 0.0169062
0.069 0.000482923 -0.000577526 -6.68509e-05 0.012444
0.07 0.000376973 -0.000548288 -7.73297e-05 0.00755396
0.071 0.00055766 -0.000626213 -3.63198e-05 0.0187575
0.072 0.000426121 -0.000593187 -5.04175e-05 0.00914964
0.073 0.000647895 -0.000656716 -2.50406e-06 0.0289947
0.074 0.000780455 -0.000706201 7.81184e-06 0.0315682
0.075 0.000481949 -0.000604309 -3.31796e-05 0.0112609
0.076 0.000415829 -0.000572522 -5.148e-05 0.00861233
0.077 0.000565059 -0.000626549 -2.0981e-05 0.0209112
0.078 0.000435512 -0.000548602 -5.07707e-05 0.00845879
0.079 0.000514111 -0.000575699 -1.82104e-05 0.0155387
0.08 0.00038405 -0.000511437 -5.3479e-05 0.00706286
0.081 0.000379182 -0.000490702 -3.5881e-05 0.0070431
0.082 0.000524796 -0.000543467 -1.49491e-05 0.0181637
0.083 0.000370626 -0.000482483 -2.84586e-05 0.00582102
