# Time forceX forceY forceZ normalForce
0.001 5.38413e-06 1.18153e-05 1.73738e-05 0.00686987
0.002 8.10855e-05 -7.29966e-05 3.92104e-06 0.00753415
0.003 2.57174e-05 -3.7196e-05 1.17431e-05 0.00315819
0.004 -1.47685e-05 -2.3137e-05 1.78057e-05 3.56849e-05
0.005 1.04036e-05 -3.02849e-05 7.86618e-06 -0.00583391
0.006 -2.1133e-05 -1.49692e-05 1.15788e-05 -0.0111745
0.007 -3.18007e-05 2.27005e-06 1.93812e-05 -0.0168883
0.008 -4.07731e-05 1.26191e-05 3.30661e-05 -0.0225675
0.009 -4.13522e-05 5.21288e-05 1.40449e-05 -0.0298881
0.01 -5.83117e-05 5.40437e-05 8.6451e-06 -0.0357786
0.011 -5.49387e-05 6.2294e-05 3.22216e-06 -0.045811
0.012 -4.73079e-05 7.849e-05 5.11283e-06 -0.0561946
0.013 -5.93792e-05 6.4811e-05 1.03726e-05 -0.066107
0.014 -4.3176e-05 7.76475e-05 2.12182e-05 -0.0759314
0.015 -1.29461e-05 7.78926e-05 1.83593e-05 -0.0888721
0.016 1.45157e-05 8.54811e-05 3.11904e-05 -0.101945
0.017 3.00023e-05 8.23404e-05 4.52625e-05 -0.115733
0.018 3.60513e-05 0.000108949 5.23953e-05 -0.131499
0.019 5.98528e-05 0.000121166 7.01345e-05 -0.147442
0.02 0.000134954 0.00012076 0.00010052 -0.172158
0.021 0.000281771 9.18808e-05 0.000151826 -0.203994
0.022 0.000333087 5.84128e-05 0.000115028 -0.215096
0.023 0.000342695 0.000120804 0.00017141 -0.234965
0.024 0.000307644 0.000101092 0.000159394 -0.242153
0.025 0.000545195 0.000120606 0.000246388 -0.293898
0.026 0.00065161 9.497e-05 0.000277852 -0.318399
0.027 0.000671574 0.000107275 0.000288685 -0.33594
0.028 0.000796027 9.40659e-05 0.000325293 -0.37127
0.029 0.000796594 0.000114246 0.000328049 -0.382369
0.03 0.000953642 9.95983e-05 0.000380665 -0.426838
0.031 0.00100479 9.72918e-05 0.0003998 -0.44987
0.032 0.0011571 9.4949e-05 0.000455184 -0.488152
0.033 0.00124163 7.62235e-05 0.000467046 -0.517717
0.034 0.00121837 8.70733e-05 0.000467952 -0.52867
0.035 0.00125927 0.000131905 0.000491581 -0.561686
0.036 0.00139443 0.000126475 0.000549512 -0.606152
0.037 0.00146608 0.000123993 0.000571487 -0.634814
0.038 0.00154125 0.000128126 0.000599713 -0.666497
0.039 0.00174074 9.33914e-05 0.000660539 -0.712542
0.04 0.00184352 9.14871e-05 0.000693569 -0.745485
0.041 0.00180149 9.54357e-05 0.000671949 -0.753357
0.042 0.00180642 0.000150046 0.000692807 -0.786719
0.043 0.00204808 0.000100889 0.000759954 -0.850109
0.044 0.00208373 0.00011368 0.000775964 -0.874827
0.045 0.00218298 0.00014344 0.000817403 -0.911153
0.046 0.00237458 0.000132034 0.000873776 -0.963006
0.047 0.0025852 9.87843e-05 0.000948531 -1.00964
0.048 0.00274502 9.72906e-05 0.00100247 -1.05003
0.049 0.00271246 0.000117835 0.000987341 -1.06484
0.05 0.00273404 0.000141191 0.00101436 -1.10062
0.051 0.00276584 0.000171668 0.00102987 -1.13368
0.052 0.00282772 0.000186806 0.00105161 -1.17317
0.053 0.00302867 0.000145788 0.00113113 -1.23014
0.054 0.00311771 0.000132074 0.00117074 -1.26503
0.055 0.00334117 0.000166542 0.00125013 -1.31696
0.056 0.00344433 0.000155392 0.00125415 -1.34507
0.057 0.00345285 0.000172214 0.00127722 -1.37377
0.058 0.00354715 0.000185981 0.0013123 -1.41752
0.059 0.0036139 0.000186533 0.00133547 -1.45144
0.06 0.0038193 0.000162992 0.00140162 -1.50543
0.061 0.00378142 0.000213643 0.00141811 -1.52166
0.062 0.00400296 0.000143362 0.00146966 -1.58554
0.063 0.00408371 0.000175732 0.00155682 -1.61404
0.064 0.0041788 0.000173355 0.00156361 -1.64945
0.065 0.00442957 0.0001426 0.00158039 -1.70439
0.066 0.00467254 0.000127857 0.00166424 -1.74883
0.067 0.00485169 0.000117429 0.00172349 -1.78838
0.068 0.00490734 0.000138059 0.00175713 -1.81961
0.069 0.00507101 0.000104474 0.00179984 -1.86194
0.07 0.00526314 0.000103271 0.00185949 -1.90314
0.071 0.00524185 0.00011592 0.00184752 -1.92154
0.072 0.00542644 9.89571e-05 0.001902 -1.96707
0.073 0.00540257 7.78033e-05 0.00187151 -1.97236
0.074 0.00535855 0.000124756 0.00188765 -2.00197
0.075 0.00564163 0.000105151 0.00196336 -2.05916
0.076 0.00580026 9.46138e-05 0.00201335 -2.09161
0.077 0.00579302 0.000103849 0.00199951 -2.10368
0.078 0.00597212 0.000104505 0.00207194 -2.15022
0.079 0.00598529 0.000113515 0.00206564 -2.16548
0.08 0.00616168 9.31359e-05 0.00212832 -2.20233
0.081 0.00624803 8.00917e-05 0.00213512 -2.22607
0.082 0.0062273 8.66986e-05 0.00212426 -2.23505
0.083 0.0063878 7.96807e-05 0.00217367 -2.27426
0.084 0.00641432 6.50981e-05 0.0021645 -2.28505
0.085 0.0064916 7.42113e-05 0.0021981 -2.30799
0.086 0.00656423 8.04234e-05 0.00223072 -2.32945
0.087 0.00663823 8.92413e-05 0.00224374 -2.34765
0.088 0.00670349 6.92317e-05 0.00224737 -2.36412
0.089 0.00676696 7.2603e-05 0.00226634 -2.37915
0.09 0.006813 6.97457e-05 0.00227308 -2.39311
0.091 0.00684992 6.04042e-05 0.00228512 -2.40696
0.092 0.00686426 5.3625e-05 0.00229021 -2.415
0.093 0.00691492 6.46644e-05 0.00230531 -2.429
0.094 0.00691878 5.73998e-05 0.00231138 -2.43479
0.095 0.00694692 6.75548e-05 0.00232603 -2.44568
0.096 0.006962 6.74481e-05 0.00232658 -2.45253
0.097 0.00696401 6.6141e-05 0.00235001 -2.4614
0.098 0.00702224 7.37918e-05 0.00238446 -2.47582
0.099 0.00703707 6.31396e-05 0.00238976 -2.48079
0.1 0.00707867 7.58024e-05 0.00241879 -2.49218
0.101 0.00708326 5.76362e-05 0.0024311 -2.49777
0.102 0.00712271 6.61345e-05 0.0024534 -2.50763
0.103 0.00717693 6.87654e-05 0.00247856 -2.51849
0.104 0.00722596 5.34629e-05 0.00250276 -2.52736
0.105 0.00721833 4.06009e-05 0.00248974 -2.52837
0.106 0.00721789 3.89162e-05 0.00248141 -2.53631
0.107 0.00719068 6.72296e-05 0.00251041 -2.5434
0.108 0.00727174 5.97275e-05 0.00255938 -2.56289
0.109 0.00728068 4.6524e-05 0.00254859 -2.56495
0.11 0.00731184 5.1351e-05 0.00258739 -2.58235
0.111 0.00730665 4.80913e-05 0.00259593 -2.5882
0.112 0.00731107 5.78108e-05 0.00259338 -2.59603
0.113 0.00737883 5.8171e-05 0.00264467 -2.61571
0.114 0.00743792 5.74651e-05 0.00267817 -2.63044
0.115 0.00746545 5.66681e-05 0.00269204 -2.64083
0.116 0.00750725 5.61145e-05 0.0027156 -2.65519
0.117 0.00755118 6.86565e-05 0.0027332 -2.6674
0.118 0.00758026 5.3301e-05 0.00275128 -2.68075
0.119 0.00761441 5.32271e-05 0.00276827 -2.69392
0.12 0.00761945 3.39307e-05 0.00275457 -2.69579
0.121 0.00767257 5.97191e-05 0.00280217 -2.72056
0.122 0.00765714 6.30242e-05 0.00279112 -2.72257
0.123 0.00774425 5.67827e-05 0.00283834 -2.74774
0.124 0.00779976 5.11792e-05 0.0028542 -2.76102
0.125 0.00784208 5.54806e-05 0.00287333 -2.77528
0.126 0.007842 6.03944e-05 0.00287222 -2.7842
0.127 0.00790774 6.03384e-05 0.00290361 -2.80227
0.128 0.00795603 5.44223e-05 0.00291169 -2.81572
0.129 0.00794422 5.93286e-05 0.00290474 -2.82005
0.13 0.0080237 5.65019e-05 0.00293623 -2.84276
0.131 0.00800636 5.35148e-05 0.00292529 -2.84613
0.132 0.00801655 7.15244e-05 0.00291817 -2.85727
0.133 0.00813299 5.51277e-05 0.00296718 -2.88172
0.134 0.00815909 5.81914e-05 0.00297797 -2.8906
0.135 0.00821281 4.6244e-05 0.00299616 -2.90694
0.136 0.0082303 6.14482e-05 0.00299803 -2.91451
0.137 0.00829147 5.95826e-05 0.0030091 -2.92959
0.138 0.00830229 6.33636e-05 0.0030131 -2.93785
0.139 0.00830791 5.20911e-05 0.00300763 -2.94595
0.14 0.00832093 5.65145e-05 0.00300888 -2.95477
0.141 0.00833424 6.16232e-05 0.00301725 -2.96476
0.142 0.0083696 6.94843e-05 0.00301833 -2.97472
0.143 0.00839161 7.30678e-05 0.00303158 -2.98565
