# Time Dx Dy Dz magD
0.001 5.29553e-07 4.44234e-09 -1.45692e-07 5.49247e-07
0.002 1.11005e-05 6.83283e-06 -5.95626e-07 1.30485e-05
0.003 1.6977e-05 1.27061e-05 -3.41647e-07 2.1208e-05
0.004 1.97421e-05 1.42962e-05 5.95143e-07 2.4382e-05
0.005 2.13466e-05 1.39942e-05 6.53938e-07 2.55331e-05
0.006 2.20789e-05 1.39332e-05 5.795e-07 2.61141e-05
0.007 2.22152e-05 1.40644e-05 5.1566e-07 2.62981e-05
0.008 2.19431e-05 1.41934e-05 4.61476e-07 2.61374e-05
0.009 2.13674e-05 1.43256e-05 3.85858e-07 2.57282e-05
0.01 2.08027e-05 1.44599e-05 6.69885e-08 2.53347e-05
0.011 2.01055e-05 1.46345e-05 -2.45154e-07 2.48688e-05
0.012 1.96672e-05 1.38422e-05 -5.64588e-07 2.40567e-05
0.013 1.91171e-05 1.13857e-05 -1.00108e-06 2.22733e-05
0.014 1.88457e-05 1.12757e-05 -1.10295e-06 2.1989e-05
0.015 1.85121e-05 1.14482e-05 -1.18936e-06 2.17985e-05
0.016 1.82036e-05 1.16146e-05 -1.22869e-06 2.16282e-05
0.017 1.78786e-05 1.17848e-05 -1.26687e-06 2.14507e-05
0.018 1.758e-05 1.19735e-05 -1.30728e-06 2.13104e-05
0.019 1.72943e-05 1.21629e-05 -1.3459e-06 2.11859e-05
0.02 1.6867e-05 1.2437e-05 -1.51018e-06 2.10109e-05
0.021 1.63106e-05 7.86982e-06 -2.53208e-06 1.82861e-05
0.022 1.61457e-05 7.78832e-06 -2.68836e-06 1.81265e-05
0.023 1.5879e-05 8.03012e-06 -2.81537e-06 1.80154e-05
0.024 1.57811e-05 8.13957e-06 -2.8405e-06 1.79823e-05
0.025 1.51062e-05 4.96093e-06 -3.64966e-06 1.63135e-05
0.026 1.50906e-05 1.96269e-06 -4.21221e-06 1.57899e-05
0.027 1.50091e-05 2.10759e-06 -4.31716e-06 1.57592e-05
0.028 1.48423e-05 -5.82735e-09 -4.80452e-06 1.56005e-05
0.029 1.47463e-05 9.86532e-08 -4.89849e-06 1.55389e-05
0.03 1.45423e-05 -1.98932e-06 -5.43719e-06 1.56525e-05
0.031 1.45149e-05 -1.77452e-06 -5.58307e-06 1.56525e-05
0.032 1.42189e-05 -2.08187e-06 -6.3373e-06 1.57058e-05
0.033 1.41263e-05 -4.1511e-06 -6.86493e-06 1.62454e-05
0.034 1.40179e-05 -4.0578e-06 -6.94682e-06 1.61625e-05
0.035 1.34447e-05 -3.71699e-06 -7.0155e-06 1.56138e-05
0.036 1.31324e-05 -3.27967e-06 -7.11799e-06 1.52932e-05
0.037 1.2886e-05 -3.01292e-06 -7.17605e-06 1.5054e-05
0.038 1.26348e-05 -2.68758e-06 -7.23543e-06 1.48058e-05
0.039 1.24948e-05 -2.59066e-06 -7.82842e-06 1.49705e-05
0.04 1.23807e-05 -2.46812e-06 -8.1893e-06 1.50478e-05
0.041 1.23309e-05 -2.39201e-06 -8.26426e-06 1.50357e-05
0.042 1.16678e-05 -2.06465e-06 -8.32334e-06 1.44803e-05
0.043 1.1073e-05 -1.54447e-06 -8.52558e-06 1.40599e-05
0.044 1.07804e-05 -1.33389e-06 -8.64743e-06 1.38843e-05
0.045 1.01237e-05 -9.58943e-07 -8.7146e-06 1.33923e-05
0.046 1.01664e-05 -4.63847e-07 -8.9301e-06 1.35395e-05
0.047 1.05999e-05 -1.10402e-06 -9.77852e-06 1.44636e-05
0.048 1.09866e-05 -2.98654e-06 -1.04087e-05 1.54261e-05
0.049 1.0876e-05 -2.85642e-06 -1.05016e-05 1.53861e-05
0.05 1.01593e-05 -2.48816e-06 -1.05753e-05 1.48741e-05
0.051 9.48645e-06 -2.14856e-06 -1.06403e-05 1.44161e-05
0.052 8.69964e-06 -1.7555e-06 -1.07137e-05 1.39122e-05
0.053 8.11776e-06 -1.20529e-06 -1.08145e-05 1.35759e-05
0.054 7.77422e-06 -8.58311e-07 -1.08787e-05 1.33986e-05
0.055 8.02024e-06 -3.53691e-07 -1.09944e-05 1.36134e-05
0.056 7.71629e-06 -6.22517e-08 -1.11135e-05 1.35298e-05
0.057 7.12339e-06 2.35594e-07 -1.11674e-05 1.3248e-05
0.058 6.26548e-06 6.6316e-07 -1.12436e-05 1.28886e-05
0.059 5.57996e-06 1.00278e-06 -1.13034e-05 1.26455e-05
0.06 4.97376e-06 1.52394e-06 -1.13944e-05 1.25257e-05
0.061 4.91843e-06 1.69671e-06 -1.14243e-05 1.25532e-05
