# Region type : patch inlet
# Faces       : 6
# Area        : 1.100000e-06
# Scale factor: 1.000000e+00
# Time        	sum(phi)
0.002         	-4.311786e-12
0.004         	-1.291109e-11
0.006         	-5.052475e-11
0.008         	-1.220243e-10
0.01          	-2.648975e-10
0.012         	-4.978736e-10
0.014         	-8.564669e-10
0.016         	-1.378812e-09
0.018         	-2.086723e-09
0.02          	-3.038650e-09
0.022         	-4.236125e-09
0.024         	-5.753068e-09
0.026         	-7.574498e-09
0.028         	-9.770156e-09
0.03          	-1.232640e-08
0.032         	-1.527710e-08
0.034         	-1.861750e-08
0.036         	-2.234941e-08
0.038         	-2.646691e-08
0.04          	-3.094840e-08
0.042         	-3.577262e-08
0.044         	-4.090887e-08
0.046         	-4.630631e-08
0.048         	-5.193998e-08
0.05          	-5.771666e-08
0.052         	-6.362084e-08
0.054         	-6.953008e-08
0.056         	-7.542008e-08
0.058         	-8.117422e-08
0.06          	-8.674244e-08
0.062         	-9.202855e-08
0.064         	-9.695381e-08
0.066         	-1.014524e-07
0.068         	-1.054174e-07
0.07          	-1.088187e-07
0.072         	-1.115291e-07
0.074         	-1.135537e-07
0.076         	-1.147571e-07
0.078         	-1.151529e-07
0.08          	-1.146520e-07
0.082         	-1.132580e-07
0.084         	-1.109342e-07
0.086         	-1.076793e-07
0.088         	-1.042869e-07
0.09          	-1.016011e-07
0.092         	-1.003697e-07
0.094         	-1.018684e-07
0.096         	-1.061200e-07
0.098         	-1.128315e-07
0.1           	-1.218129e-07
0.102         	-1.326768e-07
0.104         	-1.452556e-07
0.106         	-1.592115e-07
0.108         	-1.743615e-07
0.11          	-1.904098e-07
0.112         	-2.071347e-07
0.114         	-2.242943e-07
0.116         	-2.416232e-07
0.118         	-2.589388e-07
0.12          	-2.759394e-07
0.122         	-2.924978e-07
0.124         	-3.082916e-07
0.126         	-3.232243e-07
0.128         	-3.369944e-07
0.13          	-3.494813e-07
0.132         	-3.604843e-07
0.134         	-3.698711e-07
0.136         	-3.775037e-07
0.138         	-3.832532e-07
0.14          	-3.870364e-07
0.142         	-3.887409e-07
0.144         	-3.883358e-07
0.146         	-3.857371e-07
0.148         	-3.809539e-07
0.15          	-3.739440e-07
0.152         	-3.647387e-07
0.154         	-3.533605e-07
0.156         	-3.398623e-07
0.158         	-3.247408e-07
0.16          	-3.084273e-07
0.162         	-2.914654e-07
0.164         	-2.744115e-07
0.166         	-2.574130e-07
0.168         	-2.404655e-07
0.17          	-2.235624e-07
0.172         	-2.067146e-07
0.174         	-1.899203e-07
0.176         	-1.732113e-07
0.178         	-1.565915e-07
0.18          	-1.401002e-07
0.182         	-1.237476e-07
0.184         	-1.075738e-07
0.186         	-9.159846e-08
0.188         	-7.585526e-08
0.19          	-6.037635e-08
0.192         	-4.518462e-08
0.194         	-3.032916e-08
0.196         	-1.581588e-08
0.198         	-1.714178e-09
0.2           	1.199266e-08
0.202         	2.521013e-08
0.204         	3.795619e-08
0.206         	5.016494e-08
0.208         	6.184066e-08
0.21          	7.294000e-08
0.212         	8.344947e-08
0.214         	9.334634e-08
0.216         	1.026020e-07
0.218         	1.112128e-07
0.22          	1.191377e-07
0.222         	1.263899e-07
0.224         	1.329191e-07
0.226         	1.387489e-07
0.228         	1.438305e-07
0.23          	1.481818e-07
0.232         	1.517777e-07
0.234         	1.546259e-07
0.236         	1.567177e-07
0.238         	1.580536e-07
0.24          	1.586393e-07
0.242         	1.584714e-07
0.244         	1.575674e-07
0.246         	1.559224e-07
0.248         	1.535626e-07
0.25          	1.504849e-07
0.252         	1.467179e-07
0.254         	1.422691e-07
0.256         	1.371647e-07
0.258         	1.314246e-07
0.26          	1.250739e-07
0.262         	1.182753e-07
0.264         	1.111840e-07
0.266         	1.039568e-07
0.268         	9.681351e-08
0.27          	8.978368e-08
0.272         	8.286377e-08
0.274         	7.604404e-08
0.276         	6.932995e-08
0.278         	6.271503e-08
0.28          	5.621094e-08
0.282         	4.981572e-08
0.284         	4.354205e-08
0.286         	3.739342e-08
0.288         	3.138053e-08
0.29          	2.551307e-08
0.292         	1.979730e-08
0.294         	1.425057e-08
0.296         	8.872244e-09
0.298         	3.688007e-09
0.3           	-1.311125e-09
0.302         	-6.090965e-09
0.304         	-1.066132e-08
0.306         	-1.499666e-08
0.308         	-1.910053e-08
0.31          	-2.295639e-08
0.312         	-2.656086e-08
0.314         	-2.990644e-08
0.316         	-3.298358e-08
0.318         	-3.579332e-08
0.32          	-3.832110e-08
0.322         	-4.057556e-08
0.324         	-4.253882e-08
0.326         	-4.422420e-08
0.328         	-4.561522e-08
0.33          	-4.672370e-08
0.332         	-4.754304e-08
0.334         	-4.808077e-08
