  Time  Coordinate0  Coordinate1  Coordinate2  Force0  Force1  Force2
 0.00000000e+00   1.02500000e-02   1.02000000e-02   5.00000000e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00
 2.00000000e-03   1.02500000e-02   1.02000000e-02   5.00000000e-04   6.64001214e-11  -1.14252017e-05   1.24958929e-38
 4.00000000e-03   1.02500000e-02   1.02000000e-02   5.00000000e-04   1.87555579e-10  -2.28504005e-05   2.40917414e-38
 6.00000000e-03   1.02500000e-02   1.02000000e-02   5.00000000e-04   7.38753092e-10  -5.30584732e-05   9.03634846e-38
 8.00000000e-03   1.02500000e-02   1.02000000e-02   5.00000000e-04   1.72650403e-09  -8.72232320e-05   1.70176357e-37
 1.00000000e-02   1.02500000e-02   1.02000000e-02   5.00000000e-04   3.68086807e-09  -1.36063788e-04   3.20588531e-37
 1.20000000e-02   1.02500000e-02   1.02000000e-02   5.00000000e-04   6.76212351e-09  -1.92737446e-04   5.07007739e-37
 1.40000000e-02   1.02500000e-02   1.02000000e-02   5.00000000e-04   1.13994159e-08  -2.59991332e-04   7.44829748e-37
 1.60000000e-02   1.02500000e-02   1.02000000e-02   5.00000000e-04   1.80157793e-08  -3.38776207e-04   8.54734926e-37
 1.80000000e-02   1.02500000e-02   1.02000000e-02   5.00000000e-04   2.67528347e-08  -4.24129114e-04   8.57323723e-37
 2.00000000e-02   1.02500000e-02   1.02000000e-02   5.00000000e-04   3.83403093e-08  -5.24483848e-04   9.77387797e-37
 2.20000000e-02   1.02500000e-02   1.02000000e-02   5.00000000e-04   5.25419718e-08  -6.27548048e-04   1.08482485e-36
 2.40000000e-02   1.02500000e-02   1.02000000e-02   5.00000000e-04   7.03468153e-08  -7.48664799e-04   1.30093611e-36
 2.60000000e-02   1.02500000e-02   1.02000000e-02   5.00000000e-04   9.12240341e-08  -8.69781595e-04   1.41690283e-36
 2.80000000e-02   1.02500000e-02   1.02000000e-02   5.00000000e-04   1.16126538e-07  -1.00966655e-03   1.61057015e-36
