  Time  Coordinate0  Coordinate1  Coordinate2  Force0  Force1  Force2
 0.00000000e+00   1.02500000e-02   1.13000000e-02   5.00000000e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00
 2.00000000e-03   1.02500000e-02   1.13000000e-02   5.00000000e-04   6.64002407e-11   1.14252017e-05  -7.63585318e-48
 4.00000000e-03   1.02500000e-02   1.13000000e-02   5.00000000e-04   1.87555750e-10   2.28504005e-05  -1.52716946e-47
 6.00000000e-03   1.02500000e-02   1.13000000e-02   5.00000000e-04   7.38754268e-10   5.30584733e-05  -6.71617274e-47
 8.00000000e-03   1.02500000e-02   1.13000000e-02   5.00000000e-04   1.72650561e-09   8.72232320e-05  -1.28923455e-46
 1.00000000e-02   1.02500000e-02   1.13000000e-02   5.00000000e-04   3.68087119e-09   1.36063788e-04  -2.60546867e-46
 1.20000000e-02   1.02500000e-02   1.13000000e-02   5.00000000e-04   6.76212823e-09   1.92737446e-04  -4.29294769e-46
 1.40000000e-02   1.02500000e-02   1.13000000e-02   5.00000000e-04   1.13994227e-08   2.59991332e-04  -6.69591766e-46
 1.60000000e-02   1.02500000e-02   1.13000000e-02   5.00000000e-04   1.80157806e-08   3.38776207e-04  -9.88187100e-46
 1.80000000e-02   1.02500000e-02   1.13000000e-02   5.00000000e-04   2.67528313e-08   4.24129114e-04  -1.36078184e-45
 2.00000000e-02   1.02500000e-02   1.13000000e-02   5.00000000e-04   3.83403025e-08   5.24483848e-04  -1.85757504e-45
 2.20000000e-02   1.02500000e-02   1.13000000e-02   5.00000000e-04   5.25419628e-08   6.27548048e-04  -2.37596799e-45
 2.40000000e-02   1.02500000e-02   1.13000000e-02   5.00000000e-04   7.03468032e-08   7.48664800e-04  -3.04555893e-45
 2.60000000e-02   1.02500000e-02   1.13000000e-02   5.00000000e-04   9.12240203e-08   8.69781595e-04  -3.71514989e-45
 2.80000000e-02   1.02500000e-02   1.13000000e-02   5.00000000e-04   1.16126522e-07   1.00966655e-03  -4.53593881e-45
