  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90030335e-01   9.90000000e-01
     1       3   8.87951968e-01   9.72353172e-05
     1       4   3.12555505e-04   6.78662346e-04
     1       5   4.00649417e-04   1.65966537e-07
     1       6   8.10265416e-08   1.56378919e-07
     2       1   3.39341752e-07   5.00054303e-01
     2       2   4.95889064e-01   4.80546575e-10
     2       3   2.64835681e-05   4.06575084e-04
     3       1   4.44862785e-04   3.33366366e-01
     3       2   3.32448852e-01   3.10482806e-07
     3       3   8.61775669e-05   2.72297220e-04
     4       1   2.99647915e-04   2.50025263e-01
     4       2   2.50053065e-01   2.69809593e-07
     4       3   6.44895464e-05   2.05258136e-04
     5       1   2.26576222e-04   2.00017233e-01
     5       2   2.00442840e-01   2.39009710e-07
     5       3   5.23050405e-05   1.64964043e-04
     6       1   1.82493702e-04   1.66685834e-01
     6       2   1.67316245e-01   2.19338060e-07
     6       3   4.36462570e-05   1.38108880e-04
