  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90106070e-01   9.90000000e-01
     1       3   9.67098362e-01   7.40540175e-05
     1       4   4.21725495e-04   1.27837826e-03
     1       5   9.73533965e-04   1.04092479e-06
     1       6   3.33084860e-07   1.27889319e-06
     2       1   1.45193864e-06   5.00067459e-01
     2       2   4.97088931e-01   6.40544082e-09
     2       3   2.92048648e-05   6.81840439e-04
     3       1   6.66729818e-04   3.33372416e-01
     3       2   3.31825846e-01   5.87815922e-07
     3       3   9.83864455e-05   4.54850180e-04
     4       1   4.44592637e-04   2.50029477e-01
     4       2   2.48671555e-01   7.88198578e-07
     4       3   7.33405246e-05   3.40792493e-04
