  Time  Coordinate0  Coordinate1  Coordinate2  Displacements0  Displacements1  Displacements2  Forces0  Forces1  Forces2
 0.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02  -1.55743542e-07  -3.79377502e-16  -4.72900793e-08   6.79284742e-05   9.94653849e-17   1.24794478e-07
 2.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02  -1.00652041e-07  -6.13140812e-16  -2.59631506e-07   1.35968969e-04   1.44358131e-16   5.32109904e-07
 3.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02  -4.41733721e-08  -5.53142694e-17  -4.72066806e-07   2.04107488e-04   2.40207448e-15   1.22408319e-06
 4.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   1.35775904e-08  -6.41567987e-16  -6.84600397e-07   2.72345048e-04   3.23862539e-15   2.20220141e-06
 5.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   7.26087374e-08  -3.77929480e-15  -8.97224392e-07   3.40680820e-04   1.04431251e-14   3.46814283e-06
 6.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   1.32928311e-07   1.17330285e-14  -1.10993119e-06   4.09114120e-04  -8.08552071e-15   5.02364898e-06
 7.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   1.94544590e-07  -5.33693536e-14  -1.32271342e-06   4.77644254e-04   7.84981821e-14   6.87050793e-06
 8.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   2.57465562e-07   1.52636843e-13  -1.53556327e-06   5.46270493e-04  -2.79855505e-13   9.01055972e-06
 9.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   3.21699293e-07  -5.53068649e-13  -1.74847310e-06   6.14992115e-04   1.01831791e-12   1.14456882e-05
 1.00000000e+01   2.35000000e-03   0.00000000e+00   3.00000000e-02   3.87253793e-07   1.89293479e-12  -1.96143502e-06   6.83808349e-04  -3.61997821e-12   1.41778234e-05
