  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       6       6       1       4       1       0
     2       9       3       1       5       1       0
     3      12       3       1       5       2       0
     4      15       3       1       5       2       0
     5      18       3       1       5       2       0
     6      21       3       1       5       2       0
     7      27       6       1       7       3       0
     8      30       3       1       8       1       0
     9      33       3       1       5       3       2
    10      41       8       1       9       3       0
