# Region type :   patch outlet_peri
# Faces           : 192
# Area            : 9.7389069984e-06
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
1                 	7.3433323142e-14
2                 	1.2691726137e-13
3                 	1.6551952950e-13
4                 	1.9319430968e-13
5                 	2.1295794267e-13
6                 	2.2706425206e-13
7                 	2.3716547686e-13
8                 	2.4445172400e-13
9                 	2.4976660596e-13
10                	2.5369973335e-13
11                	2.5665842271e-13
12                	2.5892175329e-13
13                	2.6068026805e-13
14                	2.6206441746e-13
15                	2.6316445269e-13
16                	2.6404401926e-13
17                	2.6474920344e-13
18                	2.6531448798e-13
19                	2.6576651305e-13
20                	2.6612652615e-13
21                	2.6641202268e-13
22                	2.6663628949e-13
23                	2.6681170122e-13
24                	2.6691072346e-13
25                	2.6705248248e-13
26                	2.6713948290e-13
27                	2.6721444040e-13
28                	2.6727190782e-13
29                	2.6727812042e-13
30                	2.6733621438e-13
31                	2.6736044254e-13
32                	2.6737901746e-13
33                	2.6739325823e-13
34                	2.6740417615e-13
35                	2.6741254656e-13
36                	2.6741896387e-13
37                	2.6742388381e-13
38                	2.6742765577e-13
39                	2.6743054760e-13
40                	2.6743276467e-13
41                	2.6743446442e-13
42                	2.6743576757e-13
43                	2.6739130392e-13
44                	2.6742127968e-13
45                	2.6741986277e-13
46                	2.6741877647e-13
47                	2.6741794364e-13
48                	2.6741730514e-13
49                	2.6739059454e-13
50                	2.6740706629e-13
51                	2.6740562265e-13
52                	2.6740451585e-13
53                	2.6740366731e-13
54                	2.6740301677e-13
55                	2.6740251801e-13
56                	2.6740213564e-13
57                	2.6740184248e-13
58                	2.6740161773e-13
59                	2.6740144542e-13
60                	2.6740131331e-13
61                	2.6740121203e-13
62                	2.6740113438e-13
63                	2.6740107485e-13
64                	2.6740102921e-13
65                	2.6740099422e-13
66                	2.6740096740e-13
67                	2.6740094683e-13
68                	2.6740093106e-13
69                	2.6740091897e-13
70                	2.6740090971e-13
71                	2.6740090260e-13
72                	2.6740089715e-13
73                	2.6740089298e-13
74                	2.6740088977e-13
75                	2.6740088732e-13
76                	2.6740088544e-13
77                	2.6740088399e-13
78                	2.6740088289e-13
79                	2.6740088204e-13
80                	2.6740088139e-13
81                	2.6740088089e-13
82                	2.6740088051e-13
83                	2.6740088022e-13
84                	2.6740087999e-13
85                	2.6740087982e-13
86                	2.6740087969e-13
87                	2.6740087959e-13
88                	2.6740087951e-13
89                	2.6740087945e-13
90                	2.6740087940e-13
91                	2.6740087937e-13
92                	2.6740087934e-13
93                	2.6740087932e-13
94                	2.6740087931e-13
95                	2.6740087929e-13
96                	2.6740087928e-13
97                	2.6740087928e-13
98                	2.6740087927e-13
99                	2.6740087927e-13
100               	2.6740087926e-13
101               	2.6740087926e-13
102               	2.6740087926e-13
103               	2.6740087926e-13
104               	2.6740087926e-13
