# Region type :   patch outlet_peri
# Faces           : 192
# Area            : 9.7389069984e-06
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
1                 	2.1484619066e-15
2                 	3.7132580596e-15
3                 	4.8422677020e-15
4                 	5.6520444556e-15
5                 	6.2281557603e-15
6                 	6.6415143889e-15
7                 	7.6365804904e-15
8                 	7.8144665279e-15
9                 	7.9508458234e-15
10                	8.0554032832e-15
11                	8.1355640024e-15
12                	8.1970205538e-15
13                	8.2441372432e-15
14                	8.2802600384e-15
15                	7.7936246859e-15
16                	8.1453135632e-15
17                	8.1389182065e-15
18                	8.1340150997e-15
19                	8.1302560512e-15
20                	8.1273741140e-15
21                	8.1251646288e-15
22                	8.1234706901e-15
23                	8.1221720038e-15
24                	7.8605562069e-15
25                	8.0272413062e-15
26                	8.0151670753e-15
27                	8.0059101649e-15
28                	7.9988132002e-15
29                	7.9933721940e-15
30                	7.9892007559e-15
31                	7.9860026534e-15
32                	7.9835507748e-15
33                	7.9816710012e-15
34                	7.9802298414e-15
35                	7.9791249522e-15
36                	7.9782778706e-15
37                	7.9776284413e-15
38                	7.9771305455e-15
39                	7.9767488254e-15
40                	7.8461137813e-15
41                	7.9296344016e-15
42                	7.9237164601e-15
43                	7.9191793716e-15
44                	7.9157009371e-15
45                	7.9130341373e-15
46                	7.9109895908e-15
47                	7.9094221052e-15
48                	7.9082203662e-15
49                	7.8361004768e-15
50                	7.8811391936e-15
51                	7.8774589847e-15
52                	7.8746374913e-15
53                	7.8724743462e-15
54                	7.8708159351e-15
55                	7.8306916473e-15
56                	7.8546798193e-15
57                	7.8522197274e-15
58                	7.8503336570e-15
59                	7.8488876697e-15
60                	7.8477790794e-15
61                	7.8469291602e-15
62                	7.8462775554e-15
63                	7.8457779918e-15
64                	7.8453949930e-15
65                	7.8451013606e-15
66                	7.8448762424e-15
67                	7.8447036518e-15
68                	7.8445713324e-15
69                	7.8444698875e-15
70                	7.8443921130e-15
71                	7.8443324859e-15
72                	7.8442867719e-15
73                	7.8442517244e-15
74                	7.8442248547e-15
75                	7.8442042545e-15
76                	7.8441884611e-15
77                	7.8441763528e-15
78                	7.8441670698e-15
79                	7.8441599528e-15
80                	7.8441544965e-15
81                	7.8441503133e-15
82                	7.8441471061e-15
83                	7.8441446473e-15
84                	7.8441427623e-15
85                	7.8441413170e-15
86                	7.8441402090e-15
87                	7.8441393596e-15
88                	7.8441387083e-15
89                	7.8441382090e-15
90                	7.8441378262e-15
91                	7.8441375327e-15
92                	7.8441373077e-15
93                	7.8441371352e-15
94                	7.8441370030e-15
95                	7.8441369016e-15
96                	7.8441368238e-15
97                	7.8441367642e-15
98                	7.8441367186e-15
99                	7.8441366835e-15
100               	7.8441366567e-15
101               	7.8441366361e-15
102               	7.8441366203e-15
103               	7.8441366082e-15
104               	7.8441365989e-15
105               	7.8441365918e-15
106               	7.8441365864e-15
107               	7.8441365822e-15
108               	7.8441365790e-15
109               	7.8441365765e-15
