# Region type :   patch inlet
# Faces           : 192
# Area            : 9.7389069984e-06
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
1                 	-2.1466804810e-11
2                 	-4.3777228122e-11
3                 	-8.7570066985e-11
4                 	-1.4485495764e-10
5                 	-1.5846862019e-10
6                 	-1.4819173463e-10
7                 	-1.3689060190e-10
8                 	-1.3314609202e-10
9                 	-1.3096617501e-10
10                	-1.2405989586e-10
11                	-1.1719032587e-10
12                	-1.1470996976e-10
13                	-9.9831386683e-11
14                	-9.5938123253e-11
15                	-8.1657604502e-11
16                	-7.2685019455e-11
17                	-6.8612100643e-11
18                	-6.2975963149e-11
19                	-5.6959753327e-11
20                	-5.0727008662e-11
21                	-4.6350655968e-11
22                	-4.3265378881e-11
23                	-3.8696530251e-11
24                	-3.6001234046e-11
25                	-3.2279399438e-11
26                	-3.2369052495e-11
27                	-2.9409923079e-11
28                	-2.7780227592e-11
29                	-2.6168949199e-11
30                	-2.0416549104e-11
31                	-2.1682665254e-11
32                	-1.7342100684e-11
33                	-1.6315782388e-11
34                	-1.4549478104e-11
35                	-1.2670457065e-11
36                	-1.1664124133e-11
37                	-1.0990939630e-11
38                	-1.0616161229e-11
39                	-9.3442250771e-12
40                	-8.7615341271e-12
41                	-8.1783387654e-12
42                	-7.5443023910e-12
43                	-7.3731605758e-12
44                	-6.7932472901e-12
45                	-6.3392132124e-12
46                	-5.7620803785e-12
47                	-5.5634614184e-12
48                	-5.2730762049e-12
49                	-5.1296978851e-12
50                	-4.7170656821e-12
51                	-4.4529074682e-12
52                	-4.3703562707e-12
53                	-3.8557026962e-12
54                	-4.0042026282e-12
55                	-3.9247478605e-12
56                	-3.7545219696e-12
57                	-3.7025292148e-12
58                	-3.4753470779e-12
59                	-3.4331830597e-12
60                	-3.3806638793e-12
61                	-3.3120506569e-12
62                	-3.1997226481e-12
63                	-3.1521994618e-12
64                	-3.1210813246e-12
65                	-3.0390244453e-12
66                	-3.0341875035e-12
67                	-3.0219173143e-12
68                	-2.9656380494e-12
69                	-2.9521246264e-12
70                	-2.9615991714e-12
71                	-2.9661892085e-12
72                	-2.9445890884e-12
73                	-2.9518454964e-12
74                	-2.9475268622e-12
75                	-2.9494048632e-12
76                	-2.9464758271e-12
77                	-2.9470580246e-12
78                	-2.9414409545e-12
79                	-2.9445409802e-12
80                	-2.9432352503e-12
81                	-2.9439341399e-12
82                	-2.9424703824e-12
83                	-2.9421591342e-12
84                	-2.9421044273e-12
85                	-2.9420294843e-12
86                	-2.9418292059e-12
87                	-2.9413893883e-12
88                	-2.9412582292e-12
89                	-2.9409183421e-12
90                	-2.9407481351e-12
91                	-2.9405284989e-12
92                	-2.9405855730e-12
93                	-2.9405013200e-12
94                	-2.9404322318e-12
95                	-2.9403896492e-12
96                	-2.9403430842e-12
97                	-2.9401581641e-12
98                	-2.9402904747e-12
99                	-2.9402747621e-12
100               	-2.9402055283e-12
101               	-2.9401659847e-12
102               	-2.9400928741e-12
103               	-2.9401030619e-12
104               	-2.9402667494e-12
105               	-2.9418499029e-12
106               	-2.9394856999e-12
107               	-2.9402782488e-12
108               	-2.9403274943e-12
109               	-2.9404550965e-12
110               	-2.9409680431e-12
111               	-2.9418026915e-12
112               	-2.9418344096e-12
113               	-2.9417200016e-12
114               	-2.9425473355e-12
115               	-2.9401696193e-12
116               	-2.9400248848e-12
117               	-2.9403675634e-12
118               	-2.9399028845e-12
119               	-2.9422070491e-12
120               	-2.9419884405e-12
121               	-2.9404743030e-12
