# Region type :   patch outlet_peri
# Faces           : 768
# Area            : 9.7860294442e-06
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
1                 	2.0406964978e-12
2                 	1.6226123731e-11
3                 	3.2452830055e-11
4                 	3.6211039761e-11
5                 	4.1035830330e-11
6                 	4.4276442350e-11
7                 	4.1939927685e-11
8                 	3.7834821568e-11
9                 	3.6409042156e-11
10                	3.3608899281e-11
11                	3.3376959525e-11
12                	3.1812983926e-11
13                	3.0361826905e-11
14                	2.9097055284e-11
15                	2.8192546974e-11
16                	2.7898693627e-11
17                	2.8105362134e-11
18                	2.8489050321e-11
19                	2.8803602645e-11
20                	2.8934330499e-11
21                	2.8910859121e-11
22                	2.8635177118e-11
23                	2.8470354468e-11
24                	2.8195239882e-11
25                	2.8022110440e-11
26                	2.7810763748e-11
27                	2.7489401875e-11
28                	2.7046420624e-11
29                	2.6574383310e-11
30                	2.6114296312e-11
31                	2.5692827217e-11
32                	2.5329495696e-11
33                	2.5022070477e-11
34                	2.4868276117e-11
35                	2.4744245657e-11
36                	2.4560979948e-11
37                	2.4325960597e-11
38                	2.4119498168e-11
39                	2.3994786764e-11
40                	2.3911207085e-11
41                	2.3818307177e-11
42                	2.3689596879e-11
43                	2.3517680472e-11
44                	2.3323427906e-11
45                	2.3140098413e-11
46                	2.2967889398e-11
47                	2.2786753498e-11
48                	2.2600094634e-11
49                	2.2415166280e-11
50                	2.2245780854e-11
51                	2.2116221207e-11
52                	2.2026072520e-11
53                	2.1934317187e-11
54                	2.1811878954e-11
55                	2.1661058383e-11
56                	2.1501098121e-11
57                	2.1331552918e-11
58                	2.1152732957e-11
59                	2.0955394223e-11
60                	2.0745383473e-11
61                	2.0538702552e-11
62                	2.0313383448e-11
63                	2.0064613015e-11
64                	1.9816376465e-11
65                	1.9543501768e-11
66                	1.9239886950e-11
67                	1.8931777631e-11
68                	1.8648591064e-11
69                	1.8333165929e-11
70                	1.8003413643e-11
71                	1.7637978382e-11
72                	1.7299764971e-11
73                	1.6963067771e-11
74                	1.6588266086e-11
75                	1.6192595735e-11
76                	1.5809546059e-11
77                	1.5421015511e-11
78                	1.5092954397e-11
79                	1.4748710184e-11
