  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.91160197e-01   9.90000000e-01
     1       3   9.97750235e-01   7.02912579e-05
     1       4   4.35011337e-04   5.36576721e-03
     1       5   3.75087254e-03   7.00351672e-05
     1       6   2.34621113e-06   2.00803556e-05
     2       1   1.89976598e-05   2.70236185e-01
     2       2   2.68139218e-01   3.31400386e-07
     2       3   1.93997189e-05   5.42845068e-04
     3       1   5.27772016e-04   2.12706932e-01
     3       2   2.08958190e-01   1.19502501e-05
     3       3   3.43393395e-05   4.21979303e-04
     4       1   4.08005296e-04   1.75405275e-01
     4       2   1.71734934e-01   2.35118238e-05
     4       3   2.17047998e-05   1.80942224e-05
     5       1   1.78441304e-05   1.49231422e-01
     5       2   1.47299776e-01   1.96832397e-06
     5       3   1.10453372e-05   2.99016209e-04
     6       1   2.91143727e-04   1.29854613e-01
     6       2   1.27934509e-01   4.65663024e-05
     6       3   2.05243866e-04   5.82949732e-04
     6       4   1.35255953e-05   8.66125401e-05
