# Region type : patch outlet_tm
# Faces         : 4
# Area          : 3.47131099e-07
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
10              	2.46596440e-11
20              	2.46503131e-11
30              	2.46678597e-11
40              	2.46632611e-11
50              	2.46612867e-11
60              	2.46608329e-11
70              	2.46607923e-11
80              	2.46607906e-11
90              	2.46608000e-11
100             	2.46608032e-11
110             	2.46608047e-11
120             	2.46608053e-11
130             	2.46608055e-11
140             	2.46608055e-11
150             	2.46608054e-11
160             	2.46608054e-11
170             	2.46608056e-11
180             	2.46608057e-11
190             	2.46608056e-11
200             	2.46608056e-11
210             	2.46608057e-11
220             	2.46608057e-11
230             	2.46608057e-11
240             	2.46608057e-11
250             	2.46608057e-11
260             	2.46608057e-11
270             	2.46608058e-11
280             	2.46608058e-11
290             	2.46608058e-11
300             	2.46608058e-11
310             	2.46608058e-11
320             	2.46608058e-11
330             	2.46608058e-11
340             	2.46608058e-11
350             	2.46608058e-11
360             	2.46608058e-11
370             	2.46608059e-11
380             	2.46608058e-11
390             	2.46608059e-11
400             	2.46608058e-11
410             	2.46608058e-11
420             	2.46608058e-11
430             	2.46608059e-11
440             	2.46608059e-11
450             	2.46608059e-11
460             	2.46608059e-11
470             	2.46608058e-11
480             	2.46608059e-11
490             	2.46608059e-11
500             	2.46608059e-11
510             	2.46608058e-11
520             	2.46608059e-11
530             	2.46608058e-11
540             	2.46608059e-11
550             	2.46608058e-11
560             	2.46608059e-11
570             	2.46608059e-11
580             	2.46608059e-11
590             	2.46608059e-11
600             	2.46608059e-11
610             	2.46608058e-11
620             	2.46608059e-11
630             	2.46608059e-11
640             	2.46608059e-11
650             	2.46608059e-11
660             	2.46608059e-11
670             	2.46608059e-11
680             	2.46608059e-11
690             	2.46608059e-11
700             	2.46608059e-11
