# Region type : patch outlet_tm
# Faces         : 4
# Area          : 3.47131099e-07
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
510             	2.58296760e-11
520             	2.58296767e-11
530             	2.58296767e-11
540             	2.58296767e-11
550             	2.58296765e-11
560             	2.58296765e-11
570             	2.58296764e-11
580             	2.58296764e-11
590             	2.58296764e-11
600             	2.58296764e-11
610             	2.58296764e-11
620             	2.58296765e-11
630             	2.58296765e-11
640             	2.58296764e-11
650             	2.58296765e-11
660             	2.58296765e-11
670             	2.58296765e-11
680             	2.58296765e-11
