# Region type : patch outlet_tm_left
# Faces         : 5
# Area          : 3.47131099e-07
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
10              	2.53475045e-11
20              	2.53501931e-11
30              	2.53322526e-11
40              	2.53368021e-11
50              	2.53387075e-11
60              	2.53391676e-11
70              	2.53392101e-11
80              	2.53392096e-11
90              	2.53392002e-11
100             	2.53391968e-11
110             	2.53391960e-11
120             	2.53391952e-11
130             	2.53391950e-11
140             	2.53391949e-11
150             	2.53391946e-11
160             	2.53391946e-11
170             	2.53391947e-11
180             	2.53391947e-11
190             	2.53391945e-11
200             	2.53391944e-11
210             	2.53391946e-11
220             	2.53391945e-11
230             	2.53391945e-11
240             	2.53391945e-11
250             	2.53391945e-11
260             	2.53391944e-11
270             	2.53391944e-11
280             	2.53391944e-11
290             	2.53391944e-11
300             	2.53391943e-11
310             	2.53391943e-11
320             	2.53391943e-11
330             	2.53391943e-11
340             	2.53391943e-11
350             	2.53391942e-11
360             	2.53391942e-11
370             	2.53391943e-11
380             	2.53391942e-11
390             	2.53391942e-11
400             	2.53391942e-11
410             	2.53391942e-11
420             	2.53391942e-11
430             	2.53391942e-11
440             	2.53391942e-11
450             	2.53391942e-11
460             	2.53391942e-11
470             	2.53391942e-11
480             	2.53391942e-11
490             	2.53391942e-11
500             	2.53391942e-11
510             	2.53391941e-11
520             	2.53391942e-11
530             	2.53391941e-11
540             	2.53391942e-11
550             	2.53391942e-11
560             	2.53391942e-11
570             	2.53391942e-11
580             	2.53391942e-11
590             	2.53391942e-11
600             	2.53391942e-11
610             	2.53391941e-11
620             	2.53391941e-11
630             	2.53391941e-11
640             	2.53391942e-11
650             	2.53391941e-11
660             	2.53391941e-11
670             	2.53391941e-11
680             	2.53391941e-11
690             	2.53391941e-11
700             	2.53391941e-11
