# Region type : patch outlet_tm_left
# Faces         : 4
# Area          : 2.60348324e-07
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
510             	2.41703231e-11
520             	2.41703228e-11
530             	2.41703232e-11
540             	2.41703236e-11
550             	2.41703236e-11
560             	2.41703236e-11
570             	2.41703236e-11
580             	2.41703235e-11
590             	2.41703236e-11
600             	2.41703236e-11
610             	2.41703236e-11
620             	2.41703236e-11
630             	2.41703236e-11
640             	2.41703236e-11
650             	2.41703236e-11
660             	2.41703236e-11
670             	2.41703236e-11
680             	2.41703236e-11
