# Region type : patch ac_inlet
# Faces         : 7
# Area          : 5.16236380e-07
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
10              	1.82435332e+00
20              	2.01194698e+00
30              	2.01538129e+00
40              	2.01238513e+00
50              	2.01223680e+00
60              	2.01226910e+00
70              	2.01226985e+00
80              	2.01226933e+00
90              	2.01226896e+00
100             	2.01226875e+00
110             	2.01226868e+00
120             	2.01226860e+00
130             	2.01226853e+00
140             	2.01226847e+00
150             	2.01226843e+00
160             	2.01226839e+00
170             	2.01226836e+00
180             	2.01226833e+00
190             	2.01226830e+00
200             	2.01226827e+00
210             	2.01226825e+00
220             	2.01226823e+00
230             	2.01226820e+00
240             	2.01226818e+00
250             	2.01226817e+00
260             	2.01226815e+00
270             	2.01226814e+00
280             	2.01226812e+00
290             	2.01226811e+00
300             	2.01226810e+00
310             	2.01226808e+00
320             	2.01226808e+00
330             	2.01226807e+00
340             	2.01226806e+00
350             	2.01226805e+00
360             	2.01226804e+00
370             	2.01226803e+00
380             	2.01226802e+00
390             	2.01226802e+00
400             	2.01226801e+00
410             	2.01226801e+00
420             	2.01226800e+00
430             	2.01226800e+00
440             	2.01226799e+00
450             	2.01226798e+00
460             	2.01226798e+00
470             	2.01226798e+00
480             	2.01226797e+00
490             	2.01226797e+00
500             	2.01226796e+00
510             	2.01226796e+00
520             	2.01226796e+00
530             	2.01226795e+00
540             	2.01226795e+00
550             	2.01226795e+00
560             	2.01226794e+00
570             	2.01226794e+00
580             	2.01226794e+00
590             	2.01226794e+00
600             	2.01226793e+00
610             	2.01226793e+00
620             	2.01226793e+00
630             	2.01226792e+00
640             	2.01226792e+00
650             	2.01226792e+00
660             	2.01226792e+00
670             	2.01226791e+00
680             	2.01226791e+00
690             	2.01226791e+00
700             	2.01226791e+00
