# Region type : patch ac_inlet
# Faces         : 6
# Area          : 4.73216676e-07
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
510             	3.08231810e+00
520             	3.08231819e+00
530             	3.08231821e+00
540             	3.08231819e+00
550             	3.08231818e+00
560             	3.08231817e+00
570             	3.08231817e+00
580             	3.08231817e+00
590             	3.08231817e+00
600             	3.08231816e+00
610             	3.08231816e+00
620             	3.08231816e+00
630             	3.08231816e+00
640             	3.08231815e+00
650             	3.08231816e+00
660             	3.08231815e+00
670             	3.08231815e+00
680             	3.08231815e+00
