# Region type : patch outlet_tm_left
# Faces         : 4
# Area          : 2.00000000e-06
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.01            	2.50503523e-11
0.02            	2.50503523e-11
0.03            	2.50503525e-11
0.04            	2.50503525e-11
0.05            	2.50503525e-11
0.06            	2.50503523e-11
0.07            	2.50503525e-11
0.08            	2.50503525e-11
0.09            	2.50503525e-11
0.1             	2.50503525e-11
0.11            	2.50503525e-11
0.12            	2.50503525e-11
0.13            	2.50503524e-11
0.14            	2.50503524e-11
0.15            	2.50503525e-11
0.16            	2.50503543e-11
0.17            	2.50503525e-11
0.18            	2.50503523e-11
0.19            	2.50503521e-11
0.2             	2.50503521e-11
0.21            	2.50503520e-11
0.22            	2.50503520e-11
0.23            	2.50503520e-11
0.24            	2.50503520e-11
0.25            	2.50503520e-11
0.26            	2.50503520e-11
0.27            	2.50503520e-11
0.28            	2.50503520e-11
0.29            	2.50503520e-11
0.3             	2.50503521e-11
0.31            	2.50503521e-11
0.32            	2.50503521e-11
0.33            	2.50503521e-11
0.34            	2.50503521e-11
0.35            	2.50503521e-11
0.36            	2.50503521e-11
0.37            	2.50503521e-11
0.38            	2.50503521e-11
0.39            	2.50503521e-11
0.4             	2.50503522e-11
0.41            	2.50503522e-11
0.42            	2.50503522e-11
0.43            	2.50503522e-11
0.44            	2.50503522e-11
0.45            	2.50503522e-11
0.46            	2.50503522e-11
0.47            	2.50503522e-11
0.48            	2.50503522e-11
0.49            	2.50503522e-11
0.5             	2.50503522e-11
0.51            	2.50503522e-11
0.52            	2.50503522e-11
0.53            	2.50503522e-11
0.54            	2.50503522e-11
0.55            	2.50503522e-11
0.56            	2.50503522e-11
0.57            	2.50503522e-11
0.58            	2.50503523e-11
0.59            	2.50503523e-11
0.6             	2.50503523e-11
0.61            	2.50503523e-11
0.62            	2.50503523e-11
0.63            	2.50503523e-11
0.64            	2.50503523e-11
0.65            	2.50503523e-11
0.66            	2.50503523e-11
0.67            	2.50503523e-11
0.68            	2.50503523e-11
0.69            	2.50503523e-11
0.7             	2.50503523e-11
0.71            	2.50503523e-11
0.72            	2.50503523e-11
0.73            	2.50503523e-11
0.74            	2.50503523e-11
0.75            	2.50503523e-11
0.76            	2.50503523e-11
0.77            	2.50503523e-11
0.78            	2.50503523e-11
0.79            	2.50503523e-11
0.8             	2.50503523e-11
0.81            	2.50503523e-11
0.82            	2.50503523e-11
0.83            	2.50503523e-11
0.84            	2.50503523e-11
0.85            	2.50503523e-11
0.86            	2.50503523e-11
0.87            	2.50503523e-11
