# Region type : patch ac_inlet
# Faces         : 5
# Area          : 2.40000000e-06
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.01            	2.07848726e+00
0.02            	1.37792690e+00
0.03            	1.14880897e+00
0.04            	1.07290817e+00
0.05            	1.04766378e+00
0.06            	1.03925143e+00
0.07            	1.03644448e+00
0.08            	1.03550667e+00
0.09            	1.03519287e+00
0.1             	1.03508764e+00
0.11            	1.03505224e+00
0.12            	1.03504028e+00
0.13            	1.03503620e+00
0.14            	1.03503480e+00
0.15            	1.03503431e+00
0.16            	1.03503428e+00
0.17            	1.03503401e+00
0.18            	1.03503400e+00
0.19            	1.03503400e+00
0.2             	1.03503399e+00
0.21            	1.03503399e+00
0.22            	1.03503399e+00
0.23            	1.03503399e+00
0.24            	1.03503399e+00
0.25            	1.03503399e+00
0.26            	1.03503399e+00
0.27            	1.03503399e+00
0.28            	1.03503398e+00
0.29            	1.03503398e+00
0.3             	1.03503398e+00
0.31            	1.03503398e+00
0.32            	1.03503398e+00
0.33            	1.03503398e+00
0.34            	1.03503398e+00
0.35            	1.03503398e+00
0.36            	1.03503398e+00
0.37            	1.03503398e+00
0.38            	1.03503398e+00
0.39            	1.03503398e+00
0.4             	1.03503398e+00
0.41            	1.03503398e+00
0.42            	1.03503398e+00
0.43            	1.03503398e+00
0.44            	1.03503398e+00
0.45            	1.03503398e+00
0.46            	1.03503398e+00
0.47            	1.03503398e+00
0.48            	1.03503398e+00
0.49            	1.03503398e+00
0.5             	1.03503398e+00
0.51            	1.03503398e+00
0.52            	1.03503398e+00
0.53            	1.03503398e+00
0.54            	1.03503398e+00
0.55            	1.03503398e+00
0.56            	1.03503398e+00
0.57            	1.03503398e+00
0.58            	1.03503398e+00
0.59            	1.03503398e+00
0.6             	1.03503398e+00
0.61            	1.03503398e+00
0.62            	1.03503398e+00
0.63            	1.03503398e+00
0.64            	1.03503398e+00
0.65            	1.03503398e+00
0.66            	1.03503398e+00
0.67            	1.03503398e+00
0.68            	1.03503398e+00
