# Region type : patch outlet_tm
# Faces         : 5
# Area          : 2.40000000e-06
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0119048       	5.01006754e-11
0.0262605       	5.01007046e-11
0.0431798       	5.01007048e-11
0.0630415       	5.01007052e-11
0.087317        	5.01007073e-11
0.116794        	5.01007051e-11
0.151631        	5.01007061e-11
0.195177        	5.01007056e-11
0.245981        	5.01007066e-11
0.309486        	5.01007043e-11
0.372991        	5.01007043e-11
0.436495        	5.01007045e-11
0.5             	5.01007045e-11
0.571429        	5.01007051e-11
0.657143        	5.01007051e-11
0.771429        	5.01007060e-11
0.885714        	5.01007063e-11
1               	5.01007058e-11
1.125           	5.01007061e-11
1.25            	5.01007020e-11
1.375           	5.01007045e-11
1.5             	5.01007033e-11
1.66667         	5.01007026e-11
1.83333         	5.01007046e-11
2               	5.01007040e-11
2.16667         	5.01007066e-11
2.33333         	5.01007058e-11
2.5             	5.01007067e-11
2.75            	5.01007041e-11
3               	5.01007048e-11
3.25            	5.01007052e-11
3.5             	5.01007065e-11
3.75            	5.01007039e-11
4               	5.01007056e-11
4.25            	5.01007060e-11
4.5             	5.01007058e-11
4.75            	5.01007013e-11
5               	5.01007055e-11
5.25            	5.09007082e-11
5.5             	5.17007038e-11
5.75            	5.25007043e-11
6               	5.33007066e-11
6.25            	5.33007041e-11
6.5             	5.33007072e-11
6.75            	5.33007057e-11
7               	5.33007061e-11
7.25            	5.33007042e-11
7.5             	5.33007065e-11
7.75            	5.33007039e-11
8               	5.33007021e-11
8.25            	5.33007032e-11
8.5             	5.33007051e-11
8.75            	5.33007071e-11
9               	5.33007063e-11
9.25            	5.33007043e-11
9.5             	5.33007070e-11
9.75            	5.33007019e-11
10              	5.33007043e-11
10.25           	5.25007037e-11
10.5            	5.17007081e-11
10.75           	5.09007047e-11
11              	5.01007035e-11
11.25           	5.01007027e-11
11.5            	5.01007030e-11
11.75           	5.01007060e-11
12              	5.01007037e-11
12.25           	5.01007034e-11
12.5            	5.01007048e-11
12.75           	5.01007062e-11
13              	5.01007026e-11
13.25           	5.01007061e-11
13.5            	5.01007068e-11
13.75           	5.01007031e-11
14              	5.01007053e-11
14.25           	5.01007049e-11
14.5            	5.01007035e-11
14.75           	5.01007032e-11
15              	5.01007069e-11
15.25           	4.93007044e-11
15.5            	4.85007058e-11
15.75           	4.77007041e-11
16              	4.69007061e-11
16.25           	4.69007058e-11
16.5            	4.69007026e-11
16.75           	4.69007072e-11
17              	4.69007037e-11
17.25           	4.69007040e-11
17.5            	4.69007045e-11
17.75           	4.69007012e-11
18              	4.69007036e-11
18.25           	4.69007038e-11
18.5            	4.69007029e-11
18.75           	4.69007035e-11
19              	4.69007059e-11
19.25           	4.69007034e-11
19.5            	4.69007038e-11
19.75           	4.69007053e-11
20              	4.69007043e-11
20.25           	4.77007062e-11
20.5            	4.85007028e-11
20.75           	4.93007055e-11
21              	5.01007010e-11
21.25           	5.01007051e-11
21.5            	5.01007064e-11
21.75           	5.01007057e-11
22              	5.01007033e-11
22.25           	5.01007034e-11
22.5            	5.01007022e-11
22.75           	5.01007073e-11
23              	5.01007048e-11
23.25           	5.01007050e-11
23.5            	5.01007020e-11
23.75           	5.01007035e-11
24              	5.01007063e-11
24.25           	5.01007062e-11
24.5            	5.01007053e-11
24.75           	5.01007055e-11
25              	5.01007049e-11
