# Region type : patch ac_inlet
# Faces         : 5
# Area          : 2.40000000e-06
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0119048       	1.34204595e+00
0.0262605       	1.34200106e+00
0.0431798       	1.34200094e+00
0.0630415       	1.34200086e+00
0.087317        	1.34200079e+00
0.116794        	1.34200074e+00
0.151631        	1.34200069e+00
0.195177        	1.34200064e+00
0.245981        	1.34200061e+00
0.309486        	1.34200057e+00
0.372991        	1.34200055e+00
0.436495        	1.34200054e+00
0.5             	1.34200053e+00
0.571429        	1.34200052e+00
0.657143        	1.34200051e+00
0.771429        	1.34200050e+00
0.885714        	1.34200050e+00
1               	1.34200049e+00
1.125           	1.34200049e+00
1.25            	1.34200049e+00
1.375           	1.34200049e+00
1.5             	1.34200049e+00
1.66667         	1.34200049e+00
1.83333         	1.34200049e+00
2               	1.34200048e+00
2.16667         	1.34200048e+00
2.33333         	1.34200048e+00
2.5             	1.34200048e+00
2.75            	1.34200048e+00
3               	1.34200048e+00
3.25            	1.34200048e+00
3.5             	1.34200048e+00
3.75            	1.34200048e+00
4               	1.34200048e+00
4.25            	1.34200048e+00
4.5             	1.34200048e+00
4.75            	1.34200048e+00
5               	1.34200048e+00
5.25            	1.34200052e+00
5.5             	1.34200053e+00
5.75            	1.34200054e+00
6               	1.34200055e+00
6.25            	1.34200051e+00
6.5             	1.34200051e+00
6.75            	1.34200051e+00
7               	1.34200051e+00
7.25            	1.34200051e+00
7.5             	1.34200051e+00
7.75            	1.34200051e+00
8               	1.34200051e+00
8.25            	1.34200051e+00
8.5             	1.34200051e+00
8.75            	1.34200051e+00
9               	1.34200051e+00
9.25            	1.34200051e+00
9.5             	1.34200051e+00
9.75            	1.34200051e+00
10              	1.34200051e+00
10.25           	1.34200047e+00
10.5            	1.34200046e+00
10.75           	1.34200045e+00
11              	1.34200045e+00
11.25           	1.34200048e+00
11.5            	1.34200048e+00
11.75           	1.34200048e+00
12              	1.34200048e+00
12.25           	1.34200048e+00
12.5            	1.34200048e+00
12.75           	1.34200048e+00
13              	1.34200048e+00
13.25           	1.34200048e+00
13.5            	1.34200048e+00
13.75           	1.34200048e+00
14              	1.34200048e+00
14.25           	1.34200048e+00
14.5            	1.34200048e+00
14.75           	1.34200048e+00
15              	1.34200048e+00
15.25           	1.34200047e+00
15.5            	1.34200047e+00
15.75           	1.34200046e+00
16              	1.34200046e+00
16.25           	1.34200048e+00
16.5            	1.34200048e+00
16.75           	1.34200048e+00
17              	1.34200048e+00
17.25           	1.34200048e+00
17.5            	1.34200048e+00
17.75           	1.34200048e+00
18              	1.34200048e+00
18.25           	1.34200048e+00
18.5            	1.34200048e+00
18.75           	1.34200048e+00
19              	1.34200048e+00
19.25           	1.34200048e+00
19.5            	1.34200048e+00
19.75           	1.34200048e+00
20              	1.34200048e+00
20.25           	1.34200049e+00
20.5            	1.34200049e+00
20.75           	1.34200050e+00
21              	1.34200050e+00
21.25           	1.34200048e+00
21.5            	1.34200048e+00
21.75           	1.34200048e+00
22              	1.34200048e+00
22.25           	1.34200048e+00
22.5            	1.34200048e+00
22.75           	1.34200048e+00
23              	1.34200048e+00
23.25           	1.34200048e+00
23.5            	1.34200048e+00
23.75           	1.34200048e+00
24              	1.34200048e+00
24.25           	1.34200048e+00
24.5            	1.34200048e+00
24.75           	1.34200048e+00
25              	1.34200048e+00
