# Region      : all region0
# Cells       : 20352
# Volume      : 5.203692e-08
# Time        	max(magU)
0.001         	6.114683e-07
0.002         	1.550550e-06
0.003         	2.936462e-06
0.004         	4.728462e-06
0.005         	9.127668e-06
0.006         	1.712169e-05
0.007         	2.854996e-05
0.008         	4.329571e-05
0.009         	6.324511e-05
0.01          	9.279483e-05
0.011         	1.315197e-04
0.012         	1.790570e-04
0.013         	2.349918e-04
0.014         	3.077150e-04
0.015         	3.968536e-04
0.016         	5.017127e-04
0.017         	6.225933e-04
0.018         	7.655196e-04
0.019         	9.331278e-04
0.02          	1.124709e-03
0.021         	1.339367e-03
0.022         	1.578889e-03
0.023         	1.850043e-03
0.024         	2.151897e-03
0.025         	2.483230e-03
0.026         	2.842784e-03
0.027         	3.237975e-03
0.028         	3.668448e-03
0.029         	4.132740e-03
0.03          	4.629315e-03
0.031         	5.160822e-03
0.032         	5.729005e-03
0.033         	6.332271e-03
0.034         	6.968922e-03
0.035         	7.638209e-03
0.036         	8.341804e-03
0.037         	9.077987e-03
0.038         	9.845113e-03
0.039         	1.064153e-02
0.04          	1.146575e-02
0.041         	1.231606e-02
0.042         	1.319089e-02
0.043         	1.408879e-02
0.044         	1.500606e-02
0.045         	1.593905e-02
0.046         	1.688645e-02
0.047         	1.784706e-02
0.048         	1.881828e-02
0.049         	1.979146e-02
0.05          	2.076541e-02
0.051         	2.173957e-02
0.052         	2.271351e-02
0.053         	2.367541e-02
0.054         	2.462211e-02
0.055         	2.555353e-02
0.056         	2.646989e-02
0.057         	2.736306e-02
0.058         	2.822385e-02
0.059         	2.905258e-02
0.06          	2.985021e-02
0.061         	3.061514e-02
0.062         	3.133040e-02
0.063         	3.199671e-02
0.064         	3.261581e-02
0.065         	3.318954e-02
0.066         	3.370233e-02
0.067         	3.415076e-02
0.068         	3.453707e-02
0.069         	3.486385e-02
0.07          	3.512390e-02
0.071         	3.530691e-02
0.072         	3.541578e-02
0.073         	3.545342e-02
0.074         	3.542122e-02
0.075         	3.530300e-02
0.076         	3.510157e-02
0.077         	3.482077e-02
0.078         	3.446425e-02
0.079         	3.402213e-02
0.08          	3.349300e-02
0.081         	3.288073e-02
0.082         	3.218928e-02
0.083         	3.141707e-02
0.084         	3.055920e-02
0.085         	2.961950e-02
0.086         	2.860208e-02
0.087         	2.751788e-02
0.088         	2.652553e-02
0.089         	2.563494e-02
0.09          	2.484687e-02
0.091         	2.416097e-02
0.092         	2.372653e-02
0.093         	2.361308e-02
0.094         	2.381748e-02
0.095         	2.433118e-02
0.096         	2.514073e-02
0.097         	2.622774e-02
0.098         	2.757991e-02
0.099         	2.918450e-02
0.1           	3.102809e-02
0.101         	3.307068e-02
0.102         	3.529822e-02
0.103         	3.769894e-02
0.104         	4.026165e-02
0.105         	4.295298e-02
0.106         	4.574982e-02
0.107         	4.864271e-02
0.108         	5.162351e-02
0.109         	5.467241e-02
0.11          	5.775334e-02
0.111         	6.085948e-02
0.112         	6.398640e-02
