# Time forceX forceY forceZ normalForce
0.001 -8.78761e-06 5.41193e-06 -3.51576e-06 -0.000418146
0.002 -1.13485e-05 -5.14285e-06 -2.70112e-06 -0.00145811
0.003 -1.12729e-05 1.68479e-06 -1.06193e-05 -0.00293188
0.004 -5.93308e-06 -7.39151e-06 1.64003e-06 -0.00492576
0.005 -8.85823e-06 -1.25431e-05 3.0513e-06 -0.00755889
0.006 -3.36901e-05 1.70626e-06 -1.6959e-05 -0.0109602
0.007 -1.33223e-05 -4.87089e-06 -3.02677e-05 -0.0168136
0.008 2.69381e-06 -2.50178e-05 1.23527e-05 -0.0222069
0.009 1.51996e-05 -3.92913e-05 1.52912e-06 -0.0291102
0.01 -1.84621e-05 2.06741e-05 -3.05288e-05 -0.035932
0.011 -1.07273e-05 2.12757e-05 -2.35608e-05 -0.0450494
0.012 7.57217e-05 -6.51508e-05 2.74178e-05 -0.0563005
0.013 4.66366e-05 -4.83673e-05 2.42906e-05 -0.0664982
0.014 6.14898e-05 8.26348e-06 4.39688e-06 -0.0769496
0.015 0.000124342 -4.5063e-05 6.64759e-05 -0.0904134
0.016 0.000134483 -1.74841e-05 7.37777e-05 -0.103799
0.017 0.000187734 -5.38434e-05 8.97344e-05 -0.118301
0.018 0.000183512 -4.23117e-05 0.000116824 -0.133313
0.019 0.000144025 1.39745e-05 1.88327e-06 -0.147865
0.02 0.000286533 -7.34146e-05 0.000139025 -0.16765
0.021 0.000233503 4.57259e-05 8.55943e-06 -0.184103
0.022 0.000241997 5.53185e-05 6.47754e-05 -0.20299
0.023 0.000300466 2.25321e-05 0.000105923 -0.223347
0.024 0.000311176 7.71741e-05 0.000133612 -0.245556
0.025 0.000494628 -1.28982e-05 0.000237992 -0.269548
0.026 0.000454443 5.57681e-05 9.53979e-05 -0.290725
0.027 0.000558559 3.16839e-05 0.000133742 -0.314096
0.028 0.000673758 -2.52726e-05 0.000267873 -0.340336
0.029 0.000576925 5.32934e-05 0.000224073 -0.365305
0.03 0.000677322 6.56201e-05 0.000199234 -0.392393
0.031 0.00100664 -0.000212114 0.000358267 -0.423109
0.032 0.000937665 -0.000110709 0.000316851 -0.452006
0.033 0.00105522 -8.64427e-05 0.00042717 -0.479542
0.034 0.001192 -0.0002204 0.000447249 -0.510234
0.035 0.00110006 3.2242e-05 0.000316283 -0.537776
0.036 0.00117634 4.6243e-05 0.000413066 -0.571348
0.037 0.00136409 -5.70897e-05 0.000552478 -0.603328
0.038 0.0012624 9.70519e-05 0.000343447 -0.631422
0.039 0.00156656 -0.000119 0.000620585 -0.668232
0.04 0.00148166 6.55159e-05 0.000526496 -0.700067
0.041 0.0017318 -0.000107346 0.000674853 -0.736886
0.042 0.00159608 0.000159499 0.00063969 -0.769262
0.043 0.0016899 2.94097e-05 0.000483554 -0.803127
0.044 0.00221027 -0.000133102 0.000661898 -0.843826
0.045 0.00189049 0.000110068 0.000548982 -0.875499
0.046 0.00221694 -0.000138182 0.000859459 -0.915619
0.047 0.00230838 -0.000114692 0.000877036 -0.954293
0.048 0.0023722 -3.5512e-05 0.000922087 -0.99184
0.049 0.00227153 0.000114687 0.000698197 -1.02679
0.05 0.00255216 -1.53287e-05 0.000993569 -1.07298
0.051 0.00274697 -0.000124298 0.00101242 -1.11079
0.052 0.00288521 -0.000146321 0.00108475 -1.14732
0.053 0.00290413 1.57398e-06 0.0011365 -1.18494
0.054 0.00281697 8.12295e-06 0.00101095 -1.22707
0.055 0.00312885 8.02386e-06 0.00121872 -1.26704
0.056 0.00313772 0.000157069 0.00112794 -1.30712
0.057 0.0034542 -4.53608e-05 0.00116235 -1.3466
0.058 0.00347331 -0.00025413 0.00125591 -1.38731
