  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   6.16151963e-01   3.76423761e-01
     1       3   2.13425970e+00   7.22217727e-01
     1       4   1.03624516e-02   2.23999120e-01
     1       5   1.58928698e-02   1.05028216e-02
     1       6   6.30048558e-03   4.89651464e-04
     1       7   9.01938772e-04   2.71437177e-04
     1       8   8.28158997e-05   3.61799719e-05
     2       1   8.68588276e-01   6.84611613e-01
     2       2   3.66423017e-01   4.91299045e-01
     2       3   2.15578664e-01   3.72028091e-02
     2       4   2.16552845e-02   3.67638506e-02
     2       5   3.95231261e-03   2.46770418e-03
     2       6   1.80928695e-04   4.23887905e-04
     2       7   2.62432758e-05   3.92806523e-05
     3       1   6.32412945e-01   1.42262841e+00
     3       2   5.12127747e-02   6.70049081e-01
     3       3   2.28495585e-02   3.81000685e-02
     3       4   2.91984576e-03   8.59559286e-03
     3       5   1.41801233e-04   1.72553092e-03
     3       6   4.98680709e-05   8.10881916e-05
     4       1   1.56271516e-01   1.07470718e+00
     4       2   6.88198611e-02   3.97222200e-01
     4       3   9.84496075e-03   4.36444405e-02
     4       4   4.46894225e-03   1.33318777e-02
     4       5   4.99313315e-04   3.12070003e-03
     4       6   1.87761903e-05   3.33816190e-04
     4       7   9.26732953e-07   2.85133910e-05
     5       1   2.17363234e+00   2.11525602e+00
     5       2   8.84785247e-02   8.36808708e-01
     5       3   2.82641898e-02   8.31089976e-02
     5       4   1.75956030e-03   2.04606564e-02
     5       5   2.64974861e-05   1.21637085e-03
     5       6   5.56969568e-05   9.16558860e-05
     6       1   3.75942512e+00   2.25439233e+00
     6       2   2.75057825e-02   1.66281266e+00
     6       3   3.06532222e-02   3.11341609e-02
     6       4   1.82288152e-03   1.96035122e-02
     6       5   2.42710366e-04   1.66416109e-03
     6       6   1.55563365e-05   3.42931423e-04
     6       7   5.38332388e-06   1.39385272e-05
     7       1   1.97291191e+00   1.61427813e+00
     7       2   3.29155697e-01   2.81635665e+00
     7       3   1.54046490e-02   1.86375737e-01
     7       4   2.12258377e-03   3.17408199e-02
     7       5   2.32187668e-04   6.21696851e-03
     7       6   1.81129720e-05   5.13910280e-04
     7       7   5.34024973e-06   1.60881746e-05
     8       1   1.54417881e+00   1.34943569e+00
     8       2   9.00598658e-02   3.57091453e+00
     8       3   1.84927798e-02   1.57624216e-01
     8       4   3.25255142e-03   1.92095101e-02
     8       5   2.23666908e-04   1.66493363e-03
     8       6   2.92859546e-05   1.05231021e-04
     8       7   3.19721052e-06   1.25547524e-05
     9       1   1.32074650e+00   1.16966425e+00
     9       2   2.04577456e-02   4.49281020e+00
     9       3   8.35536261e-02   2.32924247e-02
     9       4   1.70579289e-03   2.47647407e-02
     9       5   3.03271468e-04   2.14118147e-03
     9       6   3.21398137e-05   2.42320997e-04
     9       7   3.66036245e-06   1.63194512e-05
    10       1   1.15686478e+00   1.01595487e+00
    10       2   4.15265521e-01   3.74038423e+00
    10       3   1.20423948e-01   2.64498931e-02
    10       4   1.43013469e-02   7.59776935e-03
    10       5   2.97967055e-03   8.21941992e-04
    10       6   2.97288713e-04   1.67322337e-04
    10       7   6.11655908e-05   1.61508650e-05
    11       1   9.99871523e-01   8.57404750e-01
    11       2   8.06777369e-01   2.59811404e+00
    11       3   5.30763672e-03   1.13174627e-01
    11       4   3.25522778e-03   2.50726822e-03
    11       5   7.19960203e-04   1.19543493e-03
    11       6   6.64791888e-05   1.94048570e-04
    11       7   3.13835820e-07   1.36931181e-05
    12       1   7.91305952e-01   6.37085650e-01
    12       2   2.40264151e-01   1.27646330e+00
    12       3   2.16662727e-02   5.50842351e-02
    12       4   5.05870161e-03   5.89223307e-03
    12       5   8.14255304e-05   1.88971163e-03
    12       6   6.13131414e-05   4.90046125e-05
    13       1   2.70558345e-01   1.71619573e-01
    13       2   5.58622751e-02   1.53583797e-01
    13       3   3.24314186e-02   2.91268026e-02
    13       4   1.53263269e-03   1.77168554e-02
    13       5   2.28949607e-05   1.04236277e-03
    13       6   2.20332164e-05   1.21632400e-05
    14       1   4.68829868e+00   1.97154643e+00
    14       2   2.72297496e-02   8.62901918e-01
    14       3   1.03888404e-02   1.87325631e-02
    14       4   1.06430040e-04   3.77449805e-03
    14       5   2.80603559e-05   1.25915403e-04
    14       6   2.41590602e-06   1.81861298e-05
    15       1   1.54727062e+00   1.64602975e+00
    15       2   4.18815830e-02   2.23528303e+00
    15       3   6.48863112e-02   1.36840863e-02
    15       4   1.23019596e-03   2.12407739e-02
    15       5   4.83336019e-04   2.16179985e-04
    15       6   1.00291642e-04   2.10343178e-04
    15       7   1.46255134e-05   3.88623467e-05
    16       1   1.21872358e+00   1.27822510e+00
    16       2   1.47712463e-01   4.32095808e+00
    16       3   4.22325903e-03   1.24943197e-02
    16       4   1.18278338e-02   1.06535075e-03
    16       5   5.02910412e-04   1.61883429e-03
    16       6   8.91643652e-05   1.25127801e-04
    16       7   6.05333273e-06   1.23091463e-05
    17       1   1.04807063e+00   1.08410611e+00
    17       2   2.96994816e-01   4.82212273e+00
    17       3   4.81562389e-02   1.37071659e-01
    17       4   9.21292849e-04   1.72022234e-02
    17       5   3.73096607e-04   4.68976967e-04
    17       6   3.87003568e-05   1.42529973e-04
    17       7   6.61971292e-07   9.97856365e-06
    18       1   9.10365802e-01   9.35359669e-01
    18       2   9.80586347e-02   3.14402444e+00
    18       3   1.19836475e-02   8.39825825e-02
    18       4   2.11170158e-03   3.83095287e-03
    18       5   3.05252724e-04   1.02787934e-03
    18       6   9.34736537e-06   1.91211559e-04
    18       7   3.27696255e-06   5.07348676e-06
    19       1   7.69114414e-01   7.87984351e-01
    19       2   7.31271245e-03   1.94566260e+00
    19       3   5.14620141e-03   2.41582193e-02
    19       4   8.12967408e-04   2.31861367e-03
    19       5   1.69760109e-05   4.89380977e-04
    19       6   1.05379269e-05   9.25538756e-06
    20       1   5.97710446e-01   6.10383586e-01
    20       2   4.47120729e-02   1.03719447e+00
    20       3   5.34518064e-03   3.79421596e-02
    20       4   1.71987924e-03   1.67331418e-03
    20       5   9.27693012e-05   1.00946543e-03
    20       6   1.85576711e-05   4.97072698e-05
    21       1   3.57642690e-01   3.53666172e-01
    21       2   4.11571501e-02   4.17763279e-01
    21       3   4.40279435e-03   2.80802218e-02
    21       4   6.71021366e-04   2.21727893e-03
    21       5   6.47411089e-05   3.74200200e-04
    21       6   2.56675674e-06   3.89445645e-05
