  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       8       8       1       7       0       0
     2      15       7       1      12       1       0
     3      21       6       1      14       3       0
     4      28       7       1      14       6       0
     5      34       6       1      13       6       0
     6      41       7       1      15       4       0
     7      48       7       1      18       3       0
     8      55       7       1      17       7       0
     9      62       7       1      19       4       0
    10      69       7       1      19       6       0
    11      76       7       1      19       6       0
    12      82       6       1      18       6       0
    13      88       6       1      18       5       0
    14      94       6       1      19       4       0
    15     101       7       1      22       3       0
    16     108       7       1      21       7       0
    17     115       7       1      19       8       0
    18     122       7       1      19       6       0
    19     128       6       1      19       5       0
    20     134       6       1      19       5       0
    21     140       6       1      18       6       0
    22     146       6       1      19       4       0
    23     152       6       1      19       5       0
    24     161       9       1      19       8       0
    25     167       6       1      19       5       0
    26     173       6       1      20       4       0
    27     179       6       1      19       6       0
    28     185       6       1      19       5       0
    29     191       6       1      20       4       0
    30     198       7       1      20       6       0
    31     203       5       1      19       5       0
    32     209       6       1      21       3       0
    33     215       6       1      21       5       0
    34     220       5       1      20       5       0
    35     225       5       1      20       4       0
    36     230       5       1      21       3       0
    37     235       5       1      19       6       0
    38     241       6       1      19       5       0
    39     247       6       1      20       4       0
    40     252       5       1      19       5       0
    41     257       5       1      19       4       0
    42     263       6       1      18       6       0
    43     268       5       1      18       4       0
    44     274       6       1      20       3       0
    45     279       5       1      19       5       0
    46     285       6       1      19       5       0
    47     291       6       1      19       5       0
    48     296       5       1      20       3       0
    49     301       5       1      20       4       0
    50     306       5       1      21       3       0
    51     311       5       1      20       5       0
    52     316       5       1      20       4       0
    53     322       6       1      20       5       0
    54     328       6       1      20       5       0
    55     334       6       1      21       4       0
    56     339       5       1      19       4       2
    57     343       4       1      19       3       0
    58     347       4       1      20       2       0
    59     352       5       1      21       3       0
    60     356       4       1      19       4       1
    61     361       5       1      20       2       1
    62     365       4       1      18       5       0
    63     371       6       1      18       5       0
    64     375       4       1      17       4       0
    65     379       4       1      18       2       0
    66     383       4       1      18       3       0
    67     388       5       1      18       4       0
    68     392       4       1      17       4       0
    69     397       5       1      17       4       0
    70     401       4       1      17       3       0
    71     404       3       1      17       2       0
    72     409       5       1      18       3       0
    73     414       5       1      16       6       0
    74     418       4       1      17       2       0
    75     422       4       1      16       4       0
    76     425       3       1      16       2       0
    77     428       3       1      17       1       0
    78     432       4       1      18       2       0
    79     436       4       1      18       2       1
    80     440       4       1      18       2       1
    81     446       6       1      18       5       0
    82     449       3       1      17       3       0
    83     452       3       1      16       3       0
    84     455       3       1      15       3       0
    85     459       4       1      16       2       0
    86     464       5       1      16       4       0
    87     468       4       1      17       2       0
    88     474       6       1      17       5       0
    89     478       4       1      16       4       0
    90     482       4       1      17       2       0
    91     486       4       1      18       2       0
    92     489       3       1      18       2       0
    93     492       3       1      17       2       1
    94     496       4       1      17       3       0
    95     500       4       1      17       3       0
    96     503       3       1      17       2       0
    97     506       3       1      16       3       0
    98     512       6       1      16       5       0
    99     516       4       1      16       3       0
   100     520       4       1      16       3       0
   101     524       4       1      16       3       0
   102     528       4       1      16       3       0
   103     531       3       1      16       2       0
   104     534       3       1      16       2       0
   105     537       3       1      16       2       0
   106     540       3       1      16       2       0
   107     543       3       1      16       2       0
   108     546       3       1      16       2       0
   109     551       5       1      16       4       0
   110     555       4       1      15       4       0
   111     559       4       1      16       2       0
   112     563       4       1      16       3       0
   113     566       3       1      16       2       0
   114     571       5       1      17       3       0
   115     575       4       1      15       5       0
   116     579       4       1      15       3       0
   117     583       4       1      15       3       0
   118     586       3       1      16       1       0
   119     592       6       1      16       5       0
   120     599       7       1      16       6       0
   121     604       5       1      17       3       0
   122     610       6       1      16       6       0
   123     613       3       1      16       2       0
   124     616       3       1      16       2       0
   125     622       6       1      17       4       0
   126     627       5       1      16       5       0
   127     631       4       1      16       3       0
   128     635       4       1      14       5       0
   129     639       4       1      14       3       0
   130     643       4       1      14       3       0
   131     648       5       1      14       4       0
   132     652       4       1      16       1       0
   133     658       6       1      16       5       0
   134     662       4       1      15       4       0
   135     666       4       1      16       2       0
   136     671       5       1      17       3       0
   137     675       4       1      16       4       0
   138     680       5       1      16       4       0
   139     684       4       1      16       3       0
   140     688       4       1      16       3       0
   141     692       4       1      17       2       0
   142     696       4       1      17       3       0
   143     700       4       1      17       3       0
   144     704       4       1      17       3       0
   145     708       4       1      18       2       0
   146     712       4       1      17       3       1
   147     716       4       1      17       3       0
   148     719       3       1      18       1       0
   149     724       5       1      17       5       0
   150     728       4       1      16       4       0
   151     732       4       1      14       5       0
   152     735       3       1      15       1       0
   153     739       4       1      17       1       0
   154     744       5       1      15       6       0
   155     748       4       1      15       3       0
   156     751       3       1      14       3       0
   157     757       6       1      16       3       0
   158     761       4       1      15       4       0
   159     766       5       1      15       4       0
   160     771       5       1      15       4       0
   161     775       4       1      15       3       0
   162     778       3       1      14       3       0
   163     783       5       1      15       3       0
   164     786       3       1      15       2       0
   165     791       5       1      15       4       0
   166     795       4       1      15       3       0
   167     798       3       1      15       2       0
   168     803       5       1      14       5       0
   169     807       4       1      15       2       0
   170     812       5       1      15       4       0
   171     817       5       1      15       4       0
   172     820       3       1      15       2       0
   173     824       4       1      15       3       0
   174     828       4       1      15       3       0
   175     833       5       1      15       4       0
   176     837       4       1      15       3       0
   177     841       4       1      15       3       0
   178     845       4       1      15       3       0
   179     849       4       1      15       3       0
   180     852       3       1      14       3       0
   181     856       4       1      15       2       0
   182     861       5       1      14       5       0
   183     864       3       1      14       2       0
   184     867       3       1      14       2       0
   185     870       3       1      15       1       0
   186     874       4       1      15       3       0
   187     878       4       1      15       3       0
   188     882       4       1      16       2       0
   189     885       3       1      15       3       0
   190     889       4       1      14       4       0
   191     892       3       1      15       1       0
   192     898       6       1      15       5       0
   193     903       5       1      16       3       0
   194     907       4       1      16       3       0
   195     911       4       1      15       4       0
   196     914       3       1      15       2       0
   197     918       4       1      15       3       0
   198     922       4       1      16       2       0
   199     926       4       1      15       4       0
   200     930       4       1      15       3       0
   201     937       7       1      16       5       0
   202     940       3       1      16       2       0
   203     943       3       1      16       2       0
   204     946       3       1      14       4       0
   205     949       3       1      15       1       0
   206     954       5       1      16       3       0
   207     958       4       1      16       3       0
   208     962       4       1      16       3       0
   209     965       3       1      17       1       0
   210     969       4       1      17       3       0
   211     973       4       1      17       3       0
   212     977       4       1      17       3       0
   213     981       4       1      17       3       0
   214     985       4       1      16       4       0
   215     989       4       1      16       3       0
   216     993       4       1      16       3       0
   217     997       4       1      15       4       0
   218    1001       4       1      15       3       0
   219    1006       5       1      16       3       0
   220    1010       4       1      16       3       0
   221    1014       4       1      16       3       0
   222    1019       5       1      18       2       0
   223    1022       3       1      17       3       0
   224    1025       3       1      16       3       0
   225    1029       4       1      17       2       0
   226    1033       4       1      17       3       0
   227    1037       4       1      17       3       0
   228    1041       4       1      16       4       0
   229    1044       3       1      16       2       0
   230    1047       3       1      16       2       0
   231    1050       3       1      15       3       0
   232    1053       3       1      15       2       0
   233    1056       3       1      15       2       0
   234    1059       3       1      15       2       0
   235    1062       3       1      14       3       0
   236    1067       5       1      16       2       0
   237    1070       3       1      16       2       0
   238    1074       4       1      16       3       0
   239    1078       4       1      17       2       0
   240    1082       4       1      14       6       0
   241    1085       3       1      14       2       0
   242    1089       4       1      15       2       0
   243    1092       3       1      15       2       0
   244    1095       3       1      14       3       0
   245    1100       5       1      15       3       0
   246    1103       3       1      16       1       0
   247    1107       4       1      16       3       0
   248    1110       3       1      16       2       0
   249    1113       3       1      15       3       0
   250    1117       4       1      16       2       0
   251    1121       4       1      16       3       0
   252    1124       3       1      18       0       0
   253    1127       3       1      18       1       1
   254    1130       3       1      17       3       0
   255    1133       3       1      15       4       0
   256    1137       4       1      16       2       0
   257    1141       4       1      17       2       0
   258    1146       5       1      16       5       0
   259    1149       3       1      15       3       0
   260    1154       5       1      16       3       0
   261    1157       3       1      15       3       0
   262    1161       4       1      17       1       0
   263    1164       3       1      16       3       0
   264    1167       3       1      15       3       0
   265    1171       4       1      16       2       0
   266    1176       5       1      15       5       0
   267    1181       5       1      15       4       0
   268    1184       3       1      15       2       0
   269    1190       6       1      17       3       0
   270    1194       4       1      17       3       0
   271    1197       3       1      18       1       0
   272    1201       4       1      17       4       0
   273    1205       4       1      18       2       0
   274    1209       4       1      18       3       0
   275    1213       4       1      19       2       0
   276    1216       3       1      17       4       0
   277    1220       4       1      17       3       0
   278    1228       8       1      18       6       0
   279    1232       4       1      18       3       0
   280    1236       4       1      18       3       0
   281    1240       4       1      16       5       0
   282    1244       4       1      15       4       0
   283    1248       4       1      18       0       0
   284    1251       3       1      17       3       0
   285    1254       3       1      17       2       0
   286    1257       3       1      16       3       0
   287    1260       3       1      16       2       0
   288    1265       5       1      16       4       0
   289    1268       3       1      17       1       0
   290    1272       4       1      17       3       0
   291    1276       4       1      15       5       0
   292    1279       3       1      16       1       0
   293    1282       3       1      15       3       0
   294    1287       5       1      17       2       0
   295    1290       3       1      16       3       0
   296    1293       3       1      16       2       0
   297    1297       4       1      16       3       0
   298    1300       3       1      16       2       0
   299    1304       4       1      16       3       0
   300    1307       3       1      17       1       0
   301    1310       3       1      17       2       0
   302    1314       4       1      17       3       0
   303    1317       3       1      18       1       0
   304    1321       4       1      18       3       0
   305    1325       4       1      19       2       0
   306    1329       4       1      17       5       0
   307    1333       4       1      18       2       0
   308    1336       3       1      18       2       0
   309    1339       3       1      17       2       1
   310    1343       4       1      17       3       0
   311    1346       3       1      17       2       0
   312    1349       3       1      17       2       0
   313    1352       3       1      17       2       0
   314    1355       3       1      17       2       0
   315    1358       3       1      17       2       0
   316    1361       3       1      17       2       0
   317    1368       7       1      18       5       0
   318    1372       4       1      17       4       0
   319    1376       4       1      17       3       0
   320    1380       4       1      17       3       0
   321    1385       5       1      17       4       0
   322    1388       3       1      17       2       0
   323    1391       3       1      17       2       0
   324    1394       3       1      17       2       0
   325    1398       4       1      18       2       0
   326    1401       3       1      17       3       0
   327    1404       3       1      18       1       0
   328    1409       5       1      18       4       0
   329    1412       3       1      17       3       0
   330    1415       3       1      18       1       0
   331    1418       3       1      17       3       0
   332    1421       3       1      16       3       0
   333    1428       7       1      17       5       0
   334    1432       4       1      17       3       0
   335    1435       3       1      17       2       0
   336    1438       3       1      17       2       0
   337    1441       3       1      17       2       0
   338    1444       3       1      18       1       0
   339    1447       3       1      18       1       1
   340    1450       3       1      18       2       0
   341    1453       3       1      18       2       0
   342    1456       3       1      17       3       0
   343    1459       3       1      17       2       0
   344    1463       4       1      17       2       1
   345    1466       3       1      16       3       0
   346    1469       3       1      16       2       0
   347    1472       3       1      16       2       0
   348    1475       3       1      16       2       0
   349    1478       3       1      16       2       0
   350    1481       3       1      16       2       0
   351    1485       4       1      16       3       0
   352    1488       3       1      16       2       0
   353    1492       4       1      16       3       0
   354    1496       4       1      16       3       0
   355    1508      12       1      18       9       0
   356    1511       3       1      18       2       0
   357    1515       4       1      17       4       0
   358    1519       4       1      17       3       0
   359    1522       3       1      17       2       0
   360    1526       4       1      16       4       0
   361    1530       4       1      17       2       0
   362    1533       3       1      17       2       0
   363    1536       3       1      17       2       0
   364    1539       3       1      17       2       0
   365    1542       3       1      17       2       0
   366    1545       3       1      17       2       0
   367    1549       4       1      17       3       0
   368    1552       3       1      17       2       0
   369    1556       4       1      16       4       0
   370    1559       3       1      17       1       0
   371    1564       5       1      18       3       0
   372    1567       3       1      17       3       0
   373    1572       5       1      17       4       0
   374    1576       4       1      17       3       0
   375    1579       3       1      16       3       0
   376    1583       4       1      15       4       0
   377    1588       5       1      16       3       0
   378    1592       4       1      18       1       0
   379    1595       3       1      17       3       0
   380    1600       5       1      18       3       0
   381    1604       4       1      18       3       0
   382    1609       5       1      17       5       0
   383    1613       4       1      17       3       0
   384    1617       4       1      15       5       0
   385    1622       5       1      17       2       0
   386    1626       4       1      18       2       0
   387    1629       3       1      18       2       0
   388    1632       3       1      17       3       0
   389    1638       6       1      17       5       0
   390    1641       3       1      17       2       0
   391    1644       3       1      17       2       0
   392    1647       3       1      17       2       0
   393    1650       3       1      17       2       0
   394    1655       5       1      17       4       0
   395    1658       3       1      18       1       0
   396    1661       3       1      17       2       1
   397    1664       3       1      17       2       0
   398    1667       3       1      17       2       0
   399    1670       3       1      17       2       0
   400    1673       3       1      18       1       0
   401    1676       3       1      17       3       0
   402    1679       3       1      17       2       0
   403    1684       5       1      18       3       0
   404    1687       3       1      17       3       0
   405    1690       3       1      17       2       0
   406    1693       3       1      18       1       0
   407    1696       3       1      17       3       0
   408    1700       4       1      18       2       0
   409    1703       3       1      17       3       0
   410    1706       3       1      17       2       0
   411    1709       3       1      18       1       0
   412    1711       2       1      17       1       1
   413    1713       2       1      17       1       0
   414    1716       3       1      16       2       1
   415    1718       2       1      16       1       0
   416    1720       2       1      16       1       0
   417    1723       3       1      16       2       0
   418    1725       2       1      16       1       0
   419    1728       3       1      17       1       0
   420    1730       2       1      17       1       0
   421    1732       2       1      16       1       1
   422    1735       3       1      16       2       0
   423    1737       2       1      16       0       1
   424    1740       3       1      16       2       0
   425    1742       2       1      15       2       0
   426    1744       2       1      15       1       0
   427    1746       2       1      16       0       0
   428    1748       2       1      16       0       1
   429    1751       3       1      16       2       0
   430    1754       3       1      16       2       0
   431    1757       3       1      16       2       0
   432    1760       3       1      14       4       0
   433    1763       3       1      14       2       0
   434    1766       3       1      14       2       0
   435    1768       2       1      15       0       0
   436    1771       3       1      16       1       0
   437    1773       2       1      16       1       0
   438    1775       2       1      15       2       0
   439    1777       2       1      16       0       0
   440    1779       2       1      15       1       1
   441    1781       2       1      15       0       1
   442    1783       2       1      14       2       0
   443    1785       2       1      15       0       0
   444    1787       2       1      14       2       0
   445    1789       2       1      14       1       0
   446    1791       2       1      13       2       0
   447    1793       2       1      13       1       0
   448    1795       2       1      14       0       0
   449    1797       2       1      15       0       0
   450    1799       2       1      15       0       1
   451    1801       2       1      15       1       0
   452    1803       2       1      14       2       0
   453    1805       2       1      14       1       0
   454    1807       2       1      14       1       0
   455    1808       1       1      14       1       0
   456    1811       3       1      15       1       0
   457    1813       2       1      16       0       0
   458    1814       1       1      16       0       0
   459    1815       1       1      16       0       0
   460    1818       3       1      14       4       0
   461    1819       1       1      14       4       0
   462    1822       3       1      14       2       0
   463    1824       2       1      14       1       0
   464    1826       2       1      14       1       0
   465    1827       1       1      14       1       0
   466    1828       1       1      14       1       0
   467    1831       3       1      14       2       0
   468    1832       1       1      14       2       0
   469    1833       1       1      14       2       0
   470    1836       3       1      16       0       0
   471    1837       1       1      16       0       0
   472    1838       1       1      16       0       0
   473    1841       3       1      17       1       0
   474    1842       1       1      17       1       0
   475    1843       1       1      17       1       0
   476    1846       3       1      18       1       0
   477    1847       1       1      18       1       0
   478    1848       1       1      18       1       0
   479    1851       3       1      17       3       0
   480    1852       1       1      17       3       0
   481    1853       1       1      17       3       0
   482    1856       3       1      17       2       0
   483    1857       1       1      17       2       0
   484    1858       1       1      17       2       0
   485    1861       3       1      17       1       1
   486    1862       1       1      17       1       1
   487    1865       3       1      17       1       1
   488    1866       1       1      17       1       1
   489    1867       1       1      17       1       1
   490    1869       2       1      16       2       0
   491    1871       2       1      16       1       0
   492    1872       1       1      16       1       0
   493    1875       3       1      16       1       1
   494    1876       1       1      16       1       1
   495    1878       2       1      16       0       1
   496    1879       1       1      16       0       1
   497    1880       1       1      16       0       1
   498    1883       3       1      16       2       0
   499    1884       1       1      16       2       0
   500    1887       3       1      15       3       0
