# Time dispX dispY dispZ forceX forceY forceZ
1 0 0 -0.0001 -7.34238e-08 0.000149649 -0.252871
2 0 0 -0.0002 1.92545e-09 0.000149245 -0.507472
3 0 0 -0.0003 -9.43007e-08 0.000148858 -0.76391
4 0 0 -0.0004 -2.42614e-08 0.000148545 -1.0222
5 0 0 -0.0005 -1.65063e-08 0.000148192 -1.28238
6 0 0 -0.0006 -1.99661e-08 0.000147843 -1.54445
7 0 0 -0.0007 -1.72916e-08 0.000147498 -1.80845
8 0 0 -0.0008 -2.48976e-08 0.000147151 -2.0744
9 0 0 -0.0009 -2.11036e-08 0.000146804 -2.34232
10 0 0 -0.001 -1.75437e-08 0.000146458 -2.61224
11 0 0 -0.0011 -1.67063e-07 0.000145046 -2.88418
12 0 0 -0.0012 -2.84526e-07 0.000143084 -3.15816
13 0 0 -0.0013 1.74989e-09 0.000145452 -3.43422
14 0 0 -0.0014 5.81135e-08 0.00014533 -3.71238
15 0 0 -0.0015 8.75041e-08 0.000144221 -3.99266
16 0 0 -0.0016 -1.90911e-08 0.000144453 -4.2751
17 0 0 -0.0017 -1.36834e-08 0.000142309 -4.55972
18 0 0 -0.0018 2.50951e-09 0.000143878 -4.84655
19 0 0 -0.0019 -3.09119e-08 0.000143582 -5.13561
20 0 0 -0.002 -1.28559e-08 0.000143351 -5.42695
21 0 0 -0.0021 -7.32083e-09 0.000143186 -5.72058
22 0 0 -0.0022 -6.07176e-09 0.00014313 -6.01653
23 0 0 -0.0023 -6.89986e-09 0.000143263 -6.31485
24 0 0 -0.0024 -5.935e-09 0.000143785 -6.61556
25 0 0 -0.0025 -1.09534e-08 0.000145213 -6.91869
26 0 0 -0.0026 -4.29588e-08 0.000149361 -7.22427
27 0 0 -0.0027 -3.58178e-08 0.000166616 -7.53234
28 0 0 -0.0028 -9.48715e-08 0.000780374 -7.84158
29 0 0 -0.0029 -1.7868e-06 0.0100178 -7.85491
30 0 0 -0.003 -7.03375e-07 0.0047098 -7.8358
31 0 0 -0.0031 -3.96249e-07 0.00358649 -7.81547
32 0 0 -0.0032 -7.35416e-08 0.0030469 -7.79856
33 0 0 -0.0033 1.79371e-07 0.00272914 -7.78348
34 0 0 -0.0034 3.47038e-07 0.00251288 -7.76948
35 0 0 -0.0035 4.07522e-07 0.00235303 -7.75621
36 0 0 -0.0036 4.00985e-07 0.00222855 -7.74348
37 0 0 -0.0037 9.49034e-07 0.00212813 -7.73118
38 0 0 -0.0038 8.47044e-10 0.00204463 -7.71921
39 0 0 -0.0039 -0.000435076 -0.593614 -7.82316
