  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   8.99231865e-01   8.99999492e-01
     1       3   7.56197012e-02   2.15405979e-03
     1       4   1.56018457e-02   7.33629760e-04
     1       5   2.19874367e-03   7.83752782e-05
     1       6   2.87988040e-03   2.55107351e-05
     1       7   2.43813628e-03   2.72585963e-05
     1       8   1.36074952e-03   6.84188711e-06
     1       9   8.75481840e-04   2.07336754e-06
     1      10   3.66869849e-04   8.95577362e-07
     1      11   4.39648851e-04   9.17917388e-07
     1      12   2.70558875e-04   8.00716036e-07
     1      13   1.35538241e-04   7.75052950e-07
     1      14   6.97958625e-05   2.06871740e-07
