  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.00070896e-01   8.99999376e-01
     1       3   1.80495406e-02   2.20793622e-03
     1       4   2.66679647e-03   7.22625607e-05
     1       5   3.66964247e-03   3.58046301e-05
     1       6   2.63117625e-03   1.25302856e-05
     1       7   9.79620387e-04   3.76299914e-06
     1       8   1.11365286e-03   2.29175185e-06
     1       9   6.63270376e-04   1.61980542e-06
     1      10   1.49716714e-04   5.36515343e-07
     1      11   2.46515031e-04   6.16939013e-07
     1      12   2.53448042e-04   6.34957419e-07
     1      13   2.48838257e-04   6.45494398e-07
     1      14   1.63800588e-04   7.13328946e-08
     1      15   1.44038096e-04   3.25918541e-08
     1      16   1.29790898e-04   9.05155507e-09
     1      17   1.13460570e-04   2.46846107e-09
     1      18   1.03381639e-04   2.26387200e-09
     1      19   8.59230332e-05   1.51026736e-09
