  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   8.99501481e-01   8.99999478e-01
     1       3   8.30560243e-02   5.26911286e-03
     1       4   9.14230027e-03   1.00690508e-03
     1       5   6.50236242e-03   1.01381237e-04
     1       6   1.51200318e-02   3.68688456e-05
     1       7   1.59132982e-02   4.51230443e-05
     1       8   1.53055250e-02   5.67125099e-05
     1       9   5.87361412e-03   4.32140755e-05
     1      10   5.72825429e-03   3.21259717e-06
     1      11   6.41279954e-03   2.42108723e-06
     1      12   6.20930365e-03   3.17577317e-06
     1      13   7.01478440e-03   3.43183564e-06
     1      14   7.48379204e-03   3.59079401e-06
     1      15   6.66869068e-03   2.73115744e-06
     1      16   6.15195791e-03   2.34978410e-06
     1      17   6.57288531e-03   2.11639081e-06
     1      18   6.27328092e-03   2.33023543e-06
     1      19   7.45397751e-03   2.53529752e-06
     1      20   9.45024928e-03   2.30416766e-06
     1      21   1.30496331e-02   1.88489958e-06
     1      22   1.28917407e-02   9.33248468e-07
     1      23   1.17020237e-02   9.01665632e-07
     1      24   9.94346138e-03   6.27480977e-07
     1      25   1.00176726e-02   4.30692841e-07
     1      26   1.01700028e-02   3.38182151e-07
     1      27   7.62593012e-03   5.10439314e-07
     1      28   5.58636941e-03   4.14963395e-07
     1      29   5.50751845e-03   3.63697346e-07
     1      30   5.54570425e-03   2.54237444e-07
     1      31   4.41427339e-03   2.56173828e-07
     1      32   2.57608619e-03   2.36579777e-07
     1      33   2.14708846e-03   2.11915236e-07
     1      34   1.23023339e-03   1.92339920e-07
     1      35   5.64379759e-04   8.78871485e-08
     1      36   9.55197099e-04   6.07869419e-08
     1      37   1.08109638e-03   6.74771518e-08
     1      38   6.96340923e-04   6.80694299e-08
     1      39   1.10139487e-03   7.27257345e-08
     1      40   6.65699002e-04   6.70208672e-08
     1      41   1.03696193e-03   7.10859417e-08
     1      42   4.82789960e-04   3.55474784e-08
     1      43   7.99352618e-04   4.16817872e-08
     1      44   5.84387590e-04   5.58496879e-08
     1      45   8.46914588e-04   4.90327215e-08
     1      46   5.80800957e-04   4.63447524e-08
     1      47   6.33539564e-04   2.20321918e-08
     1      48   5.03744387e-04   1.82356085e-08
     1      49   5.27453369e-04   1.32899936e-08
     1      50   4.90533848e-04   1.86238432e-08
     1      51   5.64988394e-04   3.44250373e-08
     1      52   4.89002665e-04   1.87240672e-08
     1      53   5.07951279e-04   7.62519678e-09
     1      54   3.49283560e-04   8.18539419e-09
     1      55   4.69082089e-04   7.47906025e-09
     1      56   3.74018795e-04   1.07043774e-08
     1      57   5.01447951e-04   1.16612210e-08
     1      58   3.56327858e-04   1.19892725e-08
     1      59   5.11155652e-04   1.18168746e-08
     1      60   3.07292638e-04   1.06931170e-08
     1      61   5.13380483e-04   7.27011974e-09
     1      62   2.93678534e-04   6.85350737e-09
     1      63   5.48320048e-04   6.40832393e-09
     1      64   3.02900299e-04   3.55445412e-09
     1      65   4.95520704e-04   3.44000560e-09
     1      66   3.56254471e-04   3.06029673e-09
     1      67   4.67531196e-04   1.05949025e-09
     1      68   3.61693578e-04   2.52459804e-10
     1      69   4.63092867e-04   2.78427270e-10
     1      70   3.63062433e-04   1.31767068e-10
     1      71   4.61592478e-04   8.96711807e-11
     1      72   3.63018178e-04   3.65482488e-11
     1      73   4.61470970e-04   2.41559511e-11
     1      74   3.63327280e-04   2.25028467e-11
     1      75   4.61150948e-04   2.07178116e-11
     1      76   3.63558841e-04   1.76015823e-11
     1      77   4.61032487e-04   1.29117581e-11
     1      78   3.63630700e-04   1.00596701e-11
     1      79   4.60986629e-04   7.51819251e-12
     1      80   3.63662388e-04   5.99834952e-12
     1      81   4.60957772e-04   4.35196597e-12
     1      82   3.63693482e-04   3.50213911e-12
     1      83   4.60928967e-04   2.80743941e-12
     1      84   3.63717767e-04   2.46214934e-12
     1      85   4.60910155e-04   2.03477461e-12
     1      86   3.63732801e-04   1.75928362e-12
     1      87   4.60898818e-04   1.41848761e-12
     1      88   3.63742190e-04   1.30835406e-12
     1      89   4.60891620e-04   1.19746261e-12
     1      90   3.63748086e-04   1.12283830e-12
     1      91   4.60887102e-04   1.08304459e-12
     1      92   3.63751621e-04   9.57302918e-13
     1      93   4.60884568e-04   9.63247825e-13
     1      94   3.63753751e-04   1.02397549e-12
     1      95   4.60882835e-04   9.06139960e-13
     1      96   3.63754909e-04   9.80096196e-13
     1      97   4.60882265e-04   9.53262566e-13
     1      98   3.63755557e-04   1.01138381e-12
     1      99   4.60881389e-04   9.69086173e-13
     1     100   3.63756066e-04   9.65242013e-13
