# Time dispX dispY dispZ forceX forceY forceZ
1 0 0 0 3.9382577e-06 -2.927438e-06 0.038853219
2 0 0 0 9.018594e-06 -9.786098e-08 0.04363335
3 0 0 0 8.7972426e-06 -2.6461349e-07 0.048382012
4 0 0 0 8.8013219e-06 -3.425555e-07 0.053130243
5 0 0 0 8.8203209e-06 -3.6421137e-07 0.057878378
6 0 0 0 8.8129047e-06 -3.9293482e-07 0.06262666
7 0 0 0 8.8726603e-06 -4.6138265e-07 0.067374879
8 0 0 0 8.8722157e-06 -4.6320225e-07 0.072123048
9 0 0 0 8.8776435e-06 -4.8631085e-07 0.076871308
10 0 0 0 8.9384333e-06 -5.5703709e-07 0.081619447
