  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   1.08750557e+00   1.42438497e+00
     1       3   2.97244086e-01   1.35900002e+00
     1       4   6.37057937e-03   2.13783688e-01
     1       5   5.94399822e-04   4.14336181e-02
     1       6   3.82860937e-05   1.36142409e-03
     1       7   6.82180329e-06   1.58099407e-05
     2       1   9.51512398e-01   8.47174623e-01
     2       2   9.67582863e-04   1.53713256e+00
     2       3   1.51453955e-04   4.79976299e-04
     2       4   1.84662495e-06   5.46299261e-05
     3       1   9.33106314e-01   8.66284527e-01
     3       2   1.01432246e-04   2.05962135e+00
     3       3   2.17764377e-05   8.95822540e-05
     4       1   9.06277912e-01   8.71982672e-01
     4       2   1.93855079e-04   2.55137073e+00
     4       3   1.92065058e-05   2.07099195e-04
     4       4   3.98677937e-07   2.34375092e-05
     5       1   8.75154807e-01   8.50744402e-01
     5       2   1.03602966e-04   2.70888879e+00
     5       3   2.37017284e-06   1.88444213e-04
     5       4   2.62286494e-08   1.40536808e-06
     6       1   8.39742547e-01   8.18453360e-01
     6       2   9.66528420e-05   2.55027385e+00
     6       3   7.36280383e-07   1.92146447e-04
     6       4   2.72993842e-08   1.21485155e-06
     7       1   7.98815887e-01   7.78785854e-01
     7       2   8.28714731e-05   2.24681180e+00
     7       3   2.20409603e-07   1.71340181e-04
     7       4   2.75462024e-09   4.50180531e-07
     8       1   7.50176206e-01   7.30538513e-01
     8       2   6.40264600e-05   1.89331895e+00
     8       3   2.73061567e-07   1.34518081e-04
     8       4   2.32616715e-09   2.09136229e-07
     9       1   6.90241303e-01   6.70178938e-01
     9       2   4.41980800e-05   1.52337718e+00
     9       3   9.79747974e-08   9.26832025e-05
    10       1   6.12983630e-01   5.91599921e-01
    10       2   2.77424408e-05   1.15132914e+00
    10       3   7.37869411e-08   5.72093162e-05
    11       1   5.07519310e-01   4.84252046e-01
    11       2   1.68753964e-05   7.85412037e-01
    11       3   8.37468670e-08   3.30261539e-05
    12       1   3.52254820e-01   3.28693881e-01
    12       2   1.05177339e-05   4.30365869e-01
    12       3   2.44516215e-07   1.42254248e-05
    13       1   9.83375837e-02   8.73955402e-02
    13       2   8.70352971e-05   8.90089952e-02
    13       3   3.32904236e-06   6.90431678e-05
    14       1   3.86089375e-01   3.07737933e-01
    14       2   3.65036168e-04   2.35116946e-01
    14       3   6.05241811e-07   2.89502001e-04
    14       4   8.44050018e-09   3.09276367e-07
    15       1   1.59509949e+00   9.34225757e-01
    15       2   5.31340285e-04   5.43353084e-01
    15       3   2.37947162e-06   4.04530540e-04
    15       4   4.24199736e-08   1.61088831e-06
    16       1   3.98874739e+00   1.57228073e+00
    16       2   1.36778504e-04   8.31818750e-01
    16       3   1.60881550e-06   1.04183287e-04
    16       4   9.14751300e-10   1.13221756e-06
    17       1   3.10189691e+00   1.76714718e+00
    17       2   2.85531904e-05   1.09062315e+00
    17       3   5.47622391e-07   5.43474391e-05
    18       1   2.34632104e+00   1.69357404e+00
    18       2   4.44385542e-05   1.30810857e+00
    18       3   2.86734729e-07   6.68709465e-05
    19       1   1.99882654e+00   1.58232229e+00
    19       2   3.47245541e-05   1.46875954e+00
    19       3   5.70061618e-07   7.48141032e-05
    20       1   1.81891359e+00   1.48610609e+00
    20       2   7.00734250e-05   1.55470795e+00
    20       3   2.70384459e-07   9.37306842e-05
    21       1   1.72579223e+00   1.40491235e+00
    21       2   5.32200555e-05   1.54922111e+00
    21       3   5.58371415e-07   8.43681765e-05
    22       1   1.69387796e+00   1.32647043e+00
    22       2   5.19478555e-05   1.44198042e+00
    22       3   2.03155295e-06   6.78042933e-05
    23       1   1.72382360e+00   1.22619711e+00
    23       2   3.70710311e-05   1.23427236e+00
    23       3   8.15618606e-08   4.97896836e-05
    24       1   1.82707950e+00   1.05082757e+00
    24       2   2.10012076e-05   9.41274613e-01
    24       3   3.41438971e-07   2.88163866e-05
    25       1   1.74829096e+00   7.16359793e-01
    25       2   1.06533818e-05   5.89608555e-01
    25       3   6.84826312e-07   1.27903679e-05
    26       1   5.19926803e-01   2.46162177e-01
    26       2   1.79742742e-04   2.12755860e-01
    26       3   4.20336304e-07   9.59506736e-05
    27       1   2.23622982e-01   1.49517907e-01
    27       2   5.43838542e-04   1.52977958e-01
    27       3   1.40152788e-06   2.98479087e-04
    27       4   6.53240151e-08   7.78447804e-07
    28       1   4.88339152e-01   3.86704271e-01
    28       2   1.16655059e-03   4.81026245e-01
    28       3   8.52088605e-06   5.99210976e-04
    28       4   2.19769020e-07   4.09985252e-06
    29       1   5.97307600e-01   5.13164554e-01
    29       2   5.93427820e-04   7.48358160e-01
    29       3   2.07500379e-05   3.28142525e-04
    29       4   1.07191391e-07   1.09094834e-05
    30       1   6.42767978e-01   5.75715640e-01
    30       2   2.48696405e-04   9.39978812e-01
    30       3   7.69832662e-06   1.40820541e-04
    30       4   1.01972238e-08   4.19146457e-06
    31       1   6.56450758e-01   6.01067110e-01
    31       2   2.29066097e-05   1.04965123e+00
    31       3   4.67057898e-07   3.40673530e-05
    32       1   6.50781288e-01   6.02888576e-01
    32       2   1.77886283e-05   1.08166112e+00
    32       3   4.85390604e-07   3.58634294e-05
    33       1   6.30919820e-01   5.87650021e-01
    33       2   2.82102183e-05   1.04704916e+00
    33       3   1.65349650e-07   3.80885261e-05
    34       1   5.98600889e-01   5.57972748e-01
    34       2   1.77940204e-05   9.59556977e-01
    34       3   1.36180862e-07   3.32528805e-05
    35       1   5.53463205e-01   5.14137140e-01
    35       2   1.31457684e-05   8.32880954e-01
    35       3   2.42980733e-07   2.62637649e-05
    36       1   4.93389658e-01   4.54656702e-01
    36       2   9.78115223e-06   6.79398008e-01
    36       3   6.45206696e-08   1.89071981e-05
    37       1   4.14258877e-01   3.76400779e-01
    37       2   6.11234248e-06   5.09363673e-01
    37       3   3.93323738e-08   1.22779118e-05
    38       1   3.09124794e-01   2.74532953e-01
    38       2   3.55031079e-06   3.31102236e-01
    38       3   2.31330962e-07   5.48894460e-06
    39       1   1.66840615e-01   1.42853718e-01
    39       2   1.78511439e-06   1.51665268e-01
    39       3   8.33406388e-07   1.69444868e-06
    40       1   2.98197442e-02   2.42782393e-02
    40       2   5.88624476e-05   2.23677224e-02
    40       3   2.65516658e-07   4.20567859e-05
    41       1   3.07857311e-01   2.28092878e-01
    41       2   8.90263453e-04   1.86156056e-01
    41       3   1.23277539e-05   5.99146523e-04
    41       4   1.03101511e-07   8.72550826e-06
    42       1   7.11807726e-01   4.60860686e-01
    42       2   7.07247236e-04   3.35473948e-01
    42       3   9.01519936e-08   4.80477188e-04
    42       4   1.54977283e-08   1.89473679e-07
    43       1   1.27137297e+00   6.91687844e-01
    43       2   2.76972994e-04   4.64157424e-01
    43       3   1.04046772e-07   1.86111299e-04
    43       4   1.39436193e-08   1.71934131e-07
    44       1   1.91957254e+00   8.77370293e-01
    44       2   6.64713524e-05   5.67546811e-01
    44       3   9.91336307e-07   4.69591414e-05
    45       1   2.41505720e+00   9.89370444e-01
    45       2   8.78878295e-06   6.39819435e-01
    45       3   6.19660971e-07   1.49737755e-05
    46       1   2.59108748e+00   1.02540021e+00
    46       2   1.75961808e-05   6.76617946e-01
    46       3   2.23952235e-07   1.85194914e-05
    47       1   2.52784535e+00   9.96582382e-01
    47       2   1.47104730e-05   6.75128836e-01
    47       3   1.01925970e-07   1.71018810e-05
    48       1   2.30481816e+00   9.12495884e-01
    48       2   7.20527156e-06   6.34701283e-01
    48       3   8.06277177e-08   1.36334319e-05
    49       1   1.90476720e+00   7.78641344e-01
    49       2   6.62676714e-06   5.57570101e-01
    49       3   5.68087413e-09   1.10352923e-05
    50       1   1.34483630e+00   6.02624739e-01
    50       2   6.19252597e-06   4.49005078e-01
    50       3   7.81330024e-09   7.73615279e-06
    51       1   7.77042467e-01   4.01593427e-01
    51       2   2.40156691e-06   3.17010115e-01
    51       3   2.16121063e-07   3.91749323e-06
    52       1   3.36067788e-01   2.01404514e-01
    52       2   1.85136443e-06   1.71651968e-01
    52       3   1.14156541e-07   1.32533736e-06
    53       1   3.83392686e-02   2.58562027e-02
    53       2   1.77292129e-05   2.41294059e-02
    53       3   5.87274886e-07   8.78020998e-06
    54       1   1.52070107e-01   1.12613428e-01
    54       2   1.55911462e-04   1.14208725e-01
    54       3   4.73630896e-06   8.84438746e-05
    55       1   2.73480193e-01   2.14982973e-01
    55       2   1.45363383e-04   2.36970738e-01
    55       3   1.30937711e-06   8.37583989e-05
    56       1   3.48524086e-01   2.85698092e-01
    56       2   1.84093741e-04   3.36113590e-01
    56       3   3.50936293e-07   1.09591668e-04
    56       4   6.08264860e-09   2.35743763e-07
    57       1   3.91539089e-01   3.29993680e-01
    57       2   3.41491058e-05   4.07421336e-01
    57       3   2.39513649e-07   1.93262737e-05
    58       1   4.11591777e-01   3.53003019e-01
    58       2   7.14625935e-06   4.48854590e-01
    58       3   6.36517195e-08   7.06415589e-06
    59       1   4.14019280e-01   3.58636423e-01
    59       2   5.86962119e-06   4.61191147e-01
    59       3   5.90224869e-09   7.67651382e-06
    60       1   4.01852616e-01   3.49503348e-01
    60       2   7.57969617e-06   4.46923935e-01
    60       3   3.68265638e-09   8.45315138e-06
    61       1   3.76618522e-01   3.27190579e-01
    61       2   3.23838393e-06   4.09775566e-01
    61       3   7.56543123e-08   5.90074960e-06
    62       1   3.38790603e-01   2.92549606e-01
    62       2   2.76002425e-06   3.54148300e-01
    62       3   1.49328521e-08   4.71762397e-06
    63       1   2.88075906e-01   2.45979205e-01
    63       2   3.29658317e-06   2.84670426e-01
    63       3   4.32020267e-08   3.16478302e-06
    64       1   2.23624159e-01   1.87731968e-01
    64       2   2.76812788e-06   2.05933190e-01
    64       3   2.44667274e-07   2.32041159e-06
    65       1   1.44324397e-01   1.18337751e-01
    65       2   1.58790335e-05   1.22355212e-01
    65       3   1.19939095e-06   1.15657427e-05
    66       1   4.93649342e-02   3.92136269e-02
    66       2   7.86213994e-05   3.80937205e-02
    66       3   1.32272868e-05   5.80636194e-05
    67       1   6.00275398e-02   4.60768266e-02
    67       2   3.81182515e-04   4.18426037e-02
    67       3   2.83443673e-06   2.43209059e-04
    67       4   2.02014994e-07   1.80843207e-06
    68       1   1.83756970e-01   1.34355521e-01
    68       2   2.04121681e-03   1.17552546e-01
    68       3   4.25973368e-06   1.30223705e-03
    68       4   9.59813355e-07   2.88289993e-06
    69       1   3.16179221e-01   2.19467158e-01
    69       2   7.06789999e-05   1.81499745e-01
    69       3   1.70839839e-07   4.52444175e-05
    70       1   4.45429600e-01   2.93620425e-01
    70       2   4.21735423e-05   2.34103776e-01
    70       3   1.01827787e-06   2.60538342e-05
    71       1   5.55585193e-01   3.49385559e-01
    71       2   2.24588245e-05   2.72160640e-01
    71       3   2.68262497e-06   1.64727071e-05
    72       1   6.28835381e-01   3.81510316e-01
    72       2   5.13702042e-06   2.94034551e-01
    72       3   4.38308408e-07   4.11475174e-06
    73       1   6.51381323e-01   3.87493900e-01
    73       2   9.02239465e-06   2.98887728e-01
    73       3   3.58949982e-07   6.36930839e-06
    74       1   6.19448960e-01   3.67984122e-01
    74       2   5.80540463e-06   2.86956164e-01
    74       3   9.25120537e-08   4.43396233e-06
    75       1   5.40257033e-01   3.26116174e-01
    75       2   4.43876750e-06   2.59390479e-01
    75       3   1.15282414e-07   3.42198614e-06
    76       1   4.29239786e-01   2.66994866e-01
    76       2   1.67258852e-05   2.18296282e-01
    76       3   8.69106645e-07   9.67699520e-06
    77       1   3.04630894e-01   1.97019016e-01
    77       2   3.28979555e-06   1.66635179e-01
    77       3   2.01443576e-08   2.28335878e-06
    78       1   1.82044629e-01   1.22861889e-01
    78       2   1.23611083e-05   1.07992332e-01
    78       3   9.39694596e-08   8.69012863e-06
    79       1   7.20979893e-02   5.07088582e-02
    79       2   1.06425419e-05   4.64581446e-02
