  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       7       7       1       6       0       0
     2      11       4       1       8       1       0
     3      14       3       1      10       0       0
     4      18       4       1      12       1       0
     5      22       4       1      14       1       0
     6      26       4       1      16       1       0
     7      30       4       1      18       1       0
     8      34       4       1      19       2       0
     9      37       3       1      20       1       0
    10      40       3       1      20       2       0
    11      43       3       1      20       2       0
    12      46       3       1      21       1       0
    13      49       3       1      22       1       0
    14      53       4       1      22       3       0
    15      57       4       1      23       2       0
    16      61       4       1      24       2       0
    17      64       3       1      24       2       0
    18      67       3       1      23       3       0
    19      70       3       1      22       3       0
    20      73       3       1      20       1       3
    21      76       3       1      18       2       2
    22      79       3       1      18       2       0
    23      82       3       1      17       3       0
    24      85       3       1      17       2       0
    25      88       3       1      18       1       0
    26      91       3       1      18       1       1
    27      95       4       1      18       3       0
    28      99       4       1      19       2       0
    29     103       4       1      18       4       0
    30     107       4       1      17       4       0
    31     110       3       1      16       3       0
    32     113       3       1      16       2       0
    33     116       3       1      16       2       0
    34     119       3       1      16       2       0
    35     122       3       1      16       2       0
    36     125       3       1      16       2       0
    37     128       3       1      16       2       0
    38     131       3       1      16       2       0
    39     134       3       1      16       2       0
    40     137       3       1      16       2       0
    41     141       4       1      18       1       0
    42     145       4       1      18       3       0
    43     149       4       1      19       2       0
    44     152       3       1      19       2       0
    45     155       3       1      19       2       0
    46     158       3       1      19       2       0
    47     161       3       1      19       2       0
    48     164       3       1      17       2       2
    49     167       3       1      17       2       0
    50     170       3       1      16       1       2
    51     173       3       1      15       3       0
    52     176       3       1      16       1       0
    53     179       3       1      16       1       1
    54     182       3       1      15       3       0
    55     185       3       1      15       2       0
    56     189       4       1      16       2       0
    57     192       3       1      17       1       0
    58     195       3       1      17       1       1
    59     198       3       1      16       3       0
    60     201       3       1      16       2       0
    61     204       3       1      15       3       0
    62     207       3       1      15       2       0
    63     210       3       1      16       1       0
    64     213       3       1      16       1       1
    65     216       3       1      16       2       0
    66     219       3       1      15       3       0
    67     223       4       1      16       2       0
    68     227       4       1      15       4       0
    69     230       3       1      15       2       0
    70     233       3       1      15       2       0
    71     236       3       1      15       2       0
    72     239       3       1      15       2       0
    73     242       3       1      14       3       0
    74     245       3       1      14       2       0
    75     248       3       1      14       2       0
    76     251       3       1      14       2       0
    77     254       3       1      13       3       0
    78     257       3       1      14       1       0
    79     260       3       1      13       3       0
    80     263       3       1      14       1       0
    81     266       3       1      14       2       0
