# Region type : patch interface
# Faces         : 40
# Area          : 8.00000000e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch interface
# Faces         : 40
# Area          : 8.00000000e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch interface
# Faces         : 40
# Area          : 8.00000000e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch interface
# Faces         : 40
# Area          : 8.00000000e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch interface
# Faces         : 40
# Area          : 8.00000000e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch interface
# Faces         : 40
# Area          : 8.00000000e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch interface
# Faces         : 40
# Area          : 8.00000000e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch interface
# Faces         : 40
# Area          : 8.00000000e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch interface
# Faces         : 40
# Area          : 8.00074323e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.01            	2.31610572e-22
# Region type : patch interface
# Faces         : 40
# Area          : 8.00074323e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.01            	2.31610572e-22
# Region type : patch interface
# Faces         : 40
# Area          : 8.00074323e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.01            	2.31610572e-22
# Region type : patch interface
# Faces         : 40
# Area          : 8.00074323e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.01            	2.31610572e-22
# Region type : patch interface
# Faces         : 40
# Area          : 8.00082013e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.02            	-8.60267837e-22
# Region type : patch interface
# Faces         : 40
# Area          : 8.00082013e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.02            	-8.60267837e-22
# Region type : patch interface
# Faces         : 40
# Area          : 8.00082013e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.02            	-8.60267837e-22
# Region type : patch interface
# Faces         : 40
# Area          : 8.00082013e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.02            	-8.60267837e-22
# Region type : patch interface
# Faces         : 40
# Area          : 8.00081350e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.03            	-1.32348898e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00081350e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.03            	-1.32348898e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00081350e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.03            	-1.32348898e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00081350e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.03            	-1.32348898e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00079093e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.04            	2.01170325e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00079093e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.04            	2.01170325e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00079093e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.04            	2.01170325e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00079093e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.04            	2.01170325e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00078364e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.05            	9.52912066e-22
# Region type : patch interface
# Faces         : 40
# Area          : 8.00078364e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.05            	9.52912066e-22
# Region type : patch interface
# Faces         : 40
# Area          : 8.00078364e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.05            	9.52912066e-22
# Region type : patch interface
# Faces         : 40
# Area          : 8.00078364e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.05            	9.52912066e-22
# Region type : patch interface
# Faces         : 40
# Area          : 8.00080725e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.06            	-3.07049443e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00080725e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.06            	-3.07049443e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00080725e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.06            	-3.07049443e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00080725e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.06            	-3.07049443e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00086915e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.07            	-2.75285708e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00086915e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.07            	-2.75285708e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00086915e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.07            	-2.75285708e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00086915e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.07            	-2.75285708e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00097350e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.08            	7.83505476e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00097350e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.08            	7.83505476e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00097350e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.08            	7.83505476e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00097350e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.08            	7.83505476e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00112469e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.09            	9.31736242e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00112469e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.09            	9.31736242e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00112469e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.09            	9.31736242e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00112469e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.09            	9.31736242e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00132781e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.1             	-4.65868121e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00132781e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.1             	-4.65868121e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00132781e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.1             	-4.65868121e-21
# Region type : patch interface
# Faces         : 40
# Area          : 8.00132781e-03
