  TimeWindow  TotalIterations  Iterations  Convergence
     1       9       9       1
     2      13       4       1
     3      17       4       1
     4      21       4       1
     5      25       4       1
     6      29       4       1
     7      33       4       1
     8      37       4       1
     9      41       4       1
    10      45       4       1
    11      50       5       1
    12      55       5       1
    13      59       4       1
    14      63       4       1
    15      67       4       1
    16      71       4       1
    17      75       4       1
    18      79       4       1
    19      83       4       1
    20      87       4       1
    21      91       4       1
    22      95       4       1
    23      99       4       1
    24     103       4       1
    25     107       4       1
    26     110       3       1
    27     113       3       1
    28     117       4       1
    29     122       5       1
    30     126       4       1
    31     130       4       1
    32     134       4       1
    33     138       4       1
    34     142       4       1
    35     146       4       1
    36     150       4       1
    37     154       4       1
    38     158       4       1
    39     162       4       1
    40     166       4       1
    41     170       4       1
    42     174       4       1
    43     178       4       1
    44     182       4       1
    45     186       4       1
    46     190       4       1
    47     194       4       1
    48     198       4       1
    49     202       4       1
    50     206       4       1
    51     210       4       1
    52     214       4       1
    53     218       4       1
    54     222       4       1
    55     225       3       1
    56     229       4       1
    57     233       4       1
    58     237       4       1
    59     241       4       1
    60     245       4       1
    61     249       4       1
    62     253       4       1
    63     257       4       1
    64     261       4       1
    65     265       4       1
    66     269       4       1
    67     273       4       1
    68     277       4       1
    69     281       4       1
    70     285       4       1
    71     289       4       1
    72     293       4       1
    73     297       4       1
    74     301       4       1
    75     305       4       1
    76     309       4       1
    77     313       4       1
    78     317       4       1
    79     321       4       1
    80     325       4       1
    81     329       4       1
    82     332       3       1
    83     335       3       1
    84     338       3       1
    85     342       4       1
    86     346       4       1
    87     350       4       1
    88     354       4       1
    89     358       4       1
    90     362       4       1
    91     366       4       1
    92     370       4       1
    93     374       4       1
    94     378       4       1
    95     382       4       1
    96     386       4       1
    97     390       4       1
    98     394       4       1
    99     398       4       1
   100     402       4       1
   101     406       4       1
   102     410       4       1
   103     414       4       1
   104     418       4       1
   105     422       4       1
   106     426       4       1
   107     430       4       1
   108     434       4       1
   109     438       4       1
   110     442       4       1
   111     445       3       1
   112     448       3       1
   113     452       4       1
   114     456       4       1
   115     460       4       1
   116     463       3       1
   117     467       4       1
   118     471       4       1
   119     475       4       1
   120     479       4       1
   121     483       4       1
   122     487       4       1
   123     491       4       1
   124     495       4       1
   125     499       4       1
   126     503       4       1
   127     507       4       1
   128     511       4       1
   129     515       4       1
   130     519       4       1
   131     523       4       1
   132     527       4       1
   133     531       4       1
   134     535       4       1
