  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       9       9       1       7       1       0
     2      13       4       1       8       2       0
     3      17       4       1      10       1       0
     4      21       4       1      12       1       0
     5      25       4       1      13       2       0
     6      29       4       1      13       3       0
     7      33       4       1      13       3       0
     8      37       4       1      12       4       0
     9      41       4       1      12       3       0
    10      45       4       1      12       3       0
    11      50       5       1      12       4       0
    12      55       5       1      13       3       0
    13      59       4       1      14       2       0
    14      63       4       1      14       3       0
    15      67       4       1      14       3       0
    16      71       4       1      14       3       0
    17      75       4       1      14       3       0
    18      79       4       1      14       3       0
    19      83       4       1      14       3       0
    20      87       4       1      14       3       0
    21      91       4       1      14       3       0
    22      95       4       1      14       3       0
    23      99       4       1      14       3       0
    24     103       4       1      14       3       0
    25     107       4       1      14       3       0
    26     110       3       1      14       2       0
    27     113       3       1      14       2       0
    28     117       4       1      13       4       0
    29     122       5       1      14       3       0
    30     126       4       1      14       3       0
    31     130       4       1      14       3       0
    32     134       4       1      13       4       0
    33     138       4       1      13       3       0
    34     142       4       1      14       2       0
    35     146       4       1      14       3       0
    36     150       4       1      14       3       0
    37     154       4       1      14       3       0
    38     158       4       1      14       3       0
    39     162       4       1      14       3       0
    40     166       4       1      14       3       0
    41     170       4       1      14       3       0
    42     174       4       1      14       3       0
    43     178       4       1      14       3       0
    44     182       4       1      14       3       0
    45     186       4       1      14       3       0
    46     190       4       1      14       3       0
    47     194       4       1      14       3       0
    48     198       4       1      14       3       0
    49     202       4       1      14       3       0
    50     206       4       1      14       3       0
    51     210       4       1      14       3       0
    52     214       4       1      14       3       0
    53     218       4       1      14       3       0
    54     222       4       1      15       2       0
    55     225       3       1      15       2       0
    56     229       4       1      15       3       0
    57     233       4       1      15       3       0
    58     237       4       1      17       1       0
    59     241       4       1      16       4       0
    60     245       4       1      15       4       0
    61     249       4       1      15       3       0
    62     253       4       1      15       3       0
    63     257       4       1      15       3       0
    64     261       4       1      14       4       0
    65     265       4       1      14       3       0
    66     269       4       1      15       2       0
    67     273       4       1      15       3       0
    68     277       4       1      14       4       0
    69     281       4       1      13       4       0
    70     285       4       1      13       3       0
    71     289       4       1      13       3       0
    72     293       4       1      13       3       0
    73     297       4       1      13       3       0
    74     301       4       1      13       3       0
    75     305       4       1      13       3       0
    76     309       4       1      13       3       0
    77     313       4       1      13       3       0
    78     317       4       1      13       3       0
    79     321       4       1      13       3       0
    80     325       4       1      14       2       0
    81     329       4       1      14       3       0
    82     332       3       1      14       2       0
    83     335       3       1      14       2       0
    84     338       3       1      14       2       0
    85     342       4       1      15       2       0
    86     346       4       1      15       3       0
    87     350       4       1      16       2       0
    88     354       4       1      16       3       0
    89     358       4       1      16       3       0
    90     362       4       1      17       2       0
    91     366       4       1      16       4       0
    92     370       4       1      17       2       0
    93     374       4       1      17       3       0
    94     378       4       1      17       3       0
    95     382       4       1      16       4       0
    96     386       4       1      16       3       0
    97     390       4       1      16       3       0
    98     394       4       1      16       3       0
    99     398       4       1      16       3       0
   100     402       4       1      15       4       0
   101     406       4       1      14       4       0
   102     410       4       1      13       4       0
   103     414       4       1      13       3       0
   104     418       4       1      14       2       0
   105     422       4       1      14       3       0
   106     426       4       1      14       3       0
   107     430       4       1      14       3       0
   108     434       4       1      15       2       0
   109     438       4       1      15       3       0
   110     442       4       1      16       2       0
   111     445       3       1      16       2       0
   112     448       3       1      17       1       0
   113     452       4       1      18       2       0
