# Time forceX forceY forceZ normalForce
0.001 -0.00221738 -0.00109572 0.000309268 -0.0647741
0.002 -0.00201046 -0.000787118 0.000609777 -0.0557738
0.003 -0.00239989 -0.00103808 0.000672947 -0.047716
0.004 -0.00323137 -0.00142419 0.000656824 -0.0428619
0.005 -0.00440277 -0.00149248 0.000590428 -0.0397301
0.006 -0.0047568 -0.00125227 0.000482056 -0.0407652
0.007 -0.00432421 -0.00110044 0.00035679 -0.0401203
0.008 -0.00427267 -0.000983212 0.000256152 -0.0394054
0.009 -0.00428076 -0.000890457 0.000174515 -0.0385299
0.01 -0.00422219 -0.000807797 0.000123121 -0.0385722
0.011 -0.00417025 -0.000758214 7.34007e-05 -0.0384543
0.012 -0.00421878 -0.000646599 4.25247e-05 -0.0382389
0.013 -0.00418874 -0.000587094 2.12165e-05 -0.0381295
0.014 -0.00418023 -0.000651549 7.25962e-06 -0.0379602
0.015 -0.00421304 -0.000638695 -2.83578e-06 -0.0378593
0.016 -0.0042068 -0.00061813 -7.95972e-06 -0.0377731
0.017 -0.00418459 -0.000604073 -1.08456e-05 -0.0376989
0.018 -0.00414148 -0.000585304 -1.14948e-05 -0.0376562
0.019 -0.00414341 -0.000572912 -1.1431e-05 -0.0376067
0.02 -0.004151 -0.000567424 -1.13196e-05 -0.0377998
0.021 -0.00403071 -0.000511562 -7.85494e-06 -0.0375683
0.022 -0.00403301 -0.000529208 -6.65759e-06 -0.0374162
0.023 -0.00407607 -0.00054119 -4.30836e-06 -0.0374603
0.024 -0.00409881 -0.000543964 -3.50543e-06 -0.0374614
0.025 -0.00396945 -0.000492012 -2.1105e-06 -0.0374984
0.026 -0.00396945 -0.000486012 -7.3022e-07 -0.0371104
0.027 -0.00399302 -0.000524158 5.73097e-07 -0.0374374
0.028 -0.00393053 -0.000486518 1.00715e-06 -0.0373026
0.029 -0.00397532 -0.000516874 1.81531e-06 -0.0374289
0.03 -0.00390595 -0.000482871 7.26104e-07 -0.0374501
0.031 -0.00392601 -0.00050732 1.64054e-06 -0.037497
0.032 -0.00387649 -0.000497738 2.52467e-06 -0.0373386
0.033 -0.00385141 -0.000449494 2.31502e-06 -0.037466
0.034 -0.00390708 -0.000492368 2.34334e-06 -0.0374456
0.035 -0.00389191 -0.000501298 2.17045e-06 -0.0374436
0.036 -0.00386572 -0.000493351 1.75689e-06 -0.037482
0.037 -0.00387927 -0.000500656 1.90611e-06 -0.037459
0.038 -0.00387489 -0.000503522 1.94364e-06 -0.037462
0.039 -0.00382736 -0.000498666 1.97891e-06 -0.0374323
0.04 -0.0038152 -0.000491853 2.23875e-06 -0.0375191
0.041 -0.00385595 -0.000507468 2.15609e-06 -0.0374661
0.042 -0.00389326 -0.000506921 2.20667e-06 -0.0374704
0.043 -0.00384736 -0.000504507 2.06636e-06 -0.0374774
0.044 -0.00385196 -0.000514082 2.26244e-06 -0.0374811
0.045 -0.00384197 -0.000516922 2.37784e-06 -0.0374862
0.046 -0.00382875 -0.000516555 2.16262e-06 -0.0374762
0.047 -0.00378698 -0.000486192 2.23927e-06 -0.0374531
0.048 -0.00373805 -0.0004827 2.31779e-06 -0.0374912
0.049 -0.00381044 -0.000522633 2.33917e-06 -0.0374905
0.05 -0.00382772 -0.000533723 2.41528e-06 -0.0374961
0.051 -0.00382774 -0.000536985 2.45781e-06 -0.0375017
0.052 -0.00382587 -0.00053901 2.51345e-06 -0.0375101
0.053 -0.00375573 -0.000542685 2.62137e-06 -0.0375275
0.054 -0.00378517 -0.000545139 2.67179e-06 -0.0375253
0.055 -0.00376638 -0.000550767 2.72733e-06 -0.0375528
0.056 -0.00380855 -0.00055046 2.64295e-06 -0.0375391
0.057 -0.00383354 -0.000552517 2.65466e-06 -0.0375454
0.058 -0.0038349 -0.00055581 2.73528e-06 -0.0375553
0.059 -0.00383922 -0.000558975 2.7659e-06 -0.0375627
0.06 -0.00376233 -0.000564022 2.85103e-06 -0.0375829
0.061 -0.00383715 -0.000569262 2.85258e-06 -0.0375782
0.062 -0.00376878 -0.000566473 2.85072e-06 -0.0375862
0.063 -0.00385253 -0.000575364 2.80947e-06 -0.0375907
0.064 -0.00384897 -0.000577983 2.82554e-06 -0.0375973
0.065 -0.00375974 -0.000584125 2.79293e-06 -0.0375437
0.066 -0.00375107 -0.000564528 2.4464e-06 -0.0375797
0.067 -0.0037247 -0.000561783 2.55177e-06 -0.0375903
0.068 -0.00371233 -0.000578641 2.69816e-06 -0.0375856
0.069 -0.00371807 -0.000517855 2.67492e-06 -0.0376019
0.07 -0.003698 -0.000528062 2.72201e-06 -0.0375988
0.071 -0.00374892 -0.000571783 2.67696e-06 -0.0376035
0.072 -0.00366504 -0.000533047 2.8463e-06 -0.0376043
0.073 -0.00369529 -0.000559194 2.8247e-06 -0.0376075
0.074 -0.00372942 -0.000573852 2.89115e-06 -0.0376109
0.075 -0.00364673 -0.000528079 2.98457e-06 -0.0376204
0.076 -0.00364129 -0.000526407 3.10142e-06 -0.0376259
0.077 -0.00368005 -0.000563839 3.04115e-06 -0.0376212
0.078 -0.00360617 -0.000521179 3.05049e-06 -0.0376297
0.079 -0.00368103 -0.000555702 3.06593e-06 -0.0376247
0.08 -0.00360548 -0.00052058 3.11412e-06 -0.037627
0.081 -0.00359757 -0.00052089 3.09227e-06 -0.0376032
0.082 -0.00363454 -0.000547835 3.05781e-06 -0.0376258
0.083 -0.00356956 -0.00051378 3.09095e-06 -0.0376299
0.084 -0.00355651 -0.000543663 3.12189e-06 -0.0376378
0.085 -0.00354704 -0.000533801 3.22168e-06 -0.0376375
0.086 -0.00355987 -0.000535904 3.17938e-06 -0.0376287
0.087 -0.00353715 -0.000518959 3.13897e-06 -0.0376286
0.088 -0.00354044 -0.000518285 3.16021e-06 -0.0376343
0.089 -0.00352825 -0.000514655 3.23263e-06 -0.0376308
0.09 -0.00352753 -0.000506818 3.28142e-06 -0.0376322
0.091 -0.0035199 -0.000507321 3.26267e-06 -0.0376311
0.092 -0.0035109 -0.000506852 3.39133e-06 -0.0376328
0.093 -0.00350817 -0.000500247 3.3683e-06 -0.0376305
0.094 -0.00349744 -0.000484059 3.43415e-06 -0.0376335
0.095 -0.00351203 -0.000507436 3.41163e-06 -0.0376198
0.096 -0.00349773 -0.000507121 3.45906e-06 -0.0376332
0.097 -0.00349183 -0.000497445 3.48535e-06 -0.0376373
0.098 -0.00348675 -0.000492607 3.5152e-06 -0.0376337
0.099 -0.0034955 -0.000492811 3.47682e-06 -0.0376234
0.1 -0.00348616 -0.000486779 3.55623e-06 -0.0376331
0.101 -0.00347189 -0.000473232 3.54723e-06 -0.0376326
0.102 -0.00347719 -0.000485704 3.53444e-06 -0.0376318
0.103 -0.00347107 -0.000478013 3.58324e-06 -0.037625
0.104 -0.00346039 -0.00046196 3.60104e-06 -0.0376261
0.105 -0.00347322 -0.00047159 3.60082e-06 -0.0376254
0.106 -0.00342588 -0.000469361 3.64054e-06 -0.0376272
0.107 -0.00351253 -0.000488794 3.62855e-06 -0.037626
0.108 -0.00344739 -0.000471109 3.61114e-06 -0.0376295
0.109 -0.00351208 -0.000482182 3.62477e-06 -0.0376276
0.11 -0.00343898 -0.000458221 3.60636e-06 -0.0376306
0.111 -0.00341362 -0.000472503 3.65663e-06 -0.0376289
0.112 -0.00349686 -0.000488022 3.6876e-06 -0.0376313
0.113 -0.00342941 -0.000469277 3.8274e-06 -0.0376332
0.114 -0.00342487 -0.000461512 3.82171e-06 -0.0376336
