  Time  Coordinate0  Coordinate1  Coordinate2  Force0  Force1  Force2
 0.00000000e+00   2.42342551e-03  -1.20708868e-03   2.46674042e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e-03   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.75824453e-07   1.46349476e-07  -5.55012691e-08
 2.00000000e-03   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -7.51648830e-07   2.92698510e-07  -1.11002210e-07
 3.00000000e-03   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.12747335e-06   4.39047280e-07  -1.66502927e-07
 4.00000000e-03   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.50329797e-06   5.85395841e-07  -2.22003468e-07
 5.00000000e-03   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -2.36621490e-06   9.21420494e-07  -3.49435612e-07
 6.00000000e-03   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.48911355e-06   1.35868132e-06  -5.15259183e-07
 7.00000000e-03   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.61201278e-06   1.79593976e-06  -6.81080833e-07
 8.00000000e-03   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -5.73491289e-06   2.23319647e-06  -8.46901026e-07
 9.00000000e-03   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -7.08221061e-06   2.75783183e-06  -1.04585709e-06
 1.00000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -8.94325947e-06   3.48251847e-06  -1.32067719e-06
 1.10000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.08043093e-05   4.20719881e-06  -1.59549231e-06
 1.20000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.26653614e-05   4.93187476e-06  -1.87030370e-06
 1.30000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.45264154e-05   5.65654709e-06  -2.14511204e-06
 1.40000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.70803607e-05   6.65102408e-06  -2.52223560e-06
 1.50000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.96654391e-05   7.65761322e-06  -2.90394812e-06
 1.60000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -2.22505218e-05   8.66419486e-06  -3.28565425e-06
 1.70000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -2.48356081e-05   9.67077034e-06  -3.66735512e-06
 1.80000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -2.78503783e-05   1.08446547e-05  -4.11250071e-06
 1.90000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.11410207e-05   1.21259501e-05  -4.59837445e-06
 2.00000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.44316665e-05   1.34072336e-05  -5.08423860e-06
 2.10000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.77223179e-05   1.46885083e-05  -5.57009521e-06
