# Region type : patch outlet
# Faces       : 6
# Area        : 1.100000e-06
# Scale factor: 1.000000e+00
# Time        	sum(phi)
0.002         	4.311758e-12
0.004         	1.291038e-11
0.006         	5.052494e-11
0.008         	1.220190e-10
0.01          	2.648861e-10
0.012         	4.978593e-10
0.014         	8.564465e-10
0.016         	1.378794e-09
0.018         	2.086720e-09
0.02          	3.038647e-09
0.022         	4.236121e-09
0.024         	5.753063e-09
0.026         	7.574491e-09
0.028         	9.770147e-09
0.03          	1.232639e-08
0.032         	1.527709e-08
0.034         	1.861749e-08
0.036         	2.234940e-08
0.038         	2.646689e-08
0.04          	3.094838e-08
0.042         	3.577256e-08
0.044         	4.090886e-08
0.046         	4.630633e-08
0.048         	5.194003e-08
0.05          	5.771674e-08
0.052         	6.362093e-08
0.054         	6.953017e-08
0.056         	7.542018e-08
0.058         	8.117364e-08
0.06          	8.674233e-08
0.062         	9.202842e-08
0.064         	9.695412e-08
0.066         	1.014523e-07
0.068         	1.054173e-07
0.07          	1.088186e-07
0.072         	1.115290e-07
0.074         	1.135537e-07
0.076         	1.147570e-07
0.078         	1.151528e-07
0.08          	1.146520e-07
0.082         	1.132581e-07
0.084         	1.109343e-07
0.086         	1.076794e-07
0.088         	1.042869e-07
0.09          	1.016012e-07
0.092         	1.003696e-07
0.094         	1.018685e-07
0.096         	1.061197e-07
0.098         	1.128313e-07
0.1           	1.218127e-07
0.102         	1.326765e-07
0.104         	1.452553e-07
0.106         	1.592110e-07
0.108         	1.743609e-07
0.11          	1.904087e-07
0.112         	2.071335e-07
0.114         	2.242928e-07
0.116         	2.416220e-07
0.118         	2.589377e-07
0.12          	2.759386e-07
0.122         	2.924977e-07
0.124         	3.082912e-07
0.126         	3.232238e-07
0.128         	3.369933e-07
0.13          	3.494815e-07
0.132         	3.604851e-07
0.134         	3.698722e-07
0.136         	3.775051e-07
0.138         	3.832532e-07
0.14          	3.870363e-07
0.142         	3.887409e-07
0.144         	3.883358e-07
0.146         	3.857370e-07
0.148         	3.809542e-07
0.15          	3.739443e-07
0.152         	3.647390e-07
0.154         	3.533608e-07
0.156         	3.398622e-07
0.158         	3.247407e-07
0.16          	3.084274e-07
0.162         	2.914654e-07
0.164         	2.744115e-07
0.166         	2.574131e-07
0.168         	2.404656e-07
0.17          	2.235625e-07
0.172         	2.067146e-07
0.174         	1.899202e-07
0.176         	1.732113e-07
0.178         	1.565915e-07
0.18          	1.401001e-07
0.182         	1.237481e-07
0.184         	1.075741e-07
0.186         	9.159866e-08
0.188         	7.585511e-08
0.19          	6.037625e-08
0.192         	4.518455e-08
0.194         	3.032917e-08
0.196         	1.581617e-08
0.198         	1.714460e-09
0.2           	-1.199239e-08
0.202         	-2.521010e-08
0.204         	-3.795617e-08
0.206         	-5.016484e-08
0.208         	-6.184064e-08
0.21          	-7.294003e-08
0.212         	-8.344944e-08
0.214         	-9.334638e-08
0.216         	-1.026021e-07
0.218         	-1.112128e-07
0.22          	-1.191377e-07
0.222         	-1.263895e-07
0.224         	-1.329190e-07
0.226         	-1.387479e-07
0.228         	-1.438303e-07
0.23          	-1.481820e-07
0.232         	-1.517778e-07
0.234         	-1.546262e-07
0.236         	-1.567176e-07
0.238         	-1.580534e-07
0.24          	-1.586391e-07
0.242         	-1.584712e-07
0.244         	-1.575672e-07
0.246         	-1.559222e-07
0.248         	-1.535623e-07
0.25          	-1.504847e-07
0.252         	-1.467180e-07
0.254         	-1.422691e-07
0.256         	-1.371648e-07
0.258         	-1.314246e-07
0.26          	-1.250738e-07
0.262         	-1.182753e-07
0.264         	-1.111840e-07
0.266         	-1.039567e-07
0.268         	-9.681351e-08
0.27          	-8.978362e-08
0.272         	-8.286372e-08
0.274         	-7.604411e-08
0.276         	-6.933000e-08
0.278         	-6.271506e-08
0.28          	-5.621097e-08
0.282         	-4.981573e-08
0.284         	-4.354206e-08
0.286         	-3.739343e-08
0.288         	-3.138037e-08
0.29          	-2.551298e-08
0.292         	-1.979722e-08
0.294         	-1.425051e-08
0.296         	-8.872207e-09
0.298         	-3.688025e-09
0.3           	1.311153e-09
0.302         	6.090937e-09
0.304         	1.066130e-08
0.306         	1.499666e-08
0.308         	1.910052e-08
0.31          	2.295641e-08
0.312         	2.656087e-08
0.314         	2.990646e-08
0.316         	3.298360e-08
0.318         	3.579335e-08
0.32          	3.832113e-08
0.322         	4.057561e-08
0.324         	4.253881e-08
0.326         	4.422419e-08
0.328         	4.561521e-08
0.33          	4.672369e-08
0.332         	4.754303e-08
0.334         	4.808076e-08
0.336         	4.833787e-08
0.338         	4.831931e-08
0.34          	4.803202e-08
0.342         	4.748053e-08
0.344         	4.667561e-08
0.346         	4.562301e-08
0.348         	4.433395e-08
0.35          	4.280497e-08
0.352         	4.104744e-08
0.354         	3.905897e-08
0.356         	3.684925e-08
0.358         	3.443392e-08
0.36          	3.182586e-08
0.362         	2.904030e-08
0.364         	2.609080e-08
0.366         	2.299095e-08
0.368         	1.975627e-08
0.37          	1.639755e-08
0.372         	1.293338e-08
0.374         	9.370426e-09
0.376         	5.731396e-09
0.378         	2.021108e-09
0.38          	-1.738250e-09
0.382         	-5.540350e-09
0.384         	-9.365389e-09
0.386         	-1.320402e-08
0.388         	-1.704216e-08
0.39          	-2.086707e-08
0.392         	-2.466950e-08
0.394         	-2.843230e-08
0.396         	-3.215181e-08
0.398         	-3.580626e-08
0.4           	-3.939788e-08
0.402         	-4.290000e-08
0.404         	-4.631525e-08
0.406         	-4.962328e-08
0.408         	-5.282239e-08
0.41          	-5.589795e-08
0.412         	-5.884382e-08
0.414         	-6.165126e-08
0.416         	-6.430985e-08
0.418         	-6.681675e-08
0.42          	-6.915749e-08
0.422         	-7.133477e-08
0.424         	-7.333036e-08
0.426         	-7.515098e-08
0.428         	-7.677777e-08
0.43          	-7.821616e-08
0.432         	-7.945418e-08
0.434         	-8.049326e-08
0.436         	-8.132707e-08
0.438         	-8.195348e-08
0.44          	-8.237147e-08
0.442         	-8.257608e-08
0.444         	-8.257089e-08
0.446         	-8.234863e-08
0.448         	-8.191694e-08
0.45          	-8.126693e-08
0.452         	-8.040767e-08
0.454         	-7.933288e-08
0.456         	-7.804998e-08
0.458         	-7.655767e-08
0.46          	-7.486108e-08
0.462         	-7.296273e-08
0.464         	-7.086616e-08
0.466         	-6.857704e-08
0.468         	-6.609829e-08
0.47          	-6.343756e-08
0.472         	-6.059799e-08
0.474         	-5.758822e-08
0.476         	-5.441249e-08
0.478         	-5.107920e-08
0.48          	-4.773538e-08
0.482         	-4.441899e-08
0.484         	-4.127175e-08
0.486         	-3.836110e-08
0.488         	-3.567712e-08
0.49          	-3.320430e-08
0.492         	-3.092791e-08
0.494         	-2.883497e-08
0.496         	-2.691402e-08
0.498         	-2.515461e-08
0.5           	-2.354741e-08
0.502         	-2.208350e-08
0.504         	-2.075490e-08
0.506         	-1.955390e-08
0.508         	-1.847349e-08
0.51          	-1.750692e-08
0.512         	-1.664792e-08
0.514         	-1.589044e-08
0.516         	-1.522873e-08
0.518         	-1.465751e-08
0.52          	-1.417163e-08
0.522         	-1.376644e-08
0.524         	-1.343706e-08
0.526         	-1.317947e-08
0.528         	-1.298921e-08
0.53          	-1.286265e-08
0.532         	-1.279588e-08
0.534         	-1.278554e-08
0.536         	-1.282809e-08
0.538         	-1.292036e-08
0.54          	-1.305934e-08
0.542         	-1.324207e-08
0.544         	-1.346595e-08
0.546         	-1.372807e-08
0.548         	-1.402629e-08
0.55          	-1.435775e-08
0.552         	-1.472066e-08
0.554         	-1.511242e-08
0.556         	-1.553138e-08
